area	name	description
lambeth-contaminated-land:101	Lilian Baylis School, Vauxhall, Off Kennington Lane	Verburg & Brownfield, Chinaware Manufacture Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:102	Lilian Baylis School, Vauxhall, Off Kennington Lane	Riches & Shaw, Printers - General Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:103	Lilian Baylis School, Vauxhall, Off Kennington Lane	Fenner Power Transmission UK, Power Transmission Equipment Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:104	Lilian Baylis School, Vauxhall, Off Kennington Lane	George's Hall, Engineering, General Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:105	Lilian Baylis School, Vauxhall, Off Kennington Lane	FPT (UK), Ball Bearing Manufacture Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:106	Lilian Baylis School, Vauxhall, Off Kennington Lane	Allied Demix, Distillers Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:107	Lilian Baylis School, Vauxhall, Off Kennington Lane	Kennington BP Express, Petrol Station. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:108	Lilian Baylis School, Vauxhall, Off Kennington Lane	There is the possibility of contamination from the gas works to the east of the site migrating through the Kempton Park Gravels. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:109	Lilian Baylis School, Vauxhall, Off Kennington Lane	At the Gas Holder Station adjacent to the site, Notification for the control of major accidents hazards sites has been made, along with notification for an installations handling hazardous substances, and also planning hazardous substance consent.  Source
lambeth-contaminated-land:110	Lilian Baylis School, Vauxhall, Off Kennington Lane	In the majority of cases the levels of these contaminants were either equal to or marginally greater than their threshold trigger levels. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:111	Lilian Baylis School, Vauxhall, Off Kennington Lane	The elevated sulphur contamination was considered a low hazard. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:112	Angell Town Estate, Brixton, Pym House, Overton Road	Area where there was contamination??now part of upgrade programme 2002
lambeth-contaminated-land:113	Angell Town Estate, Brixton, Pym House, Overton Road	The laboratory results of the samples are in fact not untypical for soils in this area.
lambeth-contaminated-land:114	17-19 Union Road London	Soil survey conducted. Historical data shows that the site was undeveloped land until some point between 1916 and 1952. The site has been relatively unchanged since this point as a laundry site. Source Soils Limited, Report on ground investigation for wea
lambeth-contaminated-land:115	145-147 Coldharbour Lane, Camberwell	Site once used as a coach depot, surrounded by residential properties. Two 3000 gallon underground diesel tanks were located to the west of the workshop. Arsenic was present at levels of between 11mg/kg and 31mg/kg in 6 samples tested. A single boron was
lambeth-contaminated-land:116	214-238 Norwood Road	Proposed development in Tulse Hill for 107 flats and ground floor commercial/pct space. There have been local concerns over the development causing flooding or at least an increase in the water table which our consultant advises will not be a planning iss
lambeth-contaminated-land:117	Acre Lane/ Concannon Road	At number 88a Acre Lane, until a few years ago was a small plating works. Source, Letter from Mr Colin Stanbury, Environmental Health Officer to Card Geotechnics Ltd, 13 July 1998.
lambeth-contaminated-land:118	116 Auckland Hill	No live pollution issues exist surrounding the site. Source Letter from Mr Colin Stanbury to Alan Kemp 10 September 1998. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:119	384 Brixton Road,	The premises is one of a terrace of retail shops. The last indicated use of these premises was primarily a shoe repairers and leather goods retailer. There are no records of indication that a dry cleaners and a launderette, might have lead to specific con
lambeth-contaminated-land:120	1A Babington Road	concerns that there may be liquid phase diesel being present perched between the fill and the clay. Source Letter from Mr Colin Stanbury, Environmental Health Officer to Burgess Mean Architects, 21 March 2000
lambeth-contaminated-land:121	4 Burrow Walk:	No indications to suggest this property is or has been the subject of land contamination in recent years. Source, letter from Mr Colin Stanbury Environmental Health officer to Alan Kemp 2 October 1998
lambeth-contaminated-land:122	Church Manor Estate, Bassall Road, Brixton, London	With the exception of Arsenic and Copper, all of the determinants are at or below the ICRCL threshold for domestic gardens or thresholds for less sensitive uses. Source, Factual Report of Trial Pit Investigation, RM Brown Foundation Investigation Ltd,
lambeth-contaminated-land:123	102, 108 Clapham Park Rd	Plot currently (1997) used for vehicle sales and repair. It is understood that this has been the use for many years. The yard is believed to be in generally good condition. Source Letter from Mr Colin Stanbury to Dawn Hamilton 23 July 1997. Also Ashdown S
lambeth-contaminated-land:124	102, 108 Clapham Park Rd	Hand excavation of part of the site was found to have had some oil contamination, judged to comprise engine oil. However in general the ground investigation works did not identify any areas of significant hydrocarbon contamination. Also Ashdown Site Inves
lambeth-contaminated-land:125	102, 108 Clapham Park Rd	The proposed development of the site  was for residential use. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:126	102, 108 Clapham Park Rd	A 1998 investigation identified some significant contamination in samples of superficial made ground taken from across the Site. Contaminants included metals, including Arsenic, cadmium, Mercury and PAH's in excess of the ICRCL threshold levels for domest
lambeth-contaminated-land:127	102, 108 Clapham Park Rd	Largely residential area. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:128	102, 108 Clapham Park Rd	A new tramway depot is shown 250m to the north of the site, serving the tramway situated along Clapham High Street. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:129	102, 108 Clapham Park Rd	residential development, however there appears no significant development on the site itself. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:130	102, 108 Clapham Park Rd	A building of unknown usage has been constructed on the southern part of the site. Further residential development is visible. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:131	102, 108 Clapham Park Rd	Various industries, including a soap factory, engineering works and warehouses are marked in the vicinity of the site; the nearest, marked only as 'works' is located some 50m to the west. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:132	102, 108 Clapham Park Rd	The site appears to have been cleared completely and its usage changed to car sales between 1989-1998. Also Ashdown Site Investigation Engineering Report August 1999
lambeth-contaminated-land:133	102, 108 Clapham Park Rd	The map search suggests that the site is unlikely to have experienced significant contamination by its previous use for domestic housing or from the surrounding area which have been principally used for residential purposes. Contamination may have been in
lambeth-contaminated-land:134	67 Effra Road, Brixton , London	Soil Contamination = The overall condition of the site was described as highly contaminated, even the present hard surfacing should be regarded as falling into this category. Source, Letter from Mr Colin Stanbury, to St George plc
lambeth-contaminated-land:135	67 Effra Road, Brixton , London	The site's current land use ( 1997) is a car and coach park. Source, Letter from Mr Colin Stanbury, Environmental Health Officer to Mr Ray Duffas, 10 October 1997. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:136	67 Effra Road, Brixton , London	In addition all excavated material should be regarded as hazardous, and require removal from the site. Source, Letter from Mr Colin Stanbury, Environmental Health Officer to Mr Ray Duffas, 10 October 1997. CARD Geotechnics Remediation Method Statement Sep
lambeth-contaminated-land:137	67 Effra Road, Brixton , London	Study showed that the site was not heavily contaminated, and the remediation works fully comply with Regulatory Service guidelines. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:138	67 Effra Road, Brixton , London	The site occupied by a large domestic house. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:139	67 Effra Road, Brixton , London	Gradual development from the above site, however a tramway has been installed in Effra Road. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:140	67 Effra Road, Brixton , London	The site was occupied by a glove factory, the building covering three quarters of the site. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:141	67 Effra Road, Brixton , London	Buildings directly to the north of the site appeared to have been redeveloped or enlarged. The works to the east of the site have been increased in size. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:142	67 Effra Road, Brixton , London	A fuel odor was observed in the sand. There was no liquid present and no apparent source of the contamination. It is possible that this was as a result of the factory that previously occupied the site.
lambeth-contaminated-land:143	67 Effra Road, Brixton , London	It was held that the contamination levels were not unusual for soil in an inner London area. There was also no evidence to show that widespread contamination had occurred. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:144	67 Effra Road, Brixton , London	Historical searches revealed in 1998, that the immediate past the site was used as offices by the Local Authority. CARD Geotechnics Remediation Method Statement September 1997.
lambeth-contaminated-land:145	75 Emmanuel Road, London	Hydrocarbon contamination, particularly within a proximity of 2m from the waste oil tanks, and to a lesser extent around the soakaway. Source, letter from Aspinwall & Co, to Adrian Brown 1 April 1998.
lambeth-contaminated-land:146	75 Emmanuel Road, London	The former site use was a garage, the site being occupied by parked and broken down vehicles, garage buildings, a soakaway and an above ground waste storage tank. Source, letter from Aspinwall & Co, to Adrian Brown 1 April 1998
lambeth-contaminated-land:147	75 Emmanuel Road, London	Planning permission was sought for the construction of residential dwellings. Source, letter from Aspinwall & Co, to Adrian Brown 1 April 1998
lambeth-contaminated-land:371	65-77 Clapham High Street	St Lukes Service Station
lambeth-contaminated-land:372	260 Knights Hill	Service Station
lambeth-contaminated-land:373	77-81 Clapham Road	Thames service station.
lambeth-contaminated-land:374	238 Kennington Lane	Authorized for the unloading of petrol into stationary storage tanks.
lambeth-contaminated-land:375	Timbermill Way Gauden Road London	Authorized the site for the manufacture of timber and wood based products.
lambeth-contaminated-land:376	27 Coldharbour Lane, Brixton	Chemical testing proved the soil to be contaminated by Arsenic, Copper, Lead and Zinc within the FILL material. Development will place a capping layer on the site. The communal garden to the rear of the flats will need remediating by replacing the soil wi
lambeth-contaminated-land:377	4,6,8&8A Bowden Street London	The site comprises existing workshop/factory. Development of houses, flats, offices and parking. Small private garden and a landscaped communal amenity space also proposed. During 1900's other properties on Bowden street were occupied by bootmakers, cotto
lambeth-contaminated-land:378	4,6,8&8A Bowden Street London	Dairy has moved to number 9. Vehicle repairs are recoded at number 11 and a motor engineers at number 14. Source Murray Rix Civil and Geotechnical engineers.
lambeth-contaminated-land:379	8&8A Bowden Street	noted as a bottle manufacturers with rag merchant occupying number 6 in 1959.
lambeth-contaminated-land:380	8 Bowden Street	Paper bag manufacturer.
lambeth-contaminated-land:381	Angell Town Estate, Overton Road, South London	chemical tests generally below the ICRCL trigger levels for domestic gardens although the arsenic was above the trigger level of 10mg/kg.
lambeth-contaminated-land:382	168-172 Stockwell Road London	Proposed development to residential housing. Recorded was a widespread presence of made ground soil containing ash and clinker. Elevated values of metallic contaminants, lead and to a lesser extent zinc, and PAH's was recorded within the made ground soils
lambeth-contaminated-land:383	Polygon Garage, Clapham	Present Site used as vehicle storage. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:384	Polygon Garage, Clapham	Potential for hydrocarbon contamination from the site's previous use as a petrol filling station. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:385	2/10 Canterbury Grove	No obvious source of contamination registered however some metallic contaminants possible from past usage hearth or bonfire ashes. Source, letter from Environmental Health Officer,  to The Clark Nurse Partnership, 27 October 1997
lambeth-contaminated-land:386	303-323 Streatham High Road, London	Streatham High Road has been subject to variant uses. 1917 established as a commercial garage. 1965, granted permission to be a petrol filling and service, the service station opened in 1966. 1981 the garage was used for sales, until 1997 when it was esta
lambeth-contaminated-land:387	303-323 Streatham High Road, London	clear Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:388	303-323 Streatham High Road, London	residential. 307 is only listed premises. Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:389	303-323 Streatham High Road, London	303 Godbold garage, 307 Residential, 323 Davies Philip C&Co Ltd Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:390	303-323 Streatham High Road, London	323 Almassy Bella Garage Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:391	303-323 Streatham High Road, London	323 Almassy Bella Garage Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:392	303-323 Streatham High Road, London	307 Doctors Surgery Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:393	303-323 Streatham High Road, London	307 Doctors Surgery, 321-323 Albion Garage Co Ltd- Motor & Electrical Engineers Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:394	303-323 Streatham High Road, London	Generally housing and cleared areas. Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:395	303-323 Streatham High Road, London	307 Doctors Surgery, 321-323 Elite Garage Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:396	303-323 Streatham High Road, London	307 Doctors Surgery, 321-323 Elite Garage, 323 Residential  Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:397	303-323 Streatham High Road, London	Tramline on Streatham High Road. Garage existent extending to Coulthurst Court. Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:398	303-323 Streatham High Road, London	Tramline removed. Garage now replaced with car Parking. Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:399	303-323 Streatham High Road, London	Present day site developed Source Site Investigation Report Weston Homes Plc 2002
lambeth-contaminated-land:400	89-95 Crescent lane, Clapham, London	Warehouse currently used by a tyre and exhaust fitting company, 2001 development for residential housing. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:401	89-95 Crescent lane, Clapham, London	1870: detached residential property. South East 150m = Lambeth water works and reservoirs Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:402	89-95 Crescent lane, Clapham, London	1894: site unoccupied, residential development has really developed in the surrounding area. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:403	89-95 Crescent lane, Clapham, London	1916: small workshop facilities are located on the area, now suburban in nature. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:404	89-95 Crescent lane, Clapham, London	1948-1951: current workshop occupies the site Further residential development has occurred rapidly. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:405	89-95 Crescent lane, Clapham, London	1955: the site contains an engineering works. Further small workshop facilities have developed. On the eastern boundary a joinery now exists. North 100m, two motor works buildings are situated. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:406	89-95 Crescent lane, Clapham, London	1966: A motor works now occupies the site. The joinery has become significantly smaller. The motor works still exists to the North. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:407	89-95 Crescent lane, Clapham, London	1968: No significant changes. Lambeth Water Works has become the allotment gardens. Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:408	89-95 Crescent lane, Clapham, London	1976 and 1977: No other changes Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:409	89-95 Crescent lane, Clapham, London	1984 and 1989: the site and vicinity remains unchanged Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:410	Rush Common Mews, Cotherstone Road, Brixton Hill.	Key areas of concern were the oil tanks and drums, paint residues and vehicle parts had all been removed from site and disposed of.
lambeth-contaminated-land:411	Rush Common Mews, Cotherstone Road, Brixton Hill.	The existing oil interceptor had been emptied and a visual inspection revealed no contamination would leak into the surrounding soil, therefore it was removed by the demolition contractor.
lambeth-contaminated-land:412	Rush Common Mews, Cotherstone Road, Brixton Hill.	Any contamination on site is non hazardous and can be contained by sealing it in. However this point was subject to criticism, expressing that new clean soil should have been brought onto the site for gardens and soft landscaping.
lambeth-contaminated-land:413	Rush Common Mews, Cotherstone Road, Brixton Hill.	The site currently forms part of Pinewood Motors bodywork and servicing workshop.
lambeth-contaminated-land:414	Rush Common Mews, Cotherstone Road, Brixton Hill.	the site was occupied by private gardens and remained so until 1949.
lambeth-contaminated-land:415	Rush Common Mews, Cotherstone Road, Brixton Hill.	to date a large unlabeled building with a small open yard was located on the site.
lambeth-contaminated-land:416	Rush Common Mews, Cotherstone Road, Brixton Hill.	The site 2002 was occupied by a car bodywork and servicing workshop.
lambeth-contaminated-land:417	Rush Common Mews, Cotherstone Road, Brixton Hill.	Due to the sites usage as a servicing workshop there is a potential for a degree of ground contamination to be present on the site including solvents, heating oils and lubricant oils as illustrated by the findings of the limited site investigation review.
lambeth-contaminated-land:418	Rush Common Mews, Cotherstone Road, Brixton Hill.	The redevelopment is for housing with private gardens.
lambeth-contaminated-land:419	Rush Common Mews, Cotherstone Road, Brixton Hill.	The only potentially contaminative activity identified in the area was the historic operation of the tram depot to the south.
lambeth-contaminated-land:420	Rush Common Mews, Cotherstone Road, Brixton Hill.	There are no surface waters in the vicinity.
lambeth-contaminated-land:421	Rush Common Mews, Cotherstone Road, Brixton Hill.	South 55m = Tank
lambeth-contaminated-land:422	Rush Common Mews, Cotherstone Road, Brixton Hill.	North west 60m = Laundry, are then unlabelled from 1951-present.
lambeth-contaminated-land:423	Rush Common Mews, Cotherstone Road, Brixton Hill.	West 60m = Garage
lambeth-contaminated-land:424	Rush Common Mews, Cotherstone Road, Brixton Hill.	South west 150m = Electric sub station
lambeth-contaminated-land:425	Rush Common Mews, Cotherstone Road, Brixton Hill.	South 160m = Electric sub station
lambeth-contaminated-land:426	Rush Common Mews, Cotherstone Road, Brixton Hill.	East south east 210m = Electric sub station
lambeth-contaminated-land:427	Rush Common Mews, Cotherstone Road, Brixton Hill.	North 220m= Coach manufacturer, the site was then unlabelled from 1916-1951, 1951-1962 the site became an engineering and carriage works. 1962-1972 the site was a garage.
lambeth-contaminated-land:428	Rush Common Mews, Cotherstone Road, Brixton Hill.	East 240m =Electric sub station
lambeth-contaminated-land:429	Rush Common Mews, Cotherstone Road, Brixton Hill.	Residential property
lambeth-contaminated-land:430	Rush Common Mews, Cotherstone Road, Brixton Hill.	Boys School
lambeth-contaminated-land:431	Rush Common Mews, Cotherstone Road, Brixton Hill.	Automobile Agents
lambeth-contaminated-land:432	Rush Common Mews, Cotherstone Road, Brixton Hill.	Pinewood Motor Co Ltd
lambeth-contaminated-land:433	Lilian Baylis School, Vauxhall, Off Kennington Lane	For the development by Wimpy Homes Housing Initiatives. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:434	Lilian Baylis School, Vauxhall, Off Kennington Lane	Formerly the site was occupied with Victorian Houses Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:435	Lilian Baylis School, Vauxhall, Off Kennington Lane	Post 1955: the site was redeveloped as a council depot, and is mainly disused. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:436	Lilian Baylis School, Vauxhall, Off Kennington Lane	It was reported in 1999 that it was likely that there was demolition rubble in former basements and areas of contamination associated with activities in the depot, particularly if the servicing of vehicles was undertaken. Source Wimpey Homes Housing Initi
lambeth-contaminated-land:437	Lilian Baylis School, Vauxhall, Off Kennington Lane	Two petrol interceptors were found and an area of oil staining was identified. There was also a possible paint shop, where solvents may have been used. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:438	Lilian Baylis School, Vauxhall, Off Kennington Lane	It is also known that there was a fuelling island near the entrance to the site, but the location of underground fuel tanks or there present status is not known. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:439	Lilian Baylis School, Vauxhall, Off Kennington Lane	Within the garden area of the site one concentration of arsenic exceeded the ICRCL threshold trigger concentration for domestic gardens. Arsenic levels in two areas of the site exceeded the threshold concentration for open space. However the ICRCL thresho
lambeth-contaminated-land:440	Lilian Baylis School, Vauxhall, Off Kennington Lane	The level of lead also exceeded the ICRCL threshold trigger concentration for domestic gardens, and also one further concentration of lead exceeded the threshold for open space. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:441	Lilian Baylis School, Vauxhall, Off Kennington Lane	One concentration of Mercury exceeded the threshold concentration for open space. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:442	Lilian Baylis School, Vauxhall, Off Kennington Lane	Three concentrations of copper exceeded the threshold concentration for domestic gardens and open spaces. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:443	Lilian Baylis School, Vauxhall, Off Kennington Lane	Five concentrations of zinc exceeded the threshold concentration for domestic gardens and open spaces. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:444	Lilian Baylis School, Vauxhall, Off Kennington Lane	The concentration of hydrocarbons found in the investigation did not give cause for concern. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:445	Lilian Baylis School, Vauxhall, Off Kennington Lane	The site lies to the West of Kennington Lane Gas Works. Source Wimpey Homes Housing Initiatives ENSR, September 1999
lambeth-contaminated-land:446	Lilian Baylis School, Vauxhall, Off Kennington Lane	The requirements were requested and investigation performed for the proposed development of school buildings with associated play areas and car parking. Source: Factual Report on Ground Investigation, 2001 Mott MacDonald Soil Mechanics for Focus Education
lambeth-contaminated-land:447	South of Wandsworth Road, Slightly North and opposite Newby Street	Works.
lambeth-contaminated-land:448	South of Atkins Road, North of Weir Road, Left of Weir Maternity Hospital SW12	3x Works, usage unknown, 1 depot, on the right of the hospital there is also a small electric sub station.
lambeth-contaminated-land:148	75 Emmanuel Road, London	it was expressed that the soil remediation and replacement had been conducted thoroughly and properly. Source, letter from Aspinwall & Co, to Adrian Brown 1 April 1998
lambeth-contaminated-land:149	334 Streatham High Road, Streatham	conformation was made for the proposals for soil remediation are in line with those normally recommended by the council.
lambeth-contaminated-land:150	86/88 Gresham  Road	site used mainly as a depot for a national scaffolding company and is for the most part hard surfaced with concrete. To the west of the site, there are a number of railway arches, that may be used for storage. Through the 1960's-1980's this site was a Tes
lambeth-contaminated-land:151	86/88 Gresham  Road	Valentia Place : Located on this road is a warehouse. Source, letter from Mr Colin Stanbury Environmental Health Officer to Waterman Environmental 20 March 1998
lambeth-contaminated-land:152	132 Herne Hill, Rosendale Road	Site was previously used for the bulk storage of petrol and possibly other chemicals, there is likely to be some degree of contamination. Source letter from David Bright to QDS Environmental Ltd, 27 June 2001. Also Letter to Lambeth council from Springet
lambeth-contaminated-land:153	132 Herne Hill, Rosendale Road	Proposed development and pending Planning Application in relation to the site will require the removal of two decommissioned underground petrol storage tanks, plus potentially one other decommissioned tank present beneath the site.
lambeth-contaminated-land:154	Corporation Yard, Hillside Road, London	The levels of total arsenic and total lead were found to exceed their respective lower threshold trigger concentration for use in gardens and allotments. However these were below the upper threshold for use in parks playing fields and open spaces. Source
lambeth-contaminated-land:155	Corporation Yard, Hillside Road, London	The level of total zinc, and total copper were found to exceed their respective single threshold trigger concentration for any uses where plants are to be grown. Source, letter to Collier Contracts Ltd, from Mr C Stanbury
lambeth-contaminated-land:156	174-178 Clapham Park Road, London,	Site was free from heavy metal contamination, however there are significant hydrocarbon, oil and grease deposits present in the groundwater. Source, letter from Mr. Colin Stanbury, Environmental Health Officer to A.P Geotechnics 23 May 1997
lambeth-contaminated-land:157	174-178 Clapham Park Road, London,	The condition of the infill material to the front of the site is also of concern. Source, letter from Mr. Colin Stanbury, Environmental Health Officer to A.P Geotechnics 23 May 1997
lambeth-contaminated-land:158	174-178 Clapham Park Road, London,	A previous investigation regarded the area as uncontaminated, however this opinion is criticized. Source, letter from Mr. Colin Stanbury, Environmental Health Officer to A.P Geotechnics 23 May 1997
lambeth-contaminated-land:159	3,5,&7 Union Road SW4 and 4A Kings Avenue.	There was no reason to suspect that either of the subject sites has been exposed to gross contamination from past industrial uses. Source, letter from Mr Colin Stanbury, Environmental Health Officer to City Space Property 13 July 2001
lambeth-contaminated-land:160	3,5,&7 Union Road SW4 and 4A Kings Avenue.	Report expressed that there would be no public health issue with the presence of Arsenic on the site.
lambeth-contaminated-land:161	3,5,&7 Union Road SW4 and 4A Kings Avenue.	The elevated levels of lead were expressed to be unremarkable for an inner London site. Particularly so as there will be no individual gardens or children's play areas.
lambeth-contaminated-land:162	3,5,&7 Union Road SW4 and 4A Kings Avenue.	Plant growth may however be inhibited by the impact from Copper and Zinc concentrations.
lambeth-contaminated-land:163	Knights Hill, Norwood, London	The site investigation revealed that there was no live pollution issues affecting this site.
lambeth-contaminated-land:164	Knights Hill, Norwood, London	In proximity to the site, the historical land use of the area can be described as mixed residential and commercial area.  There is a major production facility for bitumen based paints situated proximate to the site in Chapel Road. Similarly, there is a fu
lambeth-contaminated-land:165	Former Petrol Station, 319-323 Streatham High Road	Departmental records confirmed there were no live pollution issues affecting the site.
lambeth-contaminated-land:166	1-16 Pembroke Lodge, Leigham Court Road	No current or historical records which would indicate pollution incidents near to or at Pembroke Lodge. Source letter from Mr C Stanbury to Tunstill & CO.
lambeth-contaminated-land:167	Langley Lane, Vauxhall, London	No environmental concern in this area. Source, letter from Environmental Health officer to Nigell Upchurch Associates 2000
lambeth-contaminated-land:168	Langley Lane, Vauxhall, London	Proposed development of the existing school for residential purposes. The victoria London Underground line is known to exist below the site and will pass beneath the new development.
lambeth-contaminated-land:169	Langley Lane, Vauxhall, London	Generally residential with large gardens.
lambeth-contaminated-land:170	Langley Lane, Vauxhall, London	Residential development has increased. Crown Works was located southeast of the site and Vauxhall Park was located to the south of the site.
lambeth-contaminated-land:171	Langley Lane, Vauxhall, London	The school has been development. The larger buildings in the south west of the site were being used as a laundry.
lambeth-contaminated-land:172	Langley Lane, Vauxhall, London	The crown works to the southeast manufactured building materials.
