"OrganisationURI","OrganisationLabel","SiteReference","PreviouslyPartOf","SiteNameAddress","SitePlanURL","CoordinateReferenceSystem","GeoX","GeoY","Hectares","OwnershipStatus","Deliverable","PlanningStatus","PermissionType","PermissionDate","PlanningHistory","ProposedForPIP","MinNetDwellings","DevelopmentDescription","NonHousingDevelopment","Part2","NetDwellingsRangeFrom","NetDwellingsRangeTo","HazardousSubstances","SiteInformation","Notes","FirstAddedDate","LastUpdatedDate","Easting","Northing"
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00237/AVA",,"The Boots Company Beeston site","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00237%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00237%2FAVA","ETRS89","-1.191896","52.921303","14.68","not owned by a public authority","yes","pending decision",,"",,,400,"Outline application for mixed-use development comprising: up to 82,000sqm of employment floorspace, comprising office units (B1a); research and development (B1b); industrial process (B1c); general industrial (B2); storage and distribution (B8); residential institutions (C2); non-residential institutions (D1); up to 2,500sqm retail & food/drink (A1, A2, A3, A4 and A5); up to 675 residential units (C3); and associated works including demolition of existing structures; earthworks; remediation; access; car parking; pedestrian and cycle routes; open space; utilities; sustainable drainage systems",,,,,,,"This site crossed the boundary with Nottingham City Council therefore the number of dwellings in the description is not expected to be delivered in its entirety within Broxtowe.","2017-12-13","2017-12-13",454430,336292
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00193/AVA",,"Chetwynd Barracks Chetwynd Road Chilwell","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00193%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00193%2FAVA","ETRS89","-1.250633","52.91269","94.57","mixed ownership",,"not permissioned",,"",,,500,"Residential led allocation in the emerging Local Plan (not yet allocated).","New Primary school, small retail/service centre and small scale employment development.",,,,,,"Owned by the Ministry of Defence, a private body has ownership interest in the existing on-site residential units to the north.","2017-12-13","2017-12-13",450491,335291
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00571/AVA",,"Land Fronting Wollaton Road Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00571%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00571%2FAVA","ETRS89","-1.218269","52.929498","0.06","not owned by a public authority",,"not permissioned",,"",,,12,"Residential allocation in the emerging Local Plan (not adopted).",,,,,,,,"2017-12-13","2017-12-13",452647,337184
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00239/AVA",,"Works Bailey Street Stapleford","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00239%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00239%2FAVA","ETRS89","-1.282266","52.924176","0.3","not owned by a public authority",,"not permissioned",,"",,,15,"Construct 15 N° dwellings",,,,,,,"Outline permission to demolish existing commercial units and construct 15 N° dwellings lapsed.","2017-12-13","2017-12-13",448351,336547
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00449/AVA",,"Beeston Cement Depot Station Road Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00449%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00449%2FAVA","ETRS89","-1.206283","52.921931","1.19","not owned by a public authority",,"not permissioned",,"",,,21,"Residential allocation in the emerging Local Plan (not adopted).",,,,,,,"Owned by Network Rail","2017-12-13","2017-12-13",453462,336351
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00150/AVA",,"Beeston Maltings, Dovecote Lane, Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00150%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00150%2FAVA","ETRS89","-1.210551","52.919487","1.32","not owned by a public authority",,"not permissioned",,"",,,56,"Residential allocation in the emerging Local Plan (not yet allocated).",,,,,,,,"2017-12-13","2017-12-13",453178,336076
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00771/AVA",,"The Square Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00771%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00771%2FAVA","ETRS89","-1.214823","52.925889","1.39","owned by a public authority",,"not permissioned",,"",,,100,"Mixed use allocation in the emerging Local Plan (not adopted) with a minimum of 100 homes.","Cinema, food, drink and leisure uses.",,,,,,"Owned by Broxtowe Borough Council.","2017-12-13","2017-12-13",452883,336785
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00138/AVA",,"Walker Street Eastwood","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00138%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00138%2FAVA","ETRS89","-1.299311","53.019169","7.47","owned by a public authority","yes","not permissioned",,"",,,200,"Construct 113 apartments, 27 bungalows, energy centre and associated access road, car parking, amenity space and landscaping.",,,,,,,"Planning permission granetd at appeal with one year timelimit (which has now lapsed).","2017-12-13","2017-12-13",447102,347103
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00343/AVA",,"St Johns College, Peache Way, Bramcote","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00343%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00343%2FAVA","ETRS89","-1.242212","52.929087","3.52","not owned by a public authority","yes","permissioned","full planning permission","2017-09-19",,,40,"Erection of 40 dwellings (following demolition of buildings and other associated structures) with associated vehicle access, car parking and landscaping.","Change of use of St John's school of mission from residential institution (Class C2) to non-residential institution (Class D1)",,,,,,,"2017-12-13","2017-12-13",451038,337121
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00258/AVA",,"Land at Lilac Grove, Beeston","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00258%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00258%2FAVA","ETRS89","-1.195344","52.92068","12.95","not owned by a public authority","yes","not permissioned",,"",,,150,"Residential allocation in the emerging Local Plan (not adopted).",,,,,,,"Owned by Severn Trent","2017-12-13","2017-12-13",454199,336220
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00419/AVA",,"Wadsworth Rd, Stapleford, Nottingham","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00419%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00419%2FAVA","ETRS89","-1.261136","52.935166","0.51","owned by a public authority",,"not permissioned",,"",,,11,"Site is in a suitable urban location.",,,,,,,"Owned by Nottinghamshire County Council","2017-12-13","2017-12-13",449759,337784
"http://opendatacommunities.org/id/district-council/broxtowe","Broxtowe","SHLAA/00163/AVA",,"132 Chewton Street Eastwood","http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00163%2FAVA#http://www.arcgis.com/apps/webappviewer/index.html?id=08f516e5e14b48cfa555e52edb7e58f6&query=External_Layes_3711%2CSITEREFERENCE%2CSHLAA%2F00163%2FAVA","ETRS89","-1.305555","53.010918","0.28","not owned by a public authority","yes","permissioned","full planning permission","2016-07-15",,,13,"Construct 13 N° dwellings (revised scheme)",,,,,,,,"2017-12-13","2017-12-13",446692,346181
