OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningReference,ConstructionStatus
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/011,,"""Spalding Lifestyle, Spalding Road, Pinchbeck""",https://www.sholland.gov.uk/media/7500/Spalding-Lifestyle-Spalding-Road-Pinchbeck/pdf/Spalding_Lifestyle__Spalding_Road__Pinchbeck.pdf,OSGB36,524735,324410,1.68,Not owned by a public authority,Yes,Not permissioned,,,,,50,,,,50,67,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Spalding-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network but that this should not impact upon the site's deliverability. The site is adjacent to an industrial estate which has the potential to be a bad neighbour, although there are residential properties nearby. The impact of the adjacent industrial uses on residential development might be addressed by dwelling choice, layout and the use of open space. SHLAA ref no: Pin050. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017)."" ",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SPA/012,,"""36 Holbeach Road, Spalding""",https://www.sholland.gov.uk/media/7529/36-Holbeach-Road-Spalding/pdf/36_Holbeach_Road__Spalding.pdf,OSGB36,525621,323643,0.05,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/09/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,,6,Erection of 6 two-storey dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,,22/11/2017,22/11/2017,H16-0505-17,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/CRO/001,,"""59-61 Broadway, Crowland""",https://www.sholland.gov.uk/media/7528/59-61-Broadway-Crowland/pdf/59-61_Broadway__Crowland.pdf,OSGB36,523900,309922,0.15,Not owned by a public authority,Yes,Permissioned,Full planning permission,13/04/2015,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0147-15&from=planningSearch,,5,Erection of 3 detached and a pair of semi-detached bungalows with detached garages,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0147-15&from=planningSearch,"""4 dwellings completed, 1 under construction""",22/11/2017,22/11/2017,H02-0147-15,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/CRO/002,,"""Land to the rear of 60 North Street, Crowland""",https://www.sholland.gov.uk/media/7510/Land-to-the-rear-of-60-North-Street-Crowland/pdf/Land_to_the_rear_of_60_North_Street__Crowland.pdf,OSGB36,523762,310456,0.35,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,18/06/2006,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-1765-06&from=planningSearch,,10,Erection of 10 dwellings and associated works,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-1765-06&from=planningSearch,"""Correspondence between the council and agent confirms that the permission has been implemented, although it appears that there has been limited development activity on site. """,22/11/2017,22/11/2017,H02-1765-06,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/CRO/003,,"""Land to the east of Crease Drove, Crowland""",https://www.sholland.gov.uk/media/7513/Land-to-the-east-of-Crease-Drove-Crowland/pdf/Land_to_the_east_of_Crease_Drove__Crowland.pdf,OSGB36,523767,309657,1.54,Not owned by a public authority,Yes,Permissioned,Outline planning permission,09/10/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0554-16&from=planningSearch,,50,Residential development,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0554-16&from=planningSearch,,22/11/2017,22/11/2017,H02-0554-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/CRO/004,,"""South View Community Primary School, Broadway, Crowland""",https://www.sholland.gov.uk/media/7501/South-View-Community-Primary-School-Broadway/pdf/South_View_Community_Primary_School__Broadway.pdf,OSGB36,523928,310031,0.68,Owned by a public authority,Yes,Permissioned,Outline planning permission,16/08/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0405-17&from=planningSearch,,22,Residential development - erection of up to 22 dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0405-17&from=planningSearch,,22/11/2017,22/11/2017,H02-0405-17,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/DON/001,,"""Former Red Cow Hotel, 8 High Street, Donington""",https://www.sholland.gov.uk/media/7519/Former-Red-Cow-Hotel-8-High-Street-Donington/pdf/Former_Red_Cow_Hotel__8_High_Street__Donington.pdf,OSGB36,520928,335753,0.33,Not owned by a public authority,Yes,Permissioned,Full planning permission,07/12/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,,31,Proposed residential development (31 dwellings) and demolition of Tap Bar,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,,22/11/2017,22/11/2017,H04-0314-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/DON/002,,"""Land off Park Lane, Donington""",https://www.sholland.gov.uk/media/7515/Land-off-Park-Lane-Donington/pdf/Land_off_Park_Lane__Donington.pdf,OSGB36,520650,335681,0.12,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/05/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0180-17&from=planningSearch,,7,Erection of 3 x 2 bed and 4 x 3 bed dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0180-17&from=planningSearch,,22/11/2017,22/11/2017,H04-0180-17,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/HOB/001,,"""Orchard House, Fleet Road, Holbeach""",https://www.sholland.gov.uk/media/7504/Orchard-House-Fleet-Road-Holbeach/pdf/Orchard_House__Fleet_Road__Holbeach.pdf,OSGB36,536987,324935,1.5,Not owned by a public authority,Yes,Permissioned,Full planning permission,01/10/2011,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H05-0563-11&from=planningSearch,,32,Conversion of redundant health facility into 14 dwellings and erection of 18 terraced dwellings complete with parking facilities,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H05-0563-11&from=planningSearch,All 32 dwellings under construction,22/11/2017,22/11/2017,H05-0563-11,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/HOB/002,,"""Holbeach House, Fleet Road, Holbeach""",https://www.sholland.gov.uk/media/7518/Holbeach-House-Fleet-Road-Holbeach/pdf/Holbeach_House__Fleet_Road__Holbeach.pdf,OSGB36,537016,324885,0.66,Not owned by a public authority,Yes,Permissioned,Full planning permission,09/01/2004,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H05-0720-03&from=planningSearch,,20,"""Change of use of residential care home to twenty residential units, including alterations""",,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H05-0720-03&from=planningSearch,"""13 dwellings completed, 7 under construction""",22/11/2017,22/11/2017,H05-0720-03,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/HOB/003,,"""Station Street, Holbeach""",https://www.sholland.gov.uk/media/7499/Station-Street-Holbeach/pdf/Station_Street__Holbeach.pdf,OSGB36,538850,324325,0.4,Not owned by a public authority,Yes,Permissioned,Full planning permission,04/11/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H09-0242-16&from=planningSearch,,12,Erection of 12 dwellings with associated works,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H09-0242-16&from=planningSearch,,22/11/2017,22/11/2017,H09-0242-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/HOB/004,,"""Church Street, Holbeach""",https://www.sholland.gov.uk/media/7525/Church-Street-Holbeach/pdf/Church_Street__Holbeach.pdf,OSGB36,535760,324616,0.48,Not owned by a public authority,Yes,Permissioned,Full planning permission,08/11/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H09-0770-16&from=planningSearch,,19,Residential development - 19 dwellings,,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H09-0770-16&from=planningSearch,All 19 dwellings under construction,22/11/2017,22/11/2017,H09-0770-16,Under construction
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/HOB/005,,"""The Bell Inn, 21 High Street, Holbeach""",https://www.sholland.gov.uk/media/7498/The-Bell-Inn-21-High-Street-Holbeach/pdf/The_Bell_Inn__21_High_Street__Holbeach.pdf,OSGB36,535945,324838,0.02,Not owned by a public authority,Yes,Permissioned,Full planning permission,28/11/2016,http://planning.sholland.gov.uk/OcellaWeb/showDocuments?reference=H09-0875-16&module=pl,,5,"""Conversion of first and second floors into self-contained apartments, including alterations and rear extension plus re-building of ground floor toilet block (5 dwellings)""",,,,,http://planning.sholland.gov.uk/OcellaWeb/showDocuments?reference=H09-0875-16&module=pl,,22/11/2017,22/11/2017,H09-0875-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/LOS/001,,"""The Bull Hotel, Market Place, Long Sutton""",https://www.sholland.gov.uk/media/7497/The-Bull-Hotel-Market-Place-Long-Sutton/pdf/The_Bull_Hotel__Market_Place__Long_Sutton.pdf,OSGB36,534115,322955,0.64,Not owned by a public authority,Yes,Permissioned,Full planning permission,12/01/2015,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H11-0123-13&from=planningSearch,,39,"""Alterations, refurbishment and extension to Bull Hotel and adjacent outbuildings. Erect 39 residential units, car parking and access road""","""Scheme includes the retention, refurbishment and enhancement of the Bull Hotel""",,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H11-0123-13&from=planningSearch,,22/11/2017,22/11/2017,H11-0123-13,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/001,,"""Land to the west of Bear Lane, Pinchbeck""",https://www.sholland.gov.uk/media/7506/Land-to-the-west-of-Bear-Lane-Pinchbeck/pdf/Land_to_the_west_of_Bear_Lane__Pinchbeck.pdf,OSGB36,524062,325966,0.26,Not owned by a public authority,Yes,Not permissioned,,,,,5,,,,5,7,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that redevelopment of the existing commercial site for residential development would be acceptable in highway terms but it would be useful to optimise the position of the access. The site is near to the Pinchbeck Conservation Area and listed buildings. SHLAA ref no: Pin003""",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/002,,"""Former Dairy Depot, Pennyfield, Pinchbeck""",https://www.sholland.gov.uk/media/7522/Former-Dairy-Depot-Pennyfield-Pinchbeck/pdf/Former_Dairy_Depot__Pennyfield__Pinchbeck.pdf,OSGB36,523765,325096,0.44,Unknown ownership,Yes,Not permissioned,,,,,9,,,,9,11,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network but that this should not impact upon the site's deliverability. SHLAA ref no: Pin062."" ",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/003,,"""Birchgrove Garden Centre, Surfleet Road, Pinchbeck""",https://www.sholland.gov.uk/media/7526/Birchgrove-Garden-Centre-Surfleet-Road-Pinchbeck/pdf/Birchgrove_Garden_Centre__Surfleet_Road__Pinchbeck.pdf,OSGB36,524651,326791,2.44,Not owned by a public authority,,Not permissioned,,,,,49,,,,49,61,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network -  SHLAA ref no: Pin065. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).""",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/PIN/004,,"""Land to the north of Market Way, Pinchbeck""",https://www.sholland.gov.uk/media/7511/Land-to-the-north-of-Market-Way-Pinchbeck/pdf/Land_to_the_north_of_Market_Way__Pinchbeck.pdf,OSGB36,524043,324961,1.32,Not owned by a public authority,,Not permissioned,,,,,26,,,,26,33,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Pinchbeck-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that although the principle of re-developing this existing nursery site for residential use is acceptable in highway terms, there would need to be provision made for pedestrian access. There is filled land to the boundaries. The SHLAA has identified a need to improve the water and foul sewerage network. SHLAA ref no: Pin002. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).""",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SUB/001,,"""Land to the south of Bridge Road, Sutton Bridge""",https://www.sholland.gov.uk/media/7509/Land-to-the-south-of-Bridge-Road-Sutton-Bridge/pdf/Land_to_the_south_of_Bridge_Road__Sutton_Bridge.pdf,OSGB36,547455,321364,0.24,Not owned by a public authority,Yes,Not permissioned,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H18-0879-05&from=planningSearch,,5,,,,5,6,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H18-0879-05&from=planningSearch,"""A private driveway serving a limited number of (low density) plots would be the preferred option in highway terms. Outline permission for the development of 6 dwellings expired (H18-0879-05). South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) ref no: Sub017.""",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/COW/001,,"""Paul Cott Transport, Barrier Bank, Cowbit""",https://www.sholland.gov.uk/media/7503/Paul-Cott-Transport-Barrier-Bank-Cowbit/pdf/Paul_Cott_Transport__Barrier_Bank__Cowbit.pdf,OSGB36,525583,318178,0.24,Not owned by a public authority,Yes,Permissioned,Outline planning permission,30/06/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H01-0120-17&from=planningSearch,,5,Residential Development (5 plots),,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H01-0120-17&from=planningSearch,,22/11/2017,22/11/2017,H01-0120-17,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/COW/002,,"""Land to the west of Mill Drove, Cowbit""",https://www.sholland.gov.uk/media/7505/Land-to-the-west-of-Mill-Drove-Cowbit/pdf/Land_to_the_west_of_Mill_Drove__Cowbit.pdf,OSGB36,526556,318165,0.65,Not owned by a public authority,Yes,Not permissioned,,,,,13,,,,13,16,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Spalding-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that Mill Drove has poor visibility at its junction with Stonegate which is a problem that will need to be overcome to the satisfaction of the Highway Authority. SHLAA ref no: Cow008""",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/MOU/001,,"""Former Gardman Premises, High Street, Moulton""",https://www.sholland.gov.uk/media/7521/Former-Gardman-Premises-High-Street-Moulton/pdf/Former_Gardman_Premises__High_Street__Moulton.pdf,OSGB36,530796,323935,2.58,Not owned by a public authority,Yes,Not permissioned,,,,,52,,,,52,65,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Moulton-map-and-report.pdf,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a Grade 1 listed windmill to the north of the site and it is adjacent to the Moulton Conservation Area. Any development proposal would need to be informed by a Heritage Impact Assessment. In addition, the land is filled in places and is a former factory and so there may be some contamination. SHLAA ref no: Mou035""",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/QUA/001,,"""Land south of Main Road, Quadring""",https://www.sholland.gov.uk/media/7507/Land-to-the-south-of-Main-Road-Quadring/pdf/Land_to_the_south_of_Main_Road__Quadring.pdf,OSGB36,522207,333280,0.64,Not owned by a public authority,Yes,Permissioned,Full planning permission,04/08/2017,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H15-0672-16&from=planningSearch,,9,"""Demolition of existing structures and erection of 9 houses along the access, landscaping and associated works""",,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H15-0672-16&from=planningSearch,"""Planning permission for development of 9 dwellings granted on 04/08/2017, but the South East Lincolnshire Strategic Housing Land Availability Assessment SHLAA) (April 2017) indicates site capable of accommodating 13 dwellings. SHLAA ref no: Qua002.""",22/11/2017,22/11/2017,H15-0672-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SUR/001,,"""3-11 Park Lane, Surfleet""",https://www.sholland.gov.uk/media/7533/3-11-Park-Lane-Surfleet/pdf/3-11_Park_Lane__Surfleet.pdf,OSGB36,525171,328091,0.19,Not owned by a public authority,Yes,Permissioned,Outline planning permission,27/10/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H17-0537-16&from=planningSearch,,6,Residential development (6 dwellings),,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H17-0537-16&from=planningSearch,,22/11/2017,22/11/2017,H17-0537-16,Not started
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/SUJ/001,,"""Land to the south of Chapel Gate, Sutton St James""",https://www.sholland.gov.uk/media/7508/Land-to-the-south-of-Chapel-Gate-Sutton-St-James/pdf/Land_to_the_south_of_Chapel_Gate__Sutton_St_James.pdf,OSGB36,539658,318273,0.53,Not owned by a public authority,Yes,Not permissioned,,,,,10,,,,10,13,http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Moulton-map-and-report.pdf,"""Redevelopment of the site would provide an opportunity to enhance the setting of the Grade II listed Church of St James and Grade II* listed Tower to the Church of St James. A significant landscaping component at the Chapel Gate frontage would aid this. The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that there is a need to improve the water and foul sewerage network.  SHLAA ref no: Suj007. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017)."" ",22/11/2017,22/11/2017,,
http://opendatacommunities.org/id/district-council/south-holland,South Holland District Council,BLR/WHA/001,,"""Land off Kirkgate/Cross Street, Whaplode""",https://www.sholland.gov.uk/media/7516/Land-off-Kirkgate-and-Cross-Street-Whaplode/pdf/Land_off_Kirkgate_and_Cross_Street__Whaplode.pdf,OSGB36,532427,324246,0.39,Not owned by a public authority,Yes,Permissioned,Full planning permission,10/03/2016,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H23-1182-15&from=planningSearch,,8,Proposed residential development and associated works (8 dwellings),,,,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H23-1182-15&from=planningSearch,"""5 dwellings completed, 3 under construction""",22/11/2017,22/11/2017,H23-1182-15,Under construction
