OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Source,Status,Ward
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,W01731JS/04,,"""Grahame Park Estate - Bounded By Lanacre Avenue To The West, Grahame Park Way To The South And Field Mead To The North London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.246305,51.601484,521650.00,190812.00,34.30,not owned by a public authority,Yes,permissioned,outline planning permission,2007-01-17,,,2977,"Redevelopment of site involving the demolition of 1314 existing residential units and construction of 2977 new residential units providing a total of 3440 units on the estate, provision of approximately 9074sqm replacement retail (Class A1), office (Clas",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/00308/11,,"""Phase 1B, Grahame Park Estate, Colindale, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.24481,51.598138,521640.00,190294.00,4.03,not owned by a public authority,Yes,permissioned,reserved matters approval,2012-02-21,,,441,"Reserved matters application seeking approval for design, external appearance and landscaping for Phase 1B of the Grahame Park Estate Regeneration comprising 441 residential units (excluding Block A9), 5,483sqm (GEA) of non-residential floorspace includi",,,,,,,Part of W01731JS/04 outline planning permission,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07210/FUL,,"""Development Plot B6 (Grahame Park Estate Regeneration), Lanacre Avenue, Colindale""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.244775,51.598486,521722.00,190209.00,3.44,owned by a public authority,Yes,permissioned,full planning permission,2015-07-15,,,92,"Revised application for development of plot B6 comprising buildings between 1 and 6 storeys, to accommodate 92 residential units (84 flats and 8 dwellinghouses); associated vehicle access, highways, parking, landscaping, amenity space, refuse and cycle s",,,,,,,Part of W01731JS/04 outline planning permission,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/04753/14,,"""Peel Centre,Peel Drive, Colindale, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.243944,51.593334,521806.00,189735.00,20.36,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-23,,,2900,"Hybrid planning application for the phased comprehensive redevelopment of part of the existing Peel Centre site including the demolition of all existing buildings and the provision of a residential-led mixed use development comprising up to 2,900 new res",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/1683/NMA,,"""Blocks T And U, Peel Centre, Peel Drive, Colindale, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.239135,51.593375,522070.00,189747.00,0.18,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2016-04-06,,,211,"Non-material amendment pursuant to planning permission H/04753/14 dated 23.12.2015 for ""Hybrid planning application for the phased comprehensive redevelopment of part of the existing Peel Centre site including the demolition of all existing buildings and",,,,,,,Part of H/04753/14 planning application,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/5050/S73,,"""Blocks P and Q, Peel Centre, Aerodrome Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.243738,51.59266,521751.00,189667.00,0.71,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2016-12-05,,,241,Minor Material Amendment  to condition  1 (Approved Plans)  of  Planning Permission  for H/04753/14 Hybrid planning application for the phased comprehensive redevelopment of part of the existing Peel Centre site including the demolition of all existing b,,,,,,,Part of H/04753/14 planning application,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/7836/S73,,"""Blocks H, J, K and M, Colindale Gardens (Formerly Peel Centre), Aerodrome Road, Colindale, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.244795,51.593465,521671.00,189744.00,1.82,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2017-05-05,,,428,Minor Material Amendment to condition 1 (Approved Plans) of Planning Permission for H/04753/14 dated 23/12/2015 as amended by S73 Application 16/5050/S73 dated 05.12.2016. Hybrid planning application for the phased comprehensive redevelopment of part of,,,,,,,Part of H/04753/14 planning application,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2564/RMA,,"""Phases 2A, 2B and 2C, Colindale Gardens (Former Peel Centre), Aerodrome Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.246564,51.594698,521540.00,189890.00,2.73,not owned by a public authority,Yes,permissioned,full planning permission,2017-08-02,,,483,"Reserved matters application seeking approval of appearance, landscaping, layout and scale for Phases 2A, 2B and 2C of the Colindale Gardens (Former Peel Centre) development pursuant to outline planning permission reference H/04753/14 dated 23/12/2015 as",,,,,,,Part of H/04753/14 planning application,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,W00198AA/04,,"""Former Raf East Camp Site, Aerodrome Road, Grahame Park Way, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.240273,51.595597,521891.00,189978.00,13.22,not owned by a public authority,Yes,permissioned,outline planning permission,2005-04-08,,,2800,"Redevelopment of site comprising 2800 residential units (Class C3), approximately 7850sqm of retail (Class A1), financial and professional services (Class A2), food and drink (Class A3), business (Class B1), leisure and community (Class D1 and D2) uses a",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/01259/08,,"""Former Raf East Camp, Hendon, Block E""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.237956,51.594166,522150.00,189850.00,1.04,not owned by a public authority,Yes,permissioned,reserved matters approval,2009-07-01,,,445,"Reserved matters application seeking approval for design and external appearance in relation to the next phase (Block E) of the development, comprising 442 residential units and 639.5 sq. m of commercial accommodation including use classes A1 to A5 or B1",,,,,,,Part of W00198AA/04 outline planning permission,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/02976/14,,"""Unit 1 & 2, Colindale Business Centre, 126 Colindale Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.251508,51.594128,521207.00,189809.00,0.11,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2014-07-30,,,5,Change of use of first floor from B1 office to C3 residential (5 Units),,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05856/13,,"""British Library Newspapers, 130 Colindale Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.250471,51.594131,521288.00,189791.00,1.23,not owned by a public authority,Yes,permissioned,full planning permission,2014-12-23,,,388,"Demolition of all existing buildings; redevelopment to provide 395 flats, 772sqm of retail/financial/professional/restaurant/café uses (Use Classes A1/A2/A3) and 112sqm of floorspace for retail/financial/professional/restaurant/café uses (Use Classes A1/",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05915/14,,"""Hyde House, Rushgrove Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.247997,51.584924,521472.00,188796.00,0.47,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2014-12-24,,,40,Change of use from Class B1 (Office) to Class C3 (Residential) (40 Units) on floors 7 to 11,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/03551/14,,"""Barnet And Southgate College, Grahame Park Way, Colindale""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.242475,51.603923,521825.00,190886.00,5.46,mixed owner,Yes,permissioned,full planning permission,2015-05-06,,,396,"Demolition of all existing buildings; redevelopment to provide 396 residential units (266 flats, 56 maisonettes and 74 dwellinghouses) in buildings ranging from 3 to 9 storeys; access from Grahame Park Way and Corner Mead; associated internal street netw",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05828/14,,"""Homebase, Rookery Way, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.245294,51.584738,521604.00,188746.00,2.45,mixed owner,Yes,permissioned,full planning permission,2015-10-21,,,386,"Demolition of the existing buildings, and the erection of eight blocks of apartments of 6-8 storeys with a building of 14 storeys adjacent to The Hyde (the A5, Edgware Road) and three terraced blocks comprising housing and duplex apartments, providing 38",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05833/14,,"""126 Colindale Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.251328,51.593906,521225.00,189787.00,0.26,not owned by a public authority,Yes,permissioned,full planning permission,2016-12-20,,,35,"Demolition of existing business centre and construction of 2 no. two five storey buildings to provide 35 no. residential flats and 566 m2 of commercial floor space (Use Class B1), including basement car park with 44 car spaces and 70 cycle spaces. Provis",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Colindale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/02366/13,,"""11-13 Approach Road, Barnet, Herts""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.172409,51.649323,526539.00,196082.00,0.07,mixed owner,Yes,permissioned,full planning permission,2014-01-20,,,15,"Erection of 5 storey building and basement floor level to facilitate 15 self-contained residential units, 15 car parking spaces and cycle store at basement level. Provision of solar panels at roof level. Hard and soft landscaping.",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/04142/14,,"""142 East Barnet Road, Barnet, Herts""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.168574,51.647808,526807.00,195922.00,0.03,unknown owner,Yes,permissioned,outline planning permission,2014-10-01,,,5,"Change of use of existing shop (Use Class A1) and part two storey, part single storey rear extension and roof extension with rear dormer window to facilitate the creation of 5 flats. Construction of replacement garage to rear of site (Outline Application",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/04834/14,,"""Land Formerly Known As British Gas Works Albert Road, East Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.17316,51.652192,526477.00,196498.00,2.52,mixed owner,Yes,permissioned,full planning permission,2015-05-01,,,305,"Residential-led, mixed-use development of the Former Albert Road Gas Works comprising the erection of 305 residential units (Use Class C3), 116 sq m of Retail floorspace (Use Class A1/A2/A3/A4) and 558 sq m of flexible Commercial floorspace (Use Class A3",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3262/FUL,,"""Land Adjacent To 106 -128 Mount Pleasant And 27-37, Langford Road, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.158963,51.652401,527460.00,196460.00,0.23,owned by a public authority,Yes,permissioned,full planning permission,2017-04-20,,,12,"Demolition of garden walls and erection of two 3-storey buildings comprising of 12no. self-contained flats with associated access, car parking, cycle and refuse storage, amenity space and landscaping",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/3327/FUL,,"""181 Victoria Road, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.166694,51.647998,526929.00,195946.00,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2017-09-06,,,7,Erection of 4 storey block comprising 7 flats,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,East Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04402/09,,"""16 Fortis Green, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.162677,51.58998,527376.00,189502.00,0.03,not owned by a public authority,Yes,permissioned,full planning permission,2010-02-09,,,5,Conversion of three flats into five flats following formation of front and rear lightwells at basement level and alterations to roof including two rear dormers to facilitate a loft conversion. Installation of solar panels to rear and front roof slope.,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,East Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/02952/13,,"""41 Wilmot Close, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.176877,51.597974,526365.00,190376.00,0.18,not owned by a public authority,Yes,permissioned,full planning permission,2013-10-14,,,16,Erection of two-storey building to create 16 one bedroom sheltered housing self-contained residential,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,East Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3252/FUL,,"""Elmshurst Crescent Garages, Land Adjacent To 90-100 Elmshurst Crescent And 35, Pulham Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.174959,51.589361,526517.00,189404.00,0.45,owned by a public authority,Yes,permissioned,full planning permission,2017-02-08,,,13,"Demolition of existing garages and redevelopment to provide a 3-storey building comprising of 11no. self-contained flats and 2no. two-storey semi-detached dwellinghouses  with associated access, amenity space, landscaping, car parking, cycle and refuse s",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,East Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/1409/FUL,,"""Land Adj To 1 - 12 Norfolk Close, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.167178,51.59221,527035.00,189742.00,0.41,owned by a public authority,Yes,permissioned,full planning permission,2017-07-31,,,8,"Erection of four storey detached building comprising 8no residential units with 8no additonal car parking spaces to existing provision, cycle storage, refuse storage and landscaping",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,East Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/00233/13,,"""Character zones 3 and 8, Stonegrove And Spur Road Estate, Edgware, Middx""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.289207,51.620033,518546.00,192625.00,2.75,not owned by a public authority,Yes,permissioned,reserved matters approval,2013-05-16,,,218,"Reserved matters application seeking approval for scale, external appearance and landscaping for character zones 3 and 8 of the redevelopment of Stonegrove and Spur Road estate pursuant to condition 2 of planning permission W13582/07 as renewed by H/0363",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/05563/14,,"""2 Ashcombe Gardens, Edgware, Middx""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.279142,51.621517,519232.00,192804.00,0.08,not owned by a public authority,Yes,permissioned,full planning permission,2015-04-07,,,6,Demolition of existing dwelling and construction of a two storey building with rooms in roofspace comprising of 6no. self-contained flats plus 6no. parking spaces in basement level carpark,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/01294/PNO,,"""42-46 Station Road, Edgware, Middlesex""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.277546,51.611492,519359.00,191702.00,0.02,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2015-04-28,,,8,Change of use from Use Class B1 (office) to Use Class C3 (residential) to provide 8 Units,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03137/FUL,,"""Land At Broadfields Primary School, Roseberry Drive, Edgware""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.274824,51.629281,519584.00,193723.00,3.12,owned by a public authority,Yes,permissioned,full planning permission,2016-04-08,,,112,Development of site between Broadfields Primary School and Hartland Drive to provide 112 residential units (Use Class C3) comprising 52 houses (2-3 storeys) and an apartment block (3-4 storeys) of 60 flats. New vehicular access incorporating a mini-round,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/0112/FUL,,"""102-124 Station Road And Car Park To Rear, Edgware, Middlesex""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.276782,51.612137,519418.00,191763.00,0.63,owned by a public authority,Yes,permissioned,full planning permission,2016-10-07,,,122,"Demolition of 120-124 Station Road and full planning permission for the rebuilding and extension of 102-120 Station Road to provide 1,705sqm retail floorspace (Use Class A1/A2) including a new frontage to Approach Road; redevelopment of rear car park for",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/1065/FUL,,"""80 The Grove, Edgware""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.269967,51.621938,519846.00,192865.00,0.17,not owned by a public authority,Yes,permissioned,full planning permission,2017-06-26,,,6,Demolition of the existing dwelling and the erection of a two-storey buliding with rooms in roof space and basement level to provide 6 self-contained flats. Provision for parking,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Edgware
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/03731/14,,"""239 Regents Park Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.199002,51.595706,524854.00,190082.00,0.15,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2014-09-16,,,16,Change of use from B1 office to C3 residential (16 Units),,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Finchley Church End
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3417/PNO,,"""Dove House, Gadd House And Cooper House, Arcadia Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.194833,51.599393,525121.00,190496.00,0.21,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2016-07-14,,,88,"Change of use from Class B1 (Office) at upper levels to Class C3 (Residential) (88 Units)

The existing parking at the lower floor levels of Dove House and Gadd House will be retained and reconfigured to provide a total of 77 car parking spaces (54 spa",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Finchley Church End
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3250/FUL,,"""Garages At Basing Way, Land Between 98-108 And 182-192 Basing Way, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.189274,51.593716,525523.00,189872.00,0.28,owned by a public authority,Yes,permissioned,full planning permission,2017-02-08,,,14,"Demolition of existing garages and redevelopment to provide a 4-storey building comprising 14no. self-contained flats with associated landscaping, car parking, cycle and refuse storage; and enclosure of existing electrical substation within a new structu",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Finchley Church End
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/0047/PNO,,"""298 - 304 Regents Park Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.195488,51.599036,525078.00,190448.00,0.71,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2017-03-17,,,130,"Change of use from Class B1 (Office) to Class C3 (Residential) (130 Unit), that involves conversion of Upper Ground  to 4th floors of Berkley House & Marlborough House, Lower Ground Floor to 2nd Floors of Molento House and Upper Ground to 2nd Floors of S",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Finchley Church End
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/00550/11,,"""698 Finchley Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.196463,51.576294,525081.00,187927.00,0.06,not owned by a public authority,Yes,permissioned,full planning permission,2011-05-06,,,9,Extension to the time limit for implementing planning permission C/06012/AJ/07 dated 06/05/08 for 'Demolition of building and erection of a 5 storey building with offices (Class A2) at ground floor and 9 self contained flats on upper floors. Provision of,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04195/11,,"""Sunningdale, 38 The Bishops Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.16942,51.581898,526926.00,188602.00,0.54,not owned by a public authority,Yes,permissioned,full planning permission,2012-01-04,,,1,Demolition of existing dwelling and detached garage. Erection of two storey detached dwelling including basement and rooms in roofspace. Erection of new detached garage.,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/01413/13,,"""R/O 698 Finchley Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.196155,51.57637,525091.00,187930.00,0.04,not owned by a public authority,Yes,permissioned,full planning permission,2013-09-12,,,9,"Erection of a four storey building comprising 9no. self-contained residential units, including 2no car parking spaces, refuse area and cycle storage.",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Garden Suburb
