OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDeveloment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07397/FULL,,"49 Charing Cross
London
SW1A 2DX
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07397/FULL,OSGB36,530031.7922,180315.3929,0.106158348,unknown ownership,,permissioned,full planning permission,08/09/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSZ249RPL4T00,,10,"Use of part basement, part ground, part first and the upper floors of 49-50 Charing Cross and part basement and part ground of 12 Whitehall as 10 residential flats (Class C3). External alterations include extensions within internal lightwells at second and third floor levels, installation of plant within enclosures at roof level and within lightwells, alterations to windows, doors, balustrading and parapets.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSZ249RPL4T00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/08069/FULL,,"Sentinel House
193 - 197 Old Marylebone Road
London
NW1 5QP
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/08069/FULL,OSGB36,527378.6669,181715.1226,0.117059793,unknown ownership,,permissioned,full planning permission,02/04/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAATR4RP01R00,,41,"Demolition of existing office building and construction of nine storey residential building comprising 41affordable housing flats, landscaping along Old Marylebone Road and associated car parking and works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAATR4RP01R00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/07052/FULL,,"25 Savile Row
London
W1S 2ES
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/07052/FULL,OSGB36,529054.3517,180830.1438,0.122440292,unknown ownership,,permissioned,full planning permission,05/02/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N8XEEXRPIJT00,,29,"Demolition of existing building and construction of a replacement building comprising two basement levels, ground floor and six upper floors. Use of part of the ground floor as two retail units (Class A1); use of the two basements, part ground floor and the upper floors as residential accommodation (Class C3) providing 29 residential flats (Class C3)  with associated car parking at basement level; provision of a green roof and the installation of photovoltaic cells at main roof level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N8XEEXRPIJT00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/05691/FULL,,"Esca House
34 Palace Court
London
W2 4HZ
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/05691/FULL,OSGB36,525561.907,180766.4433,0.107868834,unknown ownership,,permissioned,full planning permission,19/01/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQGI1ERPIR100,,20,"Demolition of Esca House, 34 Palace Court and demolition behind the retained facade of 1-4 Chapel Side. Redevelopment and change of use from office to provide up to 24 residential units over floors of basement, ground, first, second, third and fourth floor levels, including the accommodation of 18 car parking spaces, 24 cycle spaces and plant at basement level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQGI1ERPIR100,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/01042/FULL,,"London Hilton
22 Park Lane
London
W1K 1BE
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/01042/FULL,OSGB36,528502.7738,180141.7109,0.434933155,unknown ownership,,permissioned,full planning permission,26/01/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O27X09RP06A00,,28,"Alterations to the tower building facade and reconfiguration of the existing tower building; partial demolition and redevelopment of the existing rear ballroom podium to provide a new podium building on ground to third floors; all to provide between 350 and 448 hotel bedrooms with ancillary bars, lounges, restaurants, meeting rooms, leisure facilities and gardens (Class C1), up to 28 residential units (Class C3) on levels 23-30 and a restaurant (Class A3) on level 21; excavation to provide a total of 3 additional basement levels (7 basement levels in total) for hotel ballrooms, meeting rooms and leisure facilities (Class C1), residential leisure facilities (Class C3) and replacement casino use (Class Sui Generis) and basement car and cycle parking; erection of a new building on ground and first to fourth floors with roof top plant on Stanhope Row to provide up to 29 serviced apartments (Class C1); plant at basement and roof levels; alterations to existing accesses on Pitt's Head Mews [including access to replacement service yard], Hertford Street and to the hotel from Park Lane and associated highway works; new hard and soft landscaping around the site; and all ancillary and associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O27X09RP06A00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/12162/FULL,,"285 - 329,  Edgware Road",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/12162/FULL,OSGB36,526888.6824,181815.3625,1.051061927,unknown ownership,,permissioned,full planning permission,24/05/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIJOCGRPKP500,,0,"Variation of Condition 1 of the planning permission granted 27 January 2017 (ref: 16/07226/FULL) for a redevelopment to provide buildings of between ground + 6 and ground + 29 storeys including commercial space (Class A1, A2, A3, A4 and B1), up to 672 residential units (including 130 affordable housing units), landscaping and associated car and cycle parking. NAMELY, amendment to the façade of Block A, and ground floor arrangement of Block A including residential drop off and ancillary residential uses, with associated amendment to landscaping plan.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIJOCGRPKP500,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/08299/FULL,,"Stockley House
130 Wilton Road
London

",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/08299/FULL,OSGB36,529028.7121,178916.6761,0.131798052,unknown ownership,,permissioned,full planning permission,11/12/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAM0NCRP01R00,,109,"Demolition of existing office building (Class B1) and redevelopment comprising a 15 storey building plus three basement levels to provide between 104-110 residential units, retail floorspace (Class A1/A3/A4), car parking for 60 cars, plant enclosure at roof level and associated public realm works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NAM0NCRP01R00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/04161/FULL,,"2 Savoy Court
London
WC2R 0EZ
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/04161/FULL,OSGB36,530480.2839,180720.5293,0.041106695,unknown ownership,,permissioned,full planning permission,01/12/2014,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4Y1M1RPMJ700,,21,"Use of part basement, part ground and first to seventh floors as 21 residential apartments (Class C3); external alterations including the rationalisation of plant, erection of a single storey extension and creation of a terrace at rear seventh floor level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4Y1M1RPMJ700,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/10918/FULL,,"Car Park
Aybrook Street
London
W1U 4AR
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/10918/FULL,OSGB36,528265.8223,181657.5992,0.341061701,unknown ownership,,permissioned,full planning permission,12/01/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NEIJHQRP01R00,,79,"Erection of a building including excavation works to provide three basement storeys and six above ground storeys for mixed use purposes including up to 79 residential units, retail shops, restaurants, multi-purpose community hall, community space, cycle and car parking, servicing, landscaping, plant and other works. (Site also known as Moxon Street Car Park.)",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NEIJHQRP01R00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/01295/COFUL,,"Ebury Bridge Estate
Ebury Bridge Road
London
SW1W 8PX
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/01295/COFUL,OSGB36,528571.5744,178338.3931,1.866475071,unknown ownership,,permissioned,full planning permission,07/03/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N0W7XMRPIOM00,,103,"Demolition of eight existing buildings and construction of four new buildings of between four and 14 storeys to provide 271 new flats (118 x 1 bedroom,  95 x 2 bedroom, 51 x 3 bedroom and 7 x 4 bedrooms) consisting of 129 social rent flats, 26 equity share flats and 116 private/market flats: use of ground/basement floors of Block 1 for Class A1/A2/D1 purposes; a replacement community room and children's playspace; new landscaping and pedestrian route through the site; new basement car park (62 spaces) and 12 surface level parking spaces (one car club space and 11 disabled spaces). (Council's Own Development)",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N0W7XMRPIOM00,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,13/09737/FULL,,"Development Site At Ergon House Horseferry Road And
9 Millbank
London

",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=13/09737/FULL,OSGB36,530184.6429,179019.6907,0.50365131,unknown ownership,,permissioned,full planning permission,29/07/2014,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MTY4L5RPZ5000,,162,Demolition of Ergon House and construction of eight storey residential building incorporating a ground floor retail unit (Class A1) and partial demolition and reconstruction of rear wing of 9 Millbank and conversion to residential use to provide 161 residential flats. Conversion of the gatehouse on Dean Bradley Street to provide a single dwelling unit. Provision of basement car parking and landscaped courtyards.,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MTY4L5RPZ5000,GLA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330324,,TravisPerkins,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330324,OSGB36,526462.5639,181650.1139,0.301573239,unknown ownership,,not permissioned,,,,,68,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330326,,Church Street site B,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330326,OSGB36,527045.7662,182014.2236,1.104995048,unknown ownership,,not permissioned,,,,,125,Draft Church Street Masterplan Sept 2018,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330269,,SW7 1SE HYDE PARK BARRACKS,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330269,OSGB36,527440.6275,179715.9855,1.699741181,unknown ownership,,not permissioned,,,,,128,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330192,,NW8 8LW Lisson Grove Council Offices,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330192,OSGB36,526887.4194,182382.1635,0.386121151,unknown ownership,,not permissioned,,,,,202,Draft Church Street Masterplan Sept 2017,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330205,,Church Street Site C,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330205,OSGB36,526881.3575,181999.8129,1.321404372,unknown ownership,,not permissioned,,,,,221,Draft Church Street Masterplan Sept 2017,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330325,,Gayhurst & Greenside Church Street Masterplan Site,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330325,OSGB36,527279.2647,182292.8725,0.475103045,unknown ownership,,not permissioned,,,,,49,Draft Church Street Masterplan Sept 2017,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330156,,Gateforth & Cockpit Theatre,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330156,OSGB36,527067.9659,182244.0839,0.721512583,unknown ownership,,not permissioned,,,,,46,Draft Church Street Masterplan Sept 2017,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330013,,26-32 Oxford Street,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330013,OSGB36,529706.2921,181393.6768,0.257736806,unknown ownership,,not permissioned,,,,,18,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330003,,157 Millbank,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330003,OSGB36,530035.8156,178309.5973,0.318620898,unknown ownership,,not permissioned,,,,,113,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330033,,Abell House & Cleland House John Islip Street,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330033,OSGB36,530097.8477,178824.9065,0.800678626,unknown ownership,,not permissioned,,,,,275,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330067,,BUILDINGS 5 6B AND 7A Buckingham Palace Road,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330067,OSGB36,528959.0096,179225.7981,1.362312317,unknown ownership,,not permissioned,,,,,108,SHLAA site,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330071,,CAPLAND STREET,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330071,OSGB36,526945.4839,182178.8496,0.323800491,unknown ownership,,not permissioned,,,,,103,SHLAA site,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330110,,Edgware Road Station,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330110,OSGB36,527279.2504,181724.9421,0.972926983,unknown ownership,,not permissioned,,,,,64,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330107,,Ebury Square Johnson House,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330107,OSGB36,528457.9507,178628.4722,0.34897179,unknown ownership,,not permissioned,,,,,11,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
