ORGANISATIONURI,ORGANISATIONLABEL,SITEREFERENCE,PREVIOUSLYPARTOF,SITENAMEADDRESS,SITEPLANURL,COORDINATEREFERENCESYSTEM,GEOX,GEOY,HECTARES,OWNERSHIPSTATUS,DELIVERABLE,PLANNINGSTATUS,PERMISSIONTYPE,PLANNINGSTATUSEXTRA1,PLANNINGSTATUSEXTRA2,PLANNINGAPPLICATIONREF,PERMISSIONDATE,PLANNINGHISTORY,PROPOSEDFORPIP,MINNETDWELLINGS,DEVELOPMENTDESCRIPTION,NONHOUSINGDEVELOPMENT,PART2,NETDWELLINGSRANGEFROM,NETDWELLINGSRANGETO,HAZARDOUSSUBSTANCES,SITEINFORMATION,NOTES,FIRSTADDEDDATE,LASTUPDATEDDATE
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-34,,"Springwood Centre, Ransom Drive",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13154003,52.97381073,2.39843,not owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,,,,,50,,,,50,50,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/168,,"Disused Petrol Filling Station, Nottingham Road/ Rosetta Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1683023,52.97750571,0.09432,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,,,,,7,,,,7,7,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/595,,687 Carlton Road,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.11668955,52.96457209,0.12836,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,08/01463/PFUL3,20080701,http://publicaccess.,,6,,,,6,6,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/638,,"ATS Tyre Depot, Highbury Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18971416,52.99457092,0.16318,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,16,,,,16,16,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1795,,"BGU Manufacturing, Meadow Lane",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13842894,52.9407303,0.12275,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,,,,,8,,,,8,8,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-23,,"Furniture Store, Sherwin Road, off Lenton Boulevard",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17398128,52.94639116,0.26153,owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,,,,,7,,,,7,7,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/275,,"Red Cross Society (Notts HQ), Gregory Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17837196,52.94421039,0.13399,not owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,,,,,38,,,,38,38,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/610,,Land between Knights Close and Harvest Close,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16835205,53.00580933,0.21496,owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,08/00455/PFUL3,20080509,http://publicaccess.,,15,,,,15,15,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-28,,"Meadows Police Station (Regeneration Site), Meadows Way",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15950286,52.94208036,0.17661,owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,,,,,22,,,,22,22,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-35,,"Hazel hill & crescent (Regeneration Site), Pedmore Valley",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15834179,53.0027066,0.62365,owned by a public authority,yes,permissioned,full planning permission,Under Construction,,16/00634/NFUL3,20160628,http://publicaccess.,,25,,,,25,25,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-35,,"Porchester Car Sales, Porchester Road, near Carlton Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12075482,52.96418145,0.1389,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,,,,,6,,,,6,6,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/431,,"Marco Island, Huntingdon Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14199672,52.95562815,0.28751,not owned by a public authority,,pending decision,,Perm. awaiting Sect. 106,,17/00893/pful3,,,,25,,,,25,25,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/143,,"United Carpets, Hartley Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17542713,52.9607364,0.13938,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,,,,,8,,,,8,8,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/500,,Bestwood Road - Former Bestwood Day Centre,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.183809,53.01686254,1.67499,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,48,,,,48,48,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/226,,Highbury Road - Former Henry Mellish School Site,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18815088,52.99338469,0.98979,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,34,,,,34,36,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/546,,Western Boulevard,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17806676,52.97793282,1.57121,owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,47,,mixed use,,47,63,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/653,,Denewood Crescent - Denewood Centre,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.21978322,52.97074433,3.04035,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,90,,,,90,120,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/503,,Derby Road - Sandfield Centre,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17422025,52.95275623,1.84753,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,70,,,,70,100,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/649,,Prospect Place,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17230838,52.94813314,0.50397,mixed ownership,yes,not permissioned,,Local Plan Allocation,,,,,,35,,,,35,50,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/253,,Arnside Road - Former Chronos Richardson,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16260455,52.99191428,2.57857,mixed ownership,yes,not permissioned,,Local Plan Allocation,,,,,,63,,,,63,87,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/390,,Salisbury Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18073277,52.95387147,0.5169,not owned by a public authority,yes,not permissioned,,Local Plan Allocation,,09/00572/PFUL3,//,http://publicaccess.,,21,,mixed use,,21,21,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/527,,"Canal Quarter - Waterway Street , Traffic Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15090203,52.9456331,1.07273,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,75,,mixed use,,75,125,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/545,,"Waterside - Iremonger Road, London Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13917782,52.94229654,0.94705,not owned by a public authority,,not permissioned,,Local Plan Allocation,,,,,,100,,,,100,150,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/715,,106-108 Sneinton Boulevard,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12095908,52.95310247,0.24377,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,Full,13/00750/PFUL3,20130618,http://publicaccess.,,16,13 dwellings and 3 apartments with associated car parking following demolition of existing buildings. Renewal of planning permission reference 10/00874/PFUL3.,,,16,16,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1097,,72 Lower Parliament Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14228371,52.95496834,0.01981,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,14/01192/PFUL3,20140715,http://publicaccess.,,5,"Conversion and extension to create 5 apartments, office and showroom to ground floor",,,5,5,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-26,,47 Hungerhill Road,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13796411,52.96536921,0.22146,not owned by a public authority,,not permissioned,,less than 10 dwellings without planning permission,,12/00017/PFUL3,20120420,http://publicaccess.,,5,,,,5,5,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/138,,"Disused garage, Ilkeston Road, Opposite Cobden Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17793228,52.95584788,0.23031,owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,14,,,,14,14,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-56,,"The Dunkirk Inn, 71 Montpelier Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18185803,52.93819039,0.10196,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,13,,,,13,13,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-35,,9 - 10 Short Hill And 54 - 56 High Pavement,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14198687,52.95093652,0.25659,not owned by a public authority,yes,pending decision,,Perm. awaiting Sect. 106,Perm. awaiting Sect. 106,16/02249/PFUL3,,http://publicaccess.,,117,,,,117,117,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/594,,"Land north of canal and Sainsbury's, Castle Boulevard",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16243669,52.94719947,0.0955,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,14/02815/PVAR3,20150120,http://publicaccess.,,40,,,,40,40,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/541,,"Creative Quarter - Sneinton Market, Southwell Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13823797,52.9538577,1.23921,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,100,,,,100,120,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-33,,"Former Elms School, off Cranmer Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14749673,52.96563434,1.11086,not owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,,,,,41,,,,41,41,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-58,,"William Olds Youth Centre, 84 Chiltern Way",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1562553,53.00136207,0.35421,owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,,,,,20,,,,20,20,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-61,,Creative Quarter - Brook Street East,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1391088,52.95516086,0.64597,owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,30,,,,30,43,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/141,,Alfreton Road - Forest Mill,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1676174,52.95790049,1.20253,not owned by a public authority,yes,not permissioned,,Local Plan Allocation,,,,,,310,,Mixed use,,310,310,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-42,,Land between Rick St and Howard Street off Glasshouse St  NG1 3LP,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14546647,52.95656165,0.13586,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,50,,,,50,50,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-54,,5-7 Waverley Street and 146 Portland Road,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15880056,52.95989415,0.11798,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,,,,,11,,,,11,11,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/521,,Traffic Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14991883,52.94568705,1.42649,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/03198/PFUL3,20160728,http://publicaccess.,,62,62 new apartments and associated works.,,,62,62,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/124,,"Small businesses (Former Peacemills), Perry Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15444145,52.9835244,0.52633,not owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,,,,,21,,,,21,21,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1579,,"Robin Hood Chase, St Ann's Well Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.13810877,52.96309751,0.47366,owned by a public authority,,not permissioned,,Local Plan Allocation,Variation of Condition,10/02102/NVAR4,20100723,http://publicaccess.,,11,"Outline application for redevelopment of Robin Hood Chase, local centre for mixed use including joint service centre, retail, office and residential. 13/16639/DEMOL rec 22.11.2013",,,11,17,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1780,,"Site At Cranwell Road East, NG8 6NP",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.22890153,52.97878124,0.64803,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,13/02657/PFUL3,20140225,http://publicaccess.,,23,Erection of 11 bungalows and 17 houses following demolition of existing dwellings and garages.,,,23,23,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-69,,"The Frontage , Queen Street Nottingham",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15020668,52.95429072,0.18643,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,15/01349/PFUL3,20150904,http://publicaccess.,,152,Change of use from offices (B1) to residential (C3) to provide 152 units of student accommodation with ancillary facilities.,,,152,152,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-76,,"Garages Amber Hill , Amber Hill ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15385874,52.99973961,0.1865,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,15/01652/PFUL3,20150807,http://publicaccess.,,8,8 new dwellings and associated works following demolition of existing garages.,,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-27,,294 Hucknall Road Nottingham NG5 1FG,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15675934,52.98004556,0.14279,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,14/00850/PFUL3,20140822,http://publicaccess.,,5,Conversion of former pub to 7 flats and erection of 6 flats in car park (revised proposal).,,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-12,,Garages South 44 Hopedale Close Nottingham Nottingham City NG7 3BZ,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18012679,52.95563197,0.1952,not owned by a public authority,yes,permissioned,full planning permission,under construction,Full,15/02051/PFUL3,20160503,http://publicaccess.,,9,Demolition of Existing Garage Blocks to Construct 9 New Build 2 Bed Dwellings.,,,9,9,,,,20171215,
