OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EffectiveDate,UPRN,StrategicHousingLandAvailabilityAssessmentReference,LandAllocationsReference,PlanningReference,AreaOfOutstandingNaturalBeautyDevelopmentPlanDocumentReference,ExpiryOfPlanningPermission,CoordinateReferenceSystem,Easting,Northing,GeoPointLicensingURL
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR11,,"Mixed use allocation at Guide's Lot, Grange",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR11&easting=339535&northing=476616&zoom=10,ETRS89,-2.927960,54.181730,1.15,owned by a public authority,,not permissioned,,,,,16,,0.37ha allocated employment use,,16,16,,,,2017-12-01,2017-12-01,2017-12-14,,,LA3.3,,,,OSGB36,339535,476616,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR12,,"Morecambe Road Scrapyard, Ulverston",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR12&easting=329147&northing=478089&zoom=10,ETRS89,-3.087430,54.193630,0.39,not owned by a public authority,,not permissioned,,,,,12,,,,12,12,,,,2017-12-01,2017-12-01,2017-12-14,,,LA1.3,,,,OSGB36,329147,478089,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR13,,"North of Watery Lane, Ulverston""",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR13&easting=329175&northing=477937&zoom=10,ETRS89,-3.086980,54.192290,0.12,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,8,,,,2017-12-01,2017-12-01,2017-12-14,,,LA1.3,,,,OSGB36,329175,477937,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR14,,"Millers Scrap Yard, Back Lane, Ulverston",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR14&easting=328805&northing=478521&zoom=10,ETRS89,-3.092780,54.197480,0.20,not owned by a public authority,,not permissioned,,,https://cloud2.atriumsoft.com/ePlanningCMB/tabPage3.jsp?aplId=45314,,6,Dismantling/removal of steel portal framed building and demolition of workshops and garages.  Note: also a related permission for the relocation of the scrapyard to another site (5/17/9001),,,6,10,,,,2017-12-01,2017-12-01,2017-12-14,,432,,,,,OSGB36,328805,478521,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR15,,"Dragley Beck Depot, Ulverston",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR15&easting=329113&northing=477598&zoom=10,ETRS89,-3.087840,54.189230,0.15,owned by a public authority,,not permissioned,,,,,6,,,,6,6,,,,2017-12-01,2017-12-01,2017-12-14,,670,,,,,OSGB36,329113,477598,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR16,,"Land off Queen's Drive, Arnside",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR16&easting=345782&northing=478277&zoom=10,ETRS89,-2.832550,54.197370,0.12,not owned by a public authority,,not permissioned,,,,,6,,,,6,6,,,,2017-12-01,2017-12-01,2017-12-14,,,,,AS17,,OSGB36,345782,478277,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR17,,"Land at Sandside Road and Quarry Lane, Sandside",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR17&easting=347856&northing=480772&zoom=9,ETRS89,-2.801190,54.220000,3.09,not owned by a public authority,,not permissioned,,,,,20,,Proposed mixed use allocation (housing and employment).  Areas for each use not defined in DPD.,,20,40,,,"Employment, Residential, community facilities",2017-12-01,2017-12-01,2017-12-14,,,,,AS25,,OSGB36,347856,480772,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR18,,"Police Station, Neville St, Ulverston",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR18&easting=328815&northing=478193&zoom=10,ETRS89,-3.092550,54.194500,0.28,owned by a public authority,,not permissioned,,,,,10,,,,10,20,,,Site being marketed. http://www.carigietcowen.co.uk/property_900.shtml,2017-12-01,2017-12-01,2017-12-14,,,,,,,OSGB36,328815,478193,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR19,,"Rear of Captain French Health Centre, Chapel Lane ",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR19&easting=351439&northing=492172&zoom=10,ETRS89,-2.74811,54.3228,0.28,not owned by a public authority,,not permissioned,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2014/0527&ApplicationNumber=2014%2F0527&AddressPrefix=&Postcode=&Submit=Search,,8,Erection of 8 self contained apartments (expired),,,,,,,Expired permission for 8 dwellings.,2017-12-01,2017-12-01,2017-12-14,,,,SL/2014/0527,,2017-07-31,OSGB36,351439,492172,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR20,,"Armadale Hotel, Arrad Foot",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR20&easting=330770&northing=480794&zoom=10,ETRS89,-3.063120,54.218210,0.04,not owned by a public authority,,not permissioned,,,http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2012/0989&ApplicationNumber=SL%2F2012%2F0989&AddressPrefix=&Postcode=&Submit=Search|http://applications.southlakeland.gov.uk/planningapplications/detail.asp?AltRef=SL/2017/0055&ApplicationNumber=SL%2F2017%2F0055&AddressPrefix=&Postcode=&Submit=Search,,6,"Change of use and conversion from hotel and restaurant to form three dwellings with the erection of additional five dwellings, parking and associated works | Demolition of building.",,,,,,,"Recent application for demolition of hotel, previous application for conversion and new build residential - expired as reserved matters not submitted within three years. Net dwellings - 6.",2017-12-01,2017-12-01,2017-12-14,,,,SL/2012/0989 | SL/2017/0055,,2016-02-26,OSGB36,330770,480794,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR21,,"Former Garage, Ashleigh Road, Arnside",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR21&easting=345836&northing=478924&zoom=10,ETRS89,-2.83184,54.203190,0.07,not owned by a public authority,,not permissioned,,,,,6,,,,5,6,,,Garage demolished.,2017-12-01,2017-12-01,2017-12-14,,,,,A29,,OSGB36,345836,478924,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland District Council,BLR22,,"Garages at Stewart Close, Arnside",http://webmapping.southlakeland.gov.uk/webgis/bingis.html?action=load&layer=SLDC:BLR22&easting=345940&northing=477893&zoom=10,ETRS89,-2.830060,54.193940,0.07,not owned by a public authority,,not permissioned,,,,,6,,,,5,6,,,,2017-12-01,2017-12-01,2017-12-14,,,,,,,OSGB36,345940,477893,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
