OrganisationURI,OrganisationLabel,SiteReference,PeviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC54,,"Land off Warstone Parade & Pemberton St, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.915274,52.487764,0.24,unknown ownership,,Pending Decision,,,,,16,,,,16,16,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC60,,"Summer Hill Road / Powell St, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.916628,52.483898,0.38,unknown ownership,,not permissioned,,,,,27,,,,27,27,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC61,,"Junction of Powell St / Summer Hill Terrace, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.91577,52.483585,0.23,unknown ownership,,not permissioned,,,,,16,,,,16,16,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC63,,"between Camden St / Albion St / Camden Dr, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.914039,52.483989,0.71,unknown ownership,,not permissioned,,,,,50,,,,50,50,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC65,,"Legge La / Camden Dr /Slone St, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.91281,52.48367,1.06,unknown ownership,,not permissioned,,,,,18,,,,18,18,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC74,,"The Square, Ryland St, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.917155,52.474604,0.73,unknown ownership,,not permissioned,,,,,51,,,,51,51,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC76,,"Land between Old Show Hill / Lionel St / Railway, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.900781,52.485352,0.38,mixed ownership,,not permissioned,,,,,27,,,,27,27,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC77,,"Between 62 & 90 Constitution Hill, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.904103,52.487169,0.23,unknown ownership,yes,permissioned,full planning permission,30/04/2013,,,109,"Erection of a six storey and part seven storey building to provide 109, one, two & three bedroom flats with associated car parking and landscaping",,,109,109,,,2013/00361/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC81,,"Land between Allison St / Coventry St / Meridan St, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.889909,52.476884,0.49,unknown ownership,,not permissioned,,,,,34,,,,34,34,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC86,,"Land between Green St & Bradford St, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.884752,52.473397,0.68,unknown ownership,,not permissioned,,,,,48,,,,48,48,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC91,,"Wholesale markets , Barford St, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.892731,52.474598,15.01,mixed ownership,,not permissioned,,,,,1195,,,,1195,1195,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC92,,"Land bounded by Claybrook St / Skinner La / Pershore St / Hurst St, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.894688,52.473139,0.64,unknown ownership,,not permissioned,,,,,45,,,,45,45,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC95,,"Between Lower Essex St / Kent St / Sherlock St / Hurst St, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.895108,52.471863,1.18,unknown ownership,,not permissioned,,,,,400,,,,400,400,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC112,,"Btw Sherlock St /  Bishop St / Barford St, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.89192,52.471741,0.52,mixed ownership,,not permissioned,,,,,100,,,,100,100,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC119,,"35 to 38 Summer Hill Road, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.916503,52.483559,0.06,unknown ownership,,not permissioned,,,,,14,,,,14,14,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC126,,"5 Powell Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.915513,52.483838,0.08,unknown ownership,,not permissioned,,,,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC129,,"Old Union Mill, Grosvenor Street West, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.916226,52.47673,0.15,unknown ownership,,not permissioned,,,,,11,,,,11,11,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC130,,"Former Council Depot, Sherborne Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.917421,52.476385,0.49,owned by a public authority,yes,permissioned,reserved matters approval,13/11/2015,,,35,31 x 3 bedroom and 4 x 2 bedroom townhouses with associated parking,,,35,35,,,2015/07052/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC133,,"41and 42 Tenby Street North, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.914981,52.486042,0.1,unknown ownership,yes,permissioned,full planning permission,19/01/2017,,,14,"Demolition of existing building and erection of a 4 no. storey building providing 14 no. apartments, on site parking and associated landscaping.",,,14,14,,,2016/07913/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC135,,"Land bounded by Pope Street, Moreton Street and Carver Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.916732,52.48574,0.62,unknown ownership,yes,permissioned,full planning permission,18/12/2015,,,208,"Demolition of existing buildings/structures on site and redevelopment for 8 commercial units (A1-A3, B1, D1-D2), 302 residential 1, 2, 3 and 4 bed apartments and townhouses, parking, landscaping and associated works","8 commercial units (A1-A3, B1, D1-D2), parking, landscaping and associated works",,208,208,,,2015/00775/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC137,,"92 to 95 Carver Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.915332,52.485884,0.09,unknown ownership,,not permissioned,,,,,24,,,,24,24,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC143,,"121 to 137 Camden Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.916457,52.484368,0.18,unknown ownership,,not permissioned,,,,,43,,,,43,43,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC145,,"37 to 55 Camden Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.913421,52.483083,0.16,unknown ownership,,not permissioned,,,,,36,,,,36,36,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC153,,"Land corner of Holliday Street and Bridge Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.907335,52.477192,0.52,owned by a public authority,,permissioned,outline planning permission,30/04/2015,,,230,"Mixed use scheme comprising leisure/entertainment uses, health and fitness and/or conference and exhibition/museum facilities, retail, financial and professional services, food and drink, business, hotel and residential","leisure/entertainment uses, health and fitness and/or conference and exhibition/museum facilities, retail, financial and professional services, food and drink, business, hotel",,230,230,,,2009/03622/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC155,,"212 to 223, Broad Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.913127,52.475564,0.31,unknown ownership,,not permissioned,,,,,31,,,,31,31,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC162,,"Land between Florence Street and Ernest Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.902037,52.473418,0.79,unknown ownership,yes,permissioned,full planning permission,28/08/2015,,,304,"Proposed residential development of 304, 1 & 2 bed apartments, car parking and landscaping works, including road closure",,,304,304,,,2014/09582/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC163,,"Land fronting Florence Street and Ernest Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.902826,52.473437,0.15,unknown ownership,,not permissioned,,,,,61,,,,61,61,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC167,,"43 to 49 Northwood Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.906966,52.486954,0.07,unknown ownership,yes,permissioned,full planning permission,12/03/2015,,,9,Erection of a four storey development of 9 town houses and an office building with associated landscaped courtyard and basement car parking with access from adjacent Kenyon Forge development,,,9,9,,,2014/09260/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC181,,"109 to 138 Northwood Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.909239,52.485352,1.23,unknown ownership,,not permissioned,,,,,148,,,,148,148,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC184,,"Land adjacent 5 Scotland Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.91123,52.481226,0.08,unknown ownership,yes,permissioned,full planning permission,05/05/2016,,,14,"Erection of fourteen 2-bedroom apartments with associated car parking and landscaping, proposed demolition of existing ground floor entrance porch to existing office and proposed replacement with extension to existing offices",,,14,14,,,2015/09682/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC185,,"Land bounded by Great Charles Street, Ludgate Hill and Livery Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.90228,52.484176,0.82,mixed ownership,,not permissioned,,,,,59,,,,59,59,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC189,,"66 and 67 Great Hampton Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.911269,52.491115,0.09,unknown ownership,yes,permissioned,full planning permission,30/08/2016,,,14,"Conversion of the existing building to provide two retail units and a car parking area at ground floor level and 14 flats above, together with external alterations and new vehicle access from Vyse Street",Two retail units and a car parking area at ground floor level and new vehicle access from Vyse Street,,14,14,,,2016/00772/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC203,,"Typhoo Wharf, Bordesley Street, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.887008,52.478519,1.21,unknown ownership,,not permissioned,,,,,353,,,,353,353,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC207,,"Land bounded by Bradford Street, Birchall Street and Green Street, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.885396,52.47362,0.31,unknown ownership,,not permissioned,,,,,108,,,,108,108,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC208,,"Connaught Square, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.886886,52.474413,1.67,unknown ownership,,Pending Decision,,,,,167,,,,167,167,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC216,,"Bull Ring trading Estate, High Street Deritend, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.884224,52.473989,1.37,unknown ownership,,not permissioned,,,,,342,,,,342,342,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC217,,"Land corner of Bradford Street and Alcester Street, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.883956,52.472945,0.12,unknown ownership,,Pending Decision,,,,,47,,,,47,47,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC219,,"Martineau Galleries, between Priory Queensway and Moor Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.893386,52.481139,3.52,mixed ownership,,not permissioned,,,,,340,,,,340,340,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC234,,"Land fronting Lawley Middleway, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.881785,52.484561,0.29,owned by a public authority,,permissioned,outline planning permission,05/05/2009,,,80,"Mixed-use redevelopment for up to 143,350 sq. m new floorspace comprising residential (Class C3), offices, hotel with ancillary bar/restaurant, fitness suite and conferencing facilities, retail/offices/restaurants/bar, multi-storey car park","Offices (Classes B1(a) and B1(b)), hotel with ancillary bar/restaurant, fitness suite and conferencing facilities (Class C1), retail/offices/restaurants/bars (Classes A1, A2, A3, A4 and A5), multi-storey car park (sui generis)",,80,80,,,2009/00308/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC246,,"6 to 7 Legge Lane, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.913013,52.484537,0.06,unknown ownership,,not permissioned,,,,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC263,,"49 to 51 Holloway Head, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.902561,52.474788,0.51,mixed ownership,,not permissioned,,,,,303,,,,303,303,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC264,,"121 Suffolk Street Queensway, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.902623,52.476335,0.09,unknown ownership,,not permissioned,,,,,14,,,,14,14,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC268,,"Ernest Street and Holloway Head, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.902038,52.473887,0.12,unknown ownership,,not permissioned,,,,,55,,,,55,55,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC275,,"Shadwell Street, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.898203,52.486607,0.95,mixed ownership,,not permissioned,,,,,67,,,,67,67,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC286,,"41-43Great Hampton Street, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.909218,52.490663,0.8,unknown ownership,,not permissioned,,,,,80,,,,80,80,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC290,,"Lench Street/Vesey St/Lancaster Street, Aston",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.893888,52.486536,0.48,mixed ownership,,not permissioned,,,,,50,,,,50,50,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC295,,"Adjacent Birmingham Mint, Pemberton Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.915821,52.487733,0.08,unknown ownership,,not permissioned,,,,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC310,,"50 to 54 Carver Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.917057,52.486631,0.07,unknown ownership,yes,permissioned,full planning permission,06/06/2013,,,8,Change of use of parts of office building to 7 No. 1 bedroom residential flats and 1 No. 3 bedroom flat (Use Class C3),,,8,8,,,2013/02682/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC317,,"Queen Chambers, 86B Old Snow Hill, Birmingham, B4 6HW, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.901352,52.486212,0.02,unknown ownership,yes,permissioned,full planning permission,31/05/2013,,,8,"Change of use of first, second and third floors to 6 no. 1 bedroom apartments (C3)",,,8,8,,,2013/01728/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC318,,"16-18 Horse Fair, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.900194,52.47344,0.07,unknown ownership,yes,permissioned,full planning permission,19/06/2013,,,5,Change of use from offices (Use Class B1) to 70 no. rooms for student accommodation (Sui Generis),,,5,5,,,2012/08409/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC324,,"32 Water Street, Fluid Space Arts, Birmingham, B3 1HL, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.903522,52.485161,0.05,unknown ownership,yes,permissioned,full planning permission,16/05/2014,,,6,"Change of use from D1 to mixed use scheme containing A2 & D2 and 6no. 2 bedroom loft apartments with associated parking, demolition of rear warehouse roof and insertion of new steel frame third floor extension.",A2 & D2 floorspace,,6,6,,,2014/01487/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC325,,"Units 1 and 2 Bath Court, Bath Row, Edgbaston, Birmingham, B15 1NE, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.913069,52.471952,0.13,unknown ownership,yes,permissioned,full planning permission,25/02/2015,,,125,Demolition of existing building and erection of a 435 bed student accommodation building (Use Class Sui Generis) with ancillary facilities and a ground floor hot food takeaway retail unit (Use Class A5),Ground floor hot food takeaway retail unit (Use Class A5),,125,125,,,2014/08711/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC326,,"1st, 2nd, 3rd, 4th & 5th Floors, York House, 38 Great Charles Street, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.903513,52.482039,0.02,unknown ownership,yes,permissioned,other,10/06/2014,,,10,Prior Approval for change of use from offices (Use Class B1[a]) to residential (Use Class C3),,,10,10,,,2014/03391/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC328,,"33 Pitsford Street, Hockley, Birmingham, B18 6LJ, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.915049,52.489571,1.6,unknown ownership,,not permissioned,,,,,400,,,,400,400,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC335,,"Land at Masshouse Lane/Park Street, Nechells",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.88938,52.481288,0.03,owned by a public authority,yes,permissioned,full planning permission,21/08/2014,,,15,Erection of part 3 storey part 7 storey mixed use development comprising commercial/retail at ground floor (Use Classes A1-A5 and B1(a)) and 15 no. residential apartments above,Commercial/retail at ground floor (Use Classes A1-A5 and B1(a)),,15,15,,,2014/02950/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC337,,"Brittania House, 50 Great Charles Street Queensway, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.902222,52.482924,0.05,unknown ownership,yes,permissioned,other,06/08/2014,,,80,Prior Approval for change of use from offices (Use Class B1[a]) to 80 apartments (Use Class C3),,,80,80,,,2014/04896/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC344,,"Victory House, 26 to 28 Ludgate Hill, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.904525,52.484728,0.02,unknown ownership,yes,permissioned,other,27/01/2015,,,8,Prior Approval for change of use from offices (Use Class B1[a]) to 8 apartments (Use Class C3).,,,8,8,,,2014/08662/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC347,,"Arena Central Plot G, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.905531,52.478075,0.46,owned by a public authority,yes,permissioned,reserved matters approval,08/07/2014,,,322,"Reserved matters application for residential development consisting of 322 residential apartments, 673 Sqm commercial floorspace (A1 - A5 and B1), circa 150 car parking spaces, cycle parking spaces, landscaping & public realm","673 Sqm commercial floorspace (A1 - A5 and B1), circa 150 car parking spaces, cycle parking spaces, landscaping & public realm",,322,322,,,2014/08220/PA,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/birmingham,Birmingham City Council,CC351,,"Aspect Court, Ladywood",https://localview.birmingham.gov.uk/Planning/Sites/SHLAA/,WGS84,-1.896184,52.481237,0.2,mixed ownership,,permissioned,other,05/11/2014,,,30,Prior Approval for change of use from offices (Use Class B1[a]) to residential apartments (Use Class C3) excluding the ground floor.,,,30,30,,,2014/06659/PA,19/12/2017,19/12/2017
