OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Part2,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3051,,Newbiggin Hall shopping centre,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.686963584,55.00655061,1.21,Owned by a Public Authority,Yes,Not Permissioned,,,,,45,,,,45,78,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3064,,Maling Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.588034056,54.97212893,0.3,Owned by a Public Authority,,Not Permissioned ,,,,,30,,,,30,60,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3068,,"""Cement Works and land at junction of  Forth Banks and Pottery Lane, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.617480034,54.96563855,0.53,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,10/11/2015,,,280,"Erection of 7/9 storey residential development (3 blocks) comprising of 280 apartments (Class C3) retail unit (Class A1/A3) associated car parking, cycle storage, access, hard and soft landscaping following demolition of existing building",, Retail unit (Class A1/A3),,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3069,,"""GD Metal Recycling, Quality Row""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.587907115,54.97360537,1.57,Not Owned by a Public Authority,,Not Permissioned,,,,,80,,,,80,150,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3073,,Corner Of Westgate Road And Saint James Boulevard,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.622237188,54.97058947,0.03,Not Owned by a Public Authority,,Pending decision,,,,,14,,,,14,27,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3077,,Heber Street and Brewery Offices,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.622548055,54.97313511,0.64,Not Owned by a Public Authority,,Permissioned,Outline planning permission,15/06/2017,,,158,"Outline application for the demolition of existing buildings and the erection of a 10 storey student accommodation building comprising 246 student bedrooms (134 units Class C3 and 24 units Class C4) with ancillary facilities including gym, amenity areas, cycle and refuse storage, taxi pick-up and drop-off service, servicing, plant and laundry ",,"Ancillary facilities including gum, amenity areas, cycle and refuse storage, taxi pick-up and drop-off service, servicing, plant and laundry",,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3078,,Land at Melbury Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.587823418,54.99226975,0.63,Not Owned by a Public Authority,,Not Permissioned,,,,,18,,,,18,25,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3085,,"""Site of 61 - 139 Banbury Road, Fawdon, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.648552801,55.01015402,0.63,Owned by a Public Authority,Yes,Permissioned,Full planning permission,04/02/2016,,,74,"Construction of 74 apartments comprising of 49 x 1 bed, 22 x 2 bed and 3 x 3 bed units split between 2 x 4 storey apartment blocks with associated parking and landscaping",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3090,,"""Newburn Social Services Area Office, Newburn Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.742704846,54.98489598,0.56,Owned by a Public Authority,,Not Permissioned,,,,,20,,,,20,36,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3106,,"""Scotswood Development Area Phase 2, Scotswood, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.683390604,54.97044708,33.93,Owned by a Public Authority,,Permissioned,Outline planning permission,21/09/2007,,,1800,"Outline Application: Erection of new urban neighbourhood comprising up to 1800 new homes (Class C3), local shopping centre (Classes A1, A2, A3, A4 and A5) of up to 2,230 square metres, including a single convenience store (Class A1) of up to 1,000 square metres, business premises (Class B1) of up to 3,000 square metres, a primary school ",,"Local shopping centre (Classes A1, A2, A3, A4 and A5) of up to 2,230 square metres, including a single convenience store (Class A1) of up to 1,000 square metres, business premises (Class B1) of up to 3,000 square metres, and a primary school ",,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3158,,"""St. Anthony's Primary School, Walker, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.552811372,54.96426775,0.92,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,08/05/2015,,,43,"Erection of 43 no. 2, 3 and 4 bedroom two storey dwellings houses with associated hard and soft landscaping (as amended by plans received 16th April 2015).",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3372,,27 Rutherford Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.621972525,54.97123087,0.1,Not Owned by a Public Authority,,Permissioned,Full planning permission,08/05/2017,,,162,"Erection of a 26 storey residential building, providing 162 units with associated cycle parking, landscaping and highway works following demolition of existing warehouse",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3397,,"""University of Northumbria Coach Lane campus, Dene, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.573352984,55.00284175,4.89,Not Owned by a Public Authority,Yes,Permissioned,Outline planning permission,10/05/2010,,,181,Outline Application: Erection of residential development for up to 181 dwellings (Class C3).,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,3399,,"""Site of 262-314 Church Street, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.543470418,54.96779558,0.36,Owned by a Public Authority,Yes,Not Permissioned,,,,,18,,,,18,26,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4213,,West Benwell Terraces,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.67241917,54.97247134,2.95,Owned by a Public Authority,,Not Permissioned,,,,,80,,,,80,156,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4214,,"""Land at Westfield Road, Benwell""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.672678262,54.97074469,2.02,Owned by a Public Authority,,Not Permissioned,,,,,50,,,,50,107,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4253,,"""Site of 25-161 Dovercourt Road and 1540-1572 Walker Road, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.546053079,54.96697002,1.63,Owned by a Public Authority,,Not Permissioned,,,,,67,,,,67,94,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4258,,Caldbeck Close,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.554711972,54.9622513,0.48,Owned by a Public Authority,,Not Permissioned,,,,,24,,,,24,34,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4263,,"""Belmont Methodist Church, Enslin Street, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.554825164,54.9645001,0.27,Owned by a Public Authority,,Not Permissioned,,,,,10,,,,10,19,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4282,,"""Site of Wharrier Street Primary School, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.553873124,54.96849498,1.5,Owned by a Public Authority,,Not Permissioned,,,,,68,,,,68,95,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4286,,"""Land to the south of Brockwell House, Blakelaw""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.669119659,54.99552559,0.52,Mixed Ownership,,Not Permissioned,,,,,19,,,,19,26,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4289,,Quay Timber Site,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.589752412,54.97329004,0.25,Not Owned by a Public Authority,,Not permissioned,,,,,38,,,,38,75,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4290,,"""Ince Building, Hume Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.58883548,54.97303126,0.09,Not Owned by a Public Authority,,Not Permissioned,,,,,20,,,,20,39,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4332,,Land south of Skinnerburn Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.629519781,54.96062245,0.22,Owned by a Public Authority,,Not Permissioned,,,,,33,,,,33,66,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4342,,"""Prospect House, Hexham Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.757753419,54.99564363,0.2,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,28/03/2017,,,7,"Conversion of Prospect House from mixed use ground floor retail (Class A1) and dwelling (Class C3) to ground floor retail Class A1) and hot food takeaway (Class A5) with flue venting at roof level and 1 no. 3 bedroom dwelling (Class C3) at first floor and 1 no. 2 bedroom dwelling at second floor, erection of 3 storey extension to create 3no. 2 bedroom dwellings and 2no. 4bedroom dwellings.",,Ground floor retail (Class A1) and hot food takeaway (Class A5) with flue venting at roof level,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4430,,"""Pottery Bank Site Walker, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.550568495,54.96248811,2.45,Owned by a Public Authority,Yes,Not Permissioned,,,,,65,,,,65,129,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4482,,Site of Chapel Park Middle School,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.713079984,54.9995858,0.66,Owned by a Public Authority,,Not Permissioned,,,,,20,,,,20,24,,,Part of a larger (former school) site which includes open space previously used as playing fields - hectares and estimated numbers of dwellings are based on the brownfield part of the site in isolation,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4484,,"""Westgate Community College (north), Grange Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.663532783,54.97913994,2.09,Owned by a Public Authority,Yes,Not Permissioned,,,,,60,,,,60,118,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4654,,"""Land at former Heaton Depot and Heaton Down Yard, Marleen Avenue""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.572287756,54.98431837,4.2,Not Owned by a Public Authority,Yes,Not permissioned,,,,,150,,,,150,211,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4656,,"""Orchard House, Fenwick Terrace, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.596658581,54.98913633,0.54,Not Owned by a Public Authority,Yes,Not permissioned,,,,,9,,,,9,38,,,,19/12/2017,19/12/2017
