Organisation URL,Organisation Label,SiteReference,Previously Part of,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR42,,"""Railway Approach Wallington""",https://drive.google.com/open?id=1EOWFUCMXetcVdrh7EdVnDwp3q0QlKecl,ETRS89,-0.150837,51.360472,1.13,owned by a public authority,,not permissioned,other,,,,62,,Part of a mixed-use allocation (S6),,62,255,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR43,,"""Mill Green Business Park MILL GREEN ROAD""",https://drive.google.com/open?id=1sAYd9EO900dxMd1mlaNItcZYuPH11_a6,ETRS89,-0.160939,51.386127,0.42,not owned by a public authority,,permissioned,full planning permission,2016-11-30,,,158.1564722,"Erection of an infill extension to second floor, creation of an additional storey at 3rd floor level and accommodation in a new roof to provide an additional twenty nine 1 - bedroomed and twelve 2 - bedroomed self contained flats together with additional cycle and refuse facilities, car parking and alterations to landscaping and amenity areas.",,,,,,,This is in addition to permission B2014/70678 elsewhere in this register,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR44,,"""Council Car Park Demark Road""",https://drive.google.com/open?id=1HOTo_p2Plw2HS7Ft_vn7DL4oYLumtuQf,ETRS89,-0.165221,51.370655,0.40,owned by a public authority,,not permissioned,other,,,,16,,Part of a mixed-use allocation (S53),,16,32,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR45,,"""Council Offices, Denmark Road""",https://drive.google.com/open?id=18GqQpvQSBSmUQHu6Y_vh97zG2KvK25hN,ETRS89,-0.163246,51.371191,0.40,owned by a public authority,,not permissioned,other,,,,16,,,,16,32,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR46,,"""Hackbridge Station""",https://drive.google.com/open?id=1V8LkNcD2hAcu4yoXea-9MiVBjx--v7YW,ETRS89,-0.154035,51.377939,0.28,not owned by a public authority,,not permissioned,other,,,,15,,Part of a mixed-use allocation (S5),,15,41,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR47,,"""1-9 Windsor Road""",https://drive.google.com/open?id=1GKZBVMWl5c02XHR9q3rbBYVuF7a3C4Sx,ETRS89,-0.241004,51.377887,0.09,not owned by a public authority,,permissioned,other,2013-12-23,,,,"Erection of a new second and third floors incorporating three 1 - bedroomed , four 2- bedroomed and two 3 - bedroomed self contained flats together with associated stair and lift enclosure, refuse store at ground level and cycle facilities at first floor with a total of seven car parking spaces at rear and alterations to ground and first floor elevations.",.,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR48,,"""Rear of Rosehill Shops""",https://drive.google.com/open?id=1UdJSX90Uviq7RubaZ3WKF4mtroJ8-O5I,ETRS89,-0.188347,51.384007,0.25,not owned by a public authority,,not permissioned,other,,,,14,,,,14,37,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR49,,"""Co-op""",https://drive.google.com/open?id=16bkuNeSq2cJ7DL46u23pd2RSKhrCustK,ETRS89,-0.189287,51.384196,0.42,not owned by a public authority,,not permissioned,other,,,,23,,Part of a mixed-use allocation (S41),,23,61,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR50,,"""Vulcan House",https://drive.google.com/open?id=1FaJ0ieh-q0C-of8UbAMMQ9pA1gKhI0Z9,ETRS89,-0.200435,51.364790,0.08,not owned by a public authority,,permissioned,other,2015-09-15,,,,Conversion and extension of building for flats,Part of a mixed-use allocation (S4),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR51,,"""Resource Centre""",https://drive.google.com/open?id=1m3i9RL0U-z9QtCKNy3PdtcupLUeBpL7q,ETRS89,-0.223856,51.375647,0.31,owned by a public authority,,not permissioned,other,,,,17,,Part of a mixed-use allocation (S38),,17,45,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR52,,"""Victoria House""",https://drive.google.com/open?id=1UQqoI8m4p7XlxLm2N8REY19WIDrlnKS0,ETRS89,-0.227165,51.370999,0.28,not owned by a public authority,,not permissioned,other,,,,16,,Part of a mixed-use allocation (S35),,16,41,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR53,,"""HSS Hire Site and vacant land""",https://drive.google.com/open?id=1qkSe4PUKWcNbrCpuagHoN0-cOLoZ8XsP,ETRS89,-0.218852,51.361138,0.26,not owned by a public authority,,not permissioned,other,,,,14,,Part of a mixed-use allocation (S33),,14,37,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR54,,"""Land to rear of 16-18 Stanley Park Road""",https://drive.google.com/open?id=1anPQxxlsqLb9PeEkk-zIw5W-bjtM_A8T,ETRS89,-0.152740,51.356997,0.09,not owned by a public authority,,not permissioned,other,,,,5,,Part of a mixed-use allocation (S47),,5,20,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR55,,"""Shotfield Car Park""",https://drive.google.com/open?id=16epArbMqdAl-WUIn7XAJIRNRuzm7UBjm,ETRS89,-0.150682,51.358282,0.41,owned by a public authority,,not permissioned,other,,,,23,,Part of a mixed-use allocation (S23),,23,92,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR56,,"""Napier Court. Whispering Moon Pub and Travis Perkins""",https://drive.google.com/open?id=1nwoReJvq1ukEvO6yaAQ121PC0sgG0iIz,ETRS89,-0.149259,51.360322,0.32,not owned by a public authority,,not permissioned,other,,,,18,,Part of a mixed-use allocation (S13),,18,72,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR57,,"""19 Stanley Park Road""",https://drive.google.com/open?id=1GiBvBDyh5HZGGf6w3Z6LtlgBIPFIuNAU,ETRS89,-0.153034,51.356093,0.10,not owned by a public authority,,permissioned,full planning permission,2017-08-01,,,,"Demolition of premises and erection of a three storey building comprising seven 1-bed flats and two 2-bed flats including the provision of nine car parking spaces, refuse and cycle stores, associated hard and soft landscaping for use by the learning disabled.",.,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR58,,"""Land Adjoining Hackbridge Station""",https://drive.google.com/open?id=1XwblcybuNLdSmz4MpikEqe2cSvCa0sdE,ETRS89,-0.154308,51.379026,1.19,not owned by a public authority,,not permissioned,other,,,,65,,Part of a mixed-use allocation (S2),,65,172,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR59,,"""WALLINGTON HALL""",https://drive.google.com/open?id=1UUMByZESlQOl3bGhmibr_kr0vCENPGij,ETRS89,-0.148287,51.357206,0.43,owned by a public authority,,not permissioned,other,,,,24,,Part of a mixed-use allocation (S12),,24,62,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR60,,"""Land to rear of 105 Stafford Road, Wallington""",https://drive.google.com/open?id=1hnh1P953kIkU2bnJQ6oRgocnnfoWwyis,ETRS89,-0.142367,51.358488,0.13,owned by a public authority,,not permissioned,other,,,,7,,,,7,29,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR61,," Former Felnex Trading Estate, 190 London Road, Hackbridge. SM6 7EL""",https://drive.google.com/open?id=1ATmOq32OZFY0qE7pShNZsJ3QpfL5R4UO,ETRS89,-0.156835,51.377212,7.27,not owned by a public authority,,permissioned,reserved matters approval,2016-09-15,,,,"Application for approval of reserved matters for Phases 1 and 2 to determine appearance, scale and landscaping pursuant to outline application number C2016/73625 for a mixed development comprising 2564 square metres of A1 (foodstore) floorspace, an addit",Part of a mixed use allocation (S1),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR62,,"""50-52 Stanley Park Road, Carshalton. SM5 3HW""",https://drive.google.com/open?id=1m234BZrixdSiYnYEe0lI_52g7hf62Hsf,ETRS89,-0.155886,51.356198,0.07,not owned by a public authority,,permissioned,full planning permission,2017-04-13,,,,"Demolition of two semi detached dwelling houses and erection of a two storey building comprising of six flats, 2 x 1 bed, 2x 2 bed and 2 x 3 bed units with 6 off street parking spaces, refuse store and cycle parking.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR63,,"""The Firs, Hilliers Lane, Beddington. CR0 4SU""",https://drive.google.com/open?id=1UXGdSLNabLGBLXiv41VHlHD-ZusmmzYT,ETRS89,-0.133917,51.369437,0.14,not owned by a public authority,,permissioned,full planning permission,2017-01-11,,,,Demolition of existing buildings and erection of five  3 bedroomed  dwellings with eight car parking spaces. (revision of planning approval  D2016/73547/FUL),,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR64,,"""3 Timberslip Drive and Land r/o 146 Foresters Drive, Wallington. SM6 9RT""",https://drive.google.com/open?id=1qQbzOCOn-c0IRt-OfsEyppw9tSA3QZ6y,ETRS89,-0.136055,51.348281,0.22,not owned by a public authority,,permissioned,full planning permission,2016-12-06,,,,Erection of two 4 bedroomed and three 3 bedroomed detached houses together with car parking facilities and vehicle access onto Timberslip Drive.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR65,,"""2 Woodcote Avenue, Wallington. SM6 0QS""",https://drive.google.com/open?id=1z9x2fnHSizhx25W1hoWdwfUcaQPq2S_8,ETRS89,-0.149135,51.352265,0.09,not owned by a public authority,,permissioned,full planning permission,2016-12-23,,,,Conversion of existing premises into five 1 bedroomed and one 2 bedroomed self contained flats with communal lounge/kitchen area and staff/warden accommodation in connection with the use of the property as a supported living facility for adults with lear,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR66,,"""Ground Keepers House, Croydon Gas Ltd Sports Club, 48 Mollison Drive, Wallington. SM6 9BY""",https://drive.google.com/open?id=18uTmtNpDMmKun8X1pFDfuKr0bGo-Iv7w,ETRS89,-0.129564,51.356812,0.31,not owned by a public authority,,permissioned,full planning permission,2016-12-21,,,,"Erection of a part two part three storey building to provide two 1-bedroomed, five 2-bedroomed and two 3-bedroomed self contained flats involving refuse and cycle storage facilities following demolition of existing dwelling; alterations to existing parki",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR67,,"""37 Stafford Road,  Wallington. SM6 9AP""",https://drive.google.com/open?id=1xf6Js8hsa9DT23K6I7FJaM1QT6_JTGMk,ETRS89,-0.145066,51.358183,0.04,not owned by a public authority,,permissioned,full planning permission,2016-05-13,,,,"Conversion of rear of ground floor and erection of a first floor rear extension to increase the current house in multiple occupation to 17 bedsits involving alterations to elevations together with bin, cycle store and amenity area.",,,,,,,,2017-12-31,2017-12-31
