OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PermissionDate1,FirstAddedDate1,LastUpdatedDate1
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0322,,"Easton Street / Eastern Quarter, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.744881,51.6283,3.37,owned by a public authority,yes,not permissioned,,,,,50,,,,,,,,Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0323,,Lilys Walk Gas Works,http://mywycombe.wycombe.gov.uk,ETRS89,-0.756082,51.6286,1.39,not owned by a public authority,yes,not permissioned,,,,,239,,,,,,,,15/08002/FULEA. Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0325,,"Buckingham House and Castle House,West End Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.757424,51.6295,0.55,not owned by a public authority,yes,not permissioned,,,,,117,,,,,,,,"16/08306/FUL,16/07548/PNP3O, 16/05055/PNP3O. Allocated in the Delivery and Site Allocations document.",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0327,,"Hughenden Quarter Main Development Site, Hughenden Avenue, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.753642,51.6368,2.12,not owned by a public authority,yes,permissioned,Full planning permission,02/06/2015,,,260,"Erection of a residential building comprising of 260 (1 bed and 2 bed) extra care apartments for the elderly, a maximum of 7 storeys high, with communal facilities and associated car parking/ access roads and landscaping",,,,,,,"14/06590/FUL, 16/07387/MINAMD",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0332,,"Duke Street, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.742521,51.6291,0.68,owned by a public authority,,not permissioned,,,,,100,,,,,,,,Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0334,,"Land forming part of the former Green Street County First School site, Desborough Street, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.765186,51.6327,0.54,owned by a public authority,,not permissioned,,,,,11,,,,,,,,Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0335,,"Needham Bowl, Leigh Street",http://mywycombe.wycombe.gov.uk,ETRS89,-0.763971,51.6318,0.33,not owned by a public authority,yes,permissioned,Full planning permission,29/10/2012,,,95,"Demolition of existing former factory building, construction of 74 residential units comprising 1, 2 and 3  bedroom flats, and 7 B1 units, landscaping, underground parking",343m2 B1c Light Industrial development,,,,,,15/05594/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0339,,"Collins House and 32 Bridge St, Corner of Bridge St/Desborough Rd",http://mywycombe.wycombe.gov.uk,ETRS89,-0.757783,51.6307,0.18,owned by a public authority,yes,not permissioned,,,,,45,,,,,,,,Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0400,,"Delafield Heights South, Longland Way / Pettifer Way, previously known as Flats off Chairborough Road",http://mywycombe.wycombe.gov.uk,ETRS89,-0.777399,51.6238,0.7,not owned by a public authority,yes,not permissioned,,,,,40,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0402,,"Frank Hudson Furniture Factory, Rosebery Avenue, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.728796,51.6236,0.11,not owned by a public authority,yes,not permissioned,,,,,11,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0406,,"Ogilvie Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.770595,51.6329,0.21,not owned by a public authority,,not permissioned,,,,,9,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0419,,"JC and MP Smith, Princes Gate (also known as Ricketts road, Ryedale), High Wycombe, HP13 7AB",http://mywycombe.wycombe.gov.uk,ETRS89,-0.733671,51.6255,0.16,not owned by a public authority,yes,not permissioned,,,,,32,,,,,,,,15/06660/FUL. Resolution to permit.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0421,,"Netley Works, 89 Queens Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.735804,51.6261,0.18,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0432,,"Kitchener Works, Kitchener Road, adjacent to Smewin Court, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.765098,51.6302,0.24,not owned by a public authority,yes,not permissioned,,,,,14,,,,,,,,16/05718/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0436,,"Garages between Chiltern Avenue and Rutland Avenue, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.780564,51.624,0.39,not owned by a public authority,,not permissioned,,,,,10,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0440,,"Brook Street, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.758454,51.6322,0.19,owned by a public authority,,not permissioned,,,,,10,,,,,,,,Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0463,,"Corner of Bridge Street/Oxford Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.75682,51.6319,0.51,not owned by a public authority,,not permissioned,,,,,7,,,,,,,,Allocated in the Delivery and Site Allocations document.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0466,,"Garages at Tyzack Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.721934,51.6417,0.27,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0471,,"Terriers House and Paddock Land (Montgomery Watson House), Amersham Road, High Wycombe, Buckinghamshire, HP13 5AJ.",http://mywycombe.wycombe.gov.uk,ETRS89,-0.730094,51.646,0.76,not owned by a public authority,yes,permissioned,Full planning permission,23/08/2016,,,23,"Demolition of seven existing buildings and erection of 20 residential units (9 x 4 bed, 10 x 3 bed and 1 x 2 bed ) with associated landscaping, parking and access and retention of Terriers House and Terriers Lodge",,,,,,,15/06860/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0503,,Land Adjacent  23 Easton Street High Wycombe Buckinghamshire HP11 1NJ,http://mywycombe.wycombe.gov.uk,ETRS89,-0.745292,51.6281,0.12,not owned by a public authority,yes,permissioned,Full planning permission,27/04/2015,,,14,Redevelopment of existing BT Car Park with a 3-storey office building along Easton Street and erection of 14 x 2 bed flats in one block with associated bin/cycle storage along Abbey Place (alternative scheme to pp 14/07141/FUL),,,,,,,15/05700/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0506,,"222-224 Hatters Lane, High Wycombe , Bucks, HP13 7LU",http://mywycombe.wycombe.gov.uk,ETRS89,-0.723609,51.6339,0.16,not owned by a public authority,yes,permissioned,Full planning permission,12/09/2011,,,6,"Demolition of 222 & 224 Hatters Lane and erection of 6 x 2 bed two storey dwellings and 2 x 3 bed two storey dwellings, retention of vehicular access to Hatters Lane and creation of new vehicular access to Hicks Farm Rise, parking and landscaping.",,,,,,,15/05306/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0524,,"Remainder of Leigh Street employment area, Desborough road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.764604,51.6313,1.2,not owned by a public authority,,not permissioned,,,,,275,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0526,,"Garages at Havenfield Road, High Wycombe, HP12 4ST",http://mywycombe.wycombe.gov.uk,ETRS89,-0.791014,51.6185,0.03,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0543,,"185 - 197 Gordon Road, High Wycombe, Bucks, HP13 6AP",http://mywycombe.wycombe.gov.uk,ETRS89,-0.735124,51.6258,0.08,not owned by a public authority,yes,permissioned,Full planning permission,09/05/2013,,,14,"Redevelopment of site for erection of 1 block comprising 2 x 1 bed and 12 x 2 bed apartments including bin and cycle stores, associated on site car parking and site works",,,,,,,12/07667/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0548,,"Victoria Pharmacy, 19 Desborough Avenue, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.761643,51.6328,0.06,not owned by a public authority,yes,permissioned,Full planning permission,08/02/2014,,,9,"Demolition of existing retail/office premises and erection of part three/part four storey building incorporating 3 x retail units, 1 x office suite and 2 x 1-bed & 6 x 2-bed self contained flats with associated bin & cycle stores.",280m2 A1 retail and 226m2 A2 Financial and Professional Services,,,,,,"16/08119/FUL, 14/06330/FUL, 13/07187/FUL",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0550,,"Sunnyside and St.Johns House, 16-18 St.Johns Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.702602,51.6376,0.09,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,13/07334/PAJ. Has a prior notification approval for part of the site.,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0561,,"Notcutts Garden Centre, Clay Lane, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.803652,51.6067,0.9,not owned by a public authority,yes,not permissioned,,,,,15,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0564,,"Delafield Heights North, (Longland Way / Pettifer Way, also known as Castlefield Estate, High Wycombe)",http://mywycombe.wycombe.gov.uk,ETRS89,-0.777665,51.6259,1.73,not owned by a public authority,yes,not permissioned,,,,,32,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0568,,"Oak and Beech House Temple End High Wycombe, HP13 5DR",http://mywycombe.wycombe.gov.uk,ETRS89,-0.751907,51.633,0.05,not owned by a public authority,yes,permissioned,Full planning permission,06/12/2013,,,10,Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 7 x 1 bed & 3 x 2 bed apartments,,,,,,,13/07519/PAJ,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0576,,"201 West Wycombe Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.772338,51.6369,0.12,not owned by a public authority,yes,permissioned,Full planning permission,11/07/2014,,,10,"Demolition of existing dwelling and erection of single building comprising of 11x 2 bed apartments, alteration to existing access, new parking and landscaping",,,,,,,"14/05838/FUL, 16/08365/MINAMD",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0583,,"The Nag's Head and land to rear, 63 London Road, High Wycombe,",http://mywycombe.wycombe.gov.uk,ETRS89,-0.737968,51.6263,0.1,not owned by a public authority,yes,permissioned,Full planning permission,30/07/2015,,,20,"Change of use of former Public House, construction of 3-storey rear extension and associated landscaping works to create 13 x 1 bed flats. Erection of three storey block comprising 8 x 1 bed flats.",,,,,,,"14/06780/FUL, 14/06781/FUL",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0584,,"1-9 Shaftesbury Street, High Wycombe, HP11 2NA",http://mywycombe.wycombe.gov.uk,ETRS89,-0.764636,51.6338,0.03,not owned by a public authority,,not permissioned,,,,,9,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0586,,"Casa Mia, Gillets Lane, High Wycombe, HP12 4BB",http://mywycombe.wycombe.gov.uk,ETRS89,-0.781978,51.6384,0.23,not owned by a public authority,yes,not permissioned,,,,,12,,,,,,,,15/08465/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0589,,"7-8 High Street, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.750157,51.6293,0.06,not owned by a public authority,yes,not permissioned,,,,,12,,,,,,,,16/05538/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0593,,"Former 88 to 102 Gordon Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.735568,51.6259,0.08,not owned by a public authority,yes,permissioned,Full planning permission,03/04/2014,,,7,Redevelopment of existing car park site for the erection of 7 x 3 bedroom terrace houses with associated parking,,,,,,,14/05281/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0596,,"17-19 Frogmoor, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.753361,51.6313,0.04,not owned by a public authority,yes,not permissioned,,,,,11,,,,,,,,15/07782/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0597,,"The Gordon Arms, Gordon Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.735611,51.6274,0.11,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,14/07956/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0600,,"27 High Street, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.748974,51.6283,0.01,not owned by a public authority,yes,not permissioned,,,,,5,,,,,,,,"15/07328/FUL, 16/06154/FUL
14/07761/LBC 
14/07761/LBC 
14/07761/LBC",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0603,,"Rear of 154-156 West Wycombe Road, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.769667,51.637,0.1,not owned by a public authority,yes,not permissioned,,,,,10,,,,,,,,15/05788/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0607,,"Ariston Building (Compair), High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.754599,51.6381,0.04,not owned by a public authority,yes,permissioned,Full planning permission,26/02/2014,,,10,"Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 10 residential units comprising 2 x studio apartments, 4 x 1 bed apartments and 4 x 2 bed apartmen",,,,,,,14/05190/PAJ,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0622,,3 - 5 Frogmoor & 53 Oxford Street High Wycombe HP13 3DS,http://mywycombe.wycombe.gov.uk,ETRS89,-0.753156,51.6309,0.02,not owned by a public authority,yes,permissioned,Full planning permission,29/12/2014,,,5,"Change of use of first, second and third floors from offices (Class B1) to 3 x 2 bed flats, 2 x 1 bed flats with associated roof extensions and alterations",,,,,,,14/06589/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0642,,"8 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW",http://mywycombe.wycombe.gov.uk,ETRS89,-0.758476,51.633,0.01,not owned by a public authority,yes,permissioned,Full planning permission,09/09/2015,,,8,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 8 flats.",,,,,,,15/06992/PNP3O,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0643,,"7 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW",http://mywycombe.wycombe.gov.uk,ETRS89,-0.758586,51.633,0.01,not owned by a public authority,yes,permissioned,Full planning permission,06/08/2015,,,8,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 8 flats.",,,,,,,15/06608/PNP3O,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0651,,"Wycombe Summit, High Wycombe",http://mywycombe.wycombe.gov.uk,ETRS89,-0.733499,51.6139,3.9,not owned by a public authority,yes,not permissioned,,,,,30,,,,,,,,16/06045/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0652,,"Beaumont, 3-13 Holmer Green Road, Hazlemere",http://mywycombe.wycombe.gov.uk,ETRS89,-0.713258,51.6523,0.31,not owned by a public authority,yes,not permissioned,,,,,28,,,,,,,,16/06481/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHZ0005,,"Highbury Works/Hazlemere Coach Works, Chestnut Lane, Hazlemere, High Wycombe, Bucks",http://mywycombe.wycombe.gov.uk,ETRS89,-0.704974,51.6577,0.62,not owned by a public authority,,not permissioned,,,,,14,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHZ0043,,"35 Jackson Court, Hazlemere, Buckinghamshire, HP15 7TZ",http://mywycombe.wycombe.gov.uk,ETRS89,-0.710119,51.6479,0.08,not owned by a public authority,yes,permissioned,Full planning permission,19/11/2015,,,7,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 1 x studio flat, 3 x 1 bed flats, 2 x 2 bed flats and 1 x 3 bed flat.",,,,,,,15/07815/PNP3O; 16/05014/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SLE0021,,"Land at Simmons Way - remainder of Springbank House, Lane End, Bucks, HP14 3JH",http://mywycombe.wycombe.gov.uk,ETRS89,-0.830298,51.619,0.35,not owned by a public authority,yes,not permissioned,,,,,17,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SLW0031,,"Burleighfield House (Mayflower House), London road, Loudwater",http://mywycombe.wycombe.gov.uk,ETRS89,-0.69345,51.6069,0.09,not owned by a public authority,yes,not permissioned,,,,,11,,,,,,,,16/05582/PNP3O,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0043,,79-81 High Street Marlow Buckinghamshire SL7 1AB,http://mywycombe.wycombe.gov.uk,ETRS89,-0.774191,51.5697,0.07,not owned by a public authority,,permissioned,Full Planning Permission,22/09/2017,,,6,"Erection of two storey rear extension to create enlarged retail unit at ground floor, 4 x 2-bed & 3 x 1-bed flats with undercroft parking & separate bin stores for retail and residential.",,,,,,,11/06593/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0044,,Foxes Piece Marlow Buckinghamshire,http://mywycombe.wycombe.gov.uk,ETRS89,-0.770391,51.5756,1.57,not owned by a public authority,,not permissioned,,,,,10,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0068,,"Portlands Gardens , Marlow",http://mywycombe.wycombe.gov.uk,ETRS89,-0.777953,51.5702,1.57,not owned by a public authority,yes,permissioned,Full planning permission,07/12/2015,,,62,"Demolition of 9 dwellings and 2 workshops, retention and alteration of existing terrace of 6 dwellings (Portland Villas) and redevelopment of the site to provide an additional 71 dwellings (59 x 2 bed flats, 9 x 3 bed dwellings, 2 x 4 bed dwellings and 1",,,,,,,15/07417/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
