OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OtherSiteReferences,Easting,Northing,SiteAreasqm
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0011,,"""2a Sackville Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29509,ETRS89,4035712.18,33050.28,0.04,not owned by a public authority,yes,permissioned,full planning permission,2017-02-24,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/2488/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2013/216/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/2446/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2011/55/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/77/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2430/P&from=planningSearch,,6,"""Erection of 6x1 bedroom units.""","""A1 use at ground floor. Approximtely 92sqm (gross).""",,,,,,"""Site is known to contain Japanese Knotweed and there is a condition to the extant permission for its eradication.""",2017-10-01,2017-10-01,"""RR/2016/2488/P""",573946,107439,361.8
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0012,,"""40-42 Cooden Sea Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29510,ETRS89,4035428.81,30516.49,0.07,not owned by a public authority,,permissioned,full planning permission,2017-03-30,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/3254/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/835/A&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2003/3384/A&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2003/3103/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2003/2981/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/98/1906/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/98/1908/A&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/95/642/A&from=planningSearch,,8,"""Demolition of existing building and erection of new building with first & second floor residential as 9 no. flats.""","""Three A1 units at ground floor. Approximately 170 sqm (gross).""",,,,,,,2017-10-01,2017-10-01,"""RR/2016/3254/P""",571403,107746,733.6
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0013,,"""17 & 17A Dorset Road South, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29511,ETRS89,4035643.83,34010.9,0.07,not owned by a public authority,yes,permissioned,full planning permission,2016-06-13,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/2485/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/1398/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2011/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/3466/P&from=planningSearch,,5,"""Demolition of existing buildings and erection of a building comprising 12 apartments.""",,,,,,,"""This brownfield site is part of a larger site that includes greenfield land.""",2017-10-01,2017-10-01,"""RR/2016/569/P""",574904,107549,657.9
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0014,,"""45-47 Barnhorn Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29512,ETRS89,4035390.75,30082.69,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-09-20,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/2430/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/2115/P&from=planningSearch,,6,"""Proposed demolition of two existing large dwelling houses and construction of eight 2 bedroom apartments and two 3 bedroom apartments across two blocks""",,,,,,,"""This brownfield site is part of a larger site that includes greenfield land. The minimum net dwellings figure of 6 relates only to the brownfield part of this site, the whole site, including the greenfield part, has a permission for 8 dwellings.""",2017-10-01,2017-10-01,"""RR/2016/2430/P""",570968,107785,619.6
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0015,,"""79 - 85 London Road  - Rear of, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29513,ETRS89,4035387.57,33029.6,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-09-14,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2017/1623/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2017/460/P&from=planningSearch,,5,"""Re-development of site with terrace of 5 houses.""",,,,,,,"""A preliminary risk assessment based on a Site walkover survey and a desk study have indicated that the environmental risks associated with the Site were low, and that a further intrusive site investigation was not required. This assessment is based on all materials currently stored on site being removed. The former stables are likely to contain droppings from pigeons and other vermin, which will present a health hazard to demolition workers, and must be removed in a controlled manner. Wooden doors and other items are probably coated with lead paint. Careful control of dust during demolition will be necessary. It is recommended that an asbestos survey of the buildings be conducted prior to demolition. On removal of the demolition rubble and existing floor slabs, it is recommended that the Site soils be inspected and photographed for signs of undetected on site contamination, particularly of oil spills.""",2017-10-01,2017-10-01,"""RR/2017/460/P""",573914,107857,594.4
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0016,,"""Land at Moleynes Mead, Fryatts Way, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29514,ETRS89,4034634.26,31763.55,0.54,not owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/2019/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/226/P&from=planningSearch,,10,,,,10,12,,,"“This brownfield site is part of a larger site that includes greenfield land. The whole site, including the greenfield part, is proposed to be allocated in the DaSA for some 22 dwellings, of which 30% are affordable. It is assumed that the existing dwelling is retained. The southern section of the wider site remains undeveloped as an ecology area. There is also an existing Tree Preservation Order on the wider site. A footpath link should be provided through to Ellerslie Lane. Primary highway access to be provided from Fryatts Walk with potential secondary access from Ellerslie Lane. The site is located within the Pevensey Levels Hydrological Catchment Area, where appropriate SuDS should be incorporated. See draft Policy BEX7 in the DaSA (https://www.rother.gov.uk/CHttpHandler.ashx?id=27131&p=0)”",2017-10-01,2017-10-01,"""DaSA BEX7, SHLAA BX64""",572622,108799,5351
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0017,,"""Land south of Terminus Road, Bexhill""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29515,ETRS89,4035699.51,32904.69,0.15,mixed ownership,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/3141/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2016/141/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/2162/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/2232/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/1204/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/1011/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/537/PN3&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2013/6/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/2136/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/626/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/386/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2012/60/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/390/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/42/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/1478/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/3415/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/3197/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2002/2639/A&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/97/1420/P&from=planningSearch,,6,,"""It is proposed in the DaSA that this site includes some 100 sqm of office space.""",,6,10,,,"""This site is proposed to be allocated in the DaSA for some 6 dwellings, as well as some 100 sqm of office space. Appropriate boundary landscaping will need to be provided. See draft Policy BEX8 in the DaSA (https://www.rother.gov.uk/CHttpHandler.ashx?id=27131&p=0). The higher dwelling range figure reflects what could be achievable if a scheme was permitted without a commercial aspect.""",2017-10-01,2017-10-01,"""DaSA BEX8, SHLAA BX81""",573800,107452,1473.8
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0018,,"""Land at Michael Tyler Furniture, Woodlands Way, Hastings""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29516,ETRS89,4031743.37,40558.36,0.99,not owned by a public authority,,pending decision,outline planning permission,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2015/2264/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/2595/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/1378/P&from=planningSearch,,35,,"""It is proposed in the DaSA that this site includes a Locally Equipped Area for Play (LEAP)""",,35,35,,,"""This site is proposed to be allocated in the DaSA for some 35 dwellings, of which 30% are affordable. Suitable provision should be made for children’s play space in the form of a Locally Equipped Area for Play (LEAP). Development should not intrude into views from the Area of Outstanding Natural Beauty to the north. The tree belt on the west and north of the site should be strengthened. Parts of the site are located within areas that have surface water drainage issues and the site may also contain Japanese Knotweed. See draft Policy HAS1 in the DaSA (https://www.rother.gov.uk/CHttpHandler.ashx?id=27127&p=0)""",2017-10-01,2017-10-01,"""RR/2015/2264/P, DaSA HAS1, SHLAA HF4""",581314,112722,9885.4
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0019,,"""Land east of Hobbs Lane, Beckley Four Oaks""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29517,ETRS89,4022709.87,45874.64,0.28,not owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/2210/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/1233/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/2909/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/1579/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2008/2779/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/2774/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/1259/P&from=planningSearch,,4,,,,4,6,,,"“This brownfield site is part of a larger site that includes greenfield land. The part of the former business site that included landscaping has been excluded for the purposes of this register. The whole site, including the greenfield part, is proposed to be allocated in the DaSA for some 12 dwellings, of which 40% should be affordable. Access should be achieved off Hobbs Lane. Screen tree and hedgerow planting employing native species should be provided on the northern and eastern boundaries of the site. A new footpath is provided to link the new development to the existing Hobbs Lane footway. A ground survey will need to be undertaken as part of any planning application and potential contamination of the site mitigated through appropriate measures. See draft Policy BEC1 in the DaSA (https://www.rother.gov.uk/CHttpHandler.ashx?id=27128&p=0)”",2017-10-01,2017-10-01,"""DaSA BEC1, SHLAA FO15""",586314,124467,2754.4
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0020,,"""Land at the Former Putting Green Site, Camber""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29518,ETRS89,4027328,55834.51,0.2,owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2010/2061/3R&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2009/1948/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2006/156/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2005/2415/P&from=planningSearch,,10,,"""It is proposed in the DaSA that this site includes a commerical aspect, the scale of which is likely to be between 140sqm and 620 sqm.""",,10,10,,,"""This site is proposed to be allocated in the DaSA for some 10 dwellings, as well as commercial. The site lies within Flood Zones 2 and 3. A Flood Risk Assessment would need to be submitted as part of any planning application. Residential development should not be provided on the ground floor due to flood risk but commercial uses  would be acceptable. The site is next to an SSSI. Development should not destabilise the integrity of the dunes. Built development should be focused on the southern section of the site to avoid overlooking and rights to light issues for the existing adjacent buildings to the north and west in particular. Proposals should seek to provide ‘active’ frontages on the southern edge to the Old Lydd Road. See draft Policy CAM1 in the DaSA. Regard should also be given to the Council’s adopted Camber Village Supplementary Planning Document (2014) (https://www.rother.gov.uk/CHttpHandler.ashx?id=27128&p=0)""",2017-10-01,2017-10-01,"""DaSA CAM1, SHLAA CM2""",596434,118729,2010.9
http://opendatacommunities.org/id/district-council/rother,Rother District Council,RDCBLR0021,,"""Land at the Central Car Park, Camber""",https://www.rother.gov.uk/CHttpHandler.ashx?id=29519,ETRS89,4027430.38,55975.95,0.66,owned by a public authority,,not permissioned,,,http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2014/669/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2013/1867/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2011/625/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/2007/356/P&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/97/636/3R&from=planningSearch|http://planweb01.rother.gov.uk/OcellaWeb/planningDetails?reference=RR/94/2070/P&from=planningSearch,,10,,"""It is proposed in the DaSA that this site includes a commerical aspect, as well as operational uses (beach patrol office, police/medical offices) and some car parking of a scale sufficient to accommodate the residential aspect.""",,10,10,,,"""This site is proposed to be allocated in the DaSA for some 10 dwellings, as well as commercial, operational uses (beach patrol office, police/medical offices)  and some car parking. Access should be achieved off Old Lydd Road. Any loss of parking spaces as a result of redevelopment should be provided elsewhere in the locality. The site lies within Flood Zones 2 and 3. A Flood Risk Assessment should be submitted as part of an application. Residential development should not be provided on the ground floor due to flood risk but commercial uses would be acceptable on the ground floor. The site is next to an SSSI. Development should not destabilise the integrity of the dunes. Regard should also be given to the Council’s adopted Camber Village Supplementary Planning Document (2014). See draft Policy CAM2 in the DaSA (https://www.rother.gov.uk/CHttpHandler.ashx?id=27128&p=0)""",2017-10-01,2017-10-01,"""DaSA CAM2, SHLAA CM6""",596579,118600,6633.2
