OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR011,N/A,"Merstham Library, Weldon Way, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3827/rbbcblr011,OSGB36,529472,152743,0.26,Owned by a public authority,No,Not permissioned,N/A,N/A,N/A,6,N/A,N/A,6,N/A,N/A,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings unless it can be satisfied that there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The library has recently closed following the re-location to the new Community Hub. 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use development including housing and community/ faith facilities (RED5). 
The site is partially affected by flood risk (Zone 2 and 3). 
",31/12/2017,N/A,M12
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR012,N/A,"Former Oakley Centre, Radstock Way, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3821/rbbcblr012,OSGB36,530403,153030,0.58,Owned by a public authority,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,N/A,N/A,10,N/A,N/A,"Borough Local Plan Policy Cf1 resists the loss of community buildings unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality and no other community facility or service can make use of the premises or site. 
The Oakley Centre has been closed for a number of years. 
A new community hub has recently opened in Merstham. 
During the course of the recent planning permission (15/02200/F) which was refused for other reasons, the loss of community uses was established. The site has been identified, as part of a wider site, for housing development in the Regulation 19 Development Management Plan (RED6).  
",31/12/2017,N/A,M13
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR013,N/A,"Oakley Farm, 143 Bletchingley Road, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3835/rbbcblr013,OSGB36,530364,152802,0.67,Not owned by a public authority.,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000AAPMVLI000,13,N/A,N/A,13,N/A,N/A,"The site has been identified, as part of a wider site, as a Sustainable Urban Extension (ERM5) in the Regulation 19 Development Management Plan. 
Upon adoption, its delivery will be subject to phasing policy (MLS1).
",31/12/2017,N/A,M14
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR014,N/A,"Bellway House, Station Road North, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3838/rbbcblr014,OSGB36,529041,153423,0.03,Not owned by a public authority.,Yes,Permissioned,Prior Approval,25/09/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,15,Notification of proposed change of use of class B1(a) office to class C3 (dwellings houses) consisting of 15 flats.,N/A,N/A,N/A,N/A,"The site has been identified, as part of a wider site (RED2), in the Development Management Plan for housing development.   ",31/12/2017,N/A,M15
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR015,N/A,"Portland Drive, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3845/rbbcblr015,OSGB36,529493,152958,0.95,Not owned by a public authority.,Yes,Permissioned,Full planning,21/03/2014,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,48,"Demolition of existing 2-48 (retail) & 50-132 (residential) Portland Drive and associated garages and erection of 48 1, 2 and 3 bed dwellings. ",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,M19
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR016,N/A,"Church of the Epiphany, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3836/rbbcblr016,OSGB36,529758,153080,0.32,Not owned by a public authority.,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,N/A,N/A,10,N/A,,"Borough Local Plan Policy Cf1 resists the loss of community uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The church has been closed for a number of years. 
There are a number of Anglican churches within the immediate locality.  
The site has been identified in the Regulation 19 Development Management Plan for housing development (RED4).  
",31/12/2017,N/A,M22
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR017,N/A,"23-27 Endsleigh Road, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3834/rbbcblr017,OSGB36,529252,152633,0.33,Not owned by a public authority.,Yes,Permissioned,Prior Approval,31/08/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Change of use from B1(a) offices to 6 residential flats.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,M23
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR018,N/A,"Elgar Works, Merstham",http://www.reigate-banstead.gov.uk/downloads/file/3833/rbbcblr018,OSGB36,529101,152547,0.42,Not owned by a public authority.,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,N/A,N/A,14,N/A,N/A,N/A,31/12/2017,N/A,M27
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR019,N/A,"Redhill Railway Station, Princess Way, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3847/rbbcblr019,OSGB36,528111,150596,0.9,Not owned by a public authority.,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,150,N/A,N/A,150,N/A,N/A,The site previously had planning permission for mixed-use housing and retail development. This permission (13/00848/F) has since lapsed.,31/12/2017,N/A,RE01
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR020,N/A,"Land at Marketfield Way/ High Street, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3848/rbbcblr020,OSGB36,528011,150525,0.65,Mixed,Yes,Permissioned,Full planning,20/01/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,150,"Demolition of existing buildings and redevelopment to provide new multi-screen cinema and flexible retail, restaurant and café units at ground and first floor level and residential. ","7,141sqm A1/A3/D2",N/A,N/A,N/A,N/A,31/12/2017,N/A,RE02
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR021,N/A,"Colebrook Centre, Noke Drive, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3844/rbbcblr021,OSGB36,528349.73,150720.6,1.3,Owned by a public authority,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,110,N/A,The site would be most suited to deliver a range of housing and community uses.,110,N/A,N/A,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings or uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The site has been identified in the Regulation 19 Development Management Plan (RTC4) for mixed-use housing (potentially housing for older people) and community use.  
The site is situated in a highly accessible location, in close proximity to Redhill town centre and adjacent to the rail station. 
The site provides an opportunity for intensification of an existing previously developed site. 
The site is partially affected by Flood Zones 2 and 3a and there are a number of protected trees on the site. 
",31/12/2017,N/A,RE04
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR022,N/A,"Reading Arch Road Industrial Estate, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3832/rbbcblr022,OSGB36,527946,150246,1.75,Mixed,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,150,N/A,The site would be most suited to delivering mixed-use development including bulky goods retail and residential.,150,N/A,N/A,"Borough Local Plan (2005) policy EM1A resists the loss of employment uses within areas identified for employment. 
The site in its current state is not considered to provide a fitting approach to the town centre gateway along the important approach route. 
The site also does not currently maximise the sites capacity potential. 
Redevelopment of the site would need to secure the relocation of the active uses to suitable alternative premises elsewhere in the Borough. 

The site has been identified in the Regulation 19 Development Management Plan for mixed-use development.   
Development of the site for retail uses would be dependent upon a full assessment of the impact on the town centre.  
The site partially falls within Flood Zones 2 and 3. 
The Redhill Brook is partially culverted under the site. 
",31/12/2017,N/A,RE05
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR023,N/A,"Former Liquid & Envy, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3840/rbbcblr023,OSGB36,528070,150534,0.29,Not owned by a public authority.,Yes,Permissioned,Full planning,18/08/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,133,Planning permission for the development of up to 133 apartments.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE06
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR024,N/A,"Former Copyhold Works, Nutfield Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3841/rbbcblr024,OSGB36,528811,150392,1.68,Not owned by a public authority.,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,35,N/A,N/A,35,N/A,N/A,"The site has been identified, as part of a wider site, as a  Sustainable Urban Extension (ERM 2/3) in the Regulation 19 Development Management Plan. 
Upon adoption, its delivery will be subject to phasing policy (MLS1).

",31/12/2017,N/A,RE20
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR025,N/A,"Quarryside Business Park, Thornton Side, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3852/rbbcblr025,OSGB36,528946,152057,1.2,Not owned by a public authority.,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,60,N/A,The site would be most suitable for delivering mixed-use residential and community development.,60,N/A,N/A,"Borough Local Plan Policy (2005) Em1a resists the loss of employment uses. 
The site has been identified for residential development in the Land at Holmethorpe Development Brief (2001). 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use residential and community development (RED1).
Provision of community services would be dependent upon demand.   
The site is partially affected by surface water flooding. 
",31/12/2017,N/A,RE21
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR026,N/A,"26-28 Station Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3849/rbbcblr026,OSGB36,528003,150600,0.26,Not owned by a public authority.,Yes,Permissioned,Full planning,06/08/2014,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,Change of use from office to residential plus five storey extension providing residential accommodation.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE26
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR027,N/A,"Patteson Court, Nutfield Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3842/rbbcblr027,OSGB36,529383.03,150303.39,0.4,Not owned by a public authority.,Yes,Permissioned,Prior Approval,24/05/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,10,Change of use from offices (B1(A)) to 10 residential dwelling houses (C3).,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE28
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR028,N/A,"126 London Road, 2-10 Claremont Road and 1-11 Ranmore Close, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3837/rbbcblr028,OSGB36,528167,151850,0.52,Not owned by a public authority.,Yes,Permissioned,Full planning,12/08/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,34,Demolition of existing Ranmore House and 16 bungalows and erection of 34 new dwellings.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE29
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR029,N/A,"Furness House, Brighton Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3843/rbbcblr029,OSGB36,527786,150037,0.3,Not owned by a public authority.,Yes,Permissioned,Prior Approval,28/09/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,72,"Change of use from B1(A) to C3 (dwelling house). 
It is proposed that 72 residential units will be created on ground, first, second and third floors. 
",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE32
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR030,N/A,"Oakdene House, Oakdene Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3839/rbbcblr030,OSGB36,527658,150360,0.03,Not owned by a public authority.,Yes,Permissioned,Full planning,30/11/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Three storey side extension and conversion of property into five self-contained flats.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE52
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR031,N/A,"49 Ladbroke Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3850/rbbcblr031,OSGB36,528127,150827,0.04,Not owned by a public authority.,Yes,Permissioned,Full planning,22/06/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Demolition of the existing detached garage and single storey rear extension. Conversion of existing dwelling to provide 5 flats.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RE53
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR032,N/A,"Land at Cromwell Road/ Sincotts Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3846/rbbcblr032,OSGB36,527851,150469,0.08,Owned by a public authority,Yes,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,32,N/A,The site would be most suitable for delivering mixed-use development with retail/ commercial/ leisure uses on the ground floor.,32,N/A,N/A,"The site forms part of the secondary shopping frontage and secondary shopping area. 
Borough Local Plan (2005) policy Sh7 resists the loss of retail uses.
Borough Local Plan (2005) policy Cf1 resists the loss of community uses. 
The current units are in a poor condition. 
There are a number of long-term vacant units within the frontage. 
The existing quality of the retail frontage does not provide an appropriate gateway into the town centre. 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use development with retail/ commercial/ leisure uses on the ground floor (RTC2). 
The site is partially affected by surface water flooding.  
",31/12/2017,N/A,RW01
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR033,N/A,"Land at Gloucester Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3851/rbbcblr033,OSGB36,527888,150958,0.76,Owned by a public authority,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,60,N/A,"The site would be most suitable for delivering higher density units (flats), potentially as part of a mixed-use scheme including office accommodation. ",60,N/A,N/A,"The site has been identified in the Regulation 19 Development Management Plan for residential development, potentially as part of a mixed-use scheme with office accommodation (RTC6).  
The Core Strategy identifies the need to provide employment accommodation within Redhill town centre. 
The site is partially affected by surface water flooding. 
Loss of town centre car parking capacity would need to be fully assessed and retained or re-provided. 
",31/12/2017,N/A,RW02
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR034,N/A,"Former Longmead Adult Education Centre, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3831/rbbcblr034,OSGB36,527725,150494,0.22,Owned by a public authority,No,Not permissioned,N/A,N/A,N/A,20,N/A,N/A,20,N/A,N/A,"Borough Local Plan Policy (2005) Cf1 resists the loss of community uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facility or service can make use of the premises or site. 
The site has been vacant for a number of years. 
The site provides the opportunity for intensification of an existing previously developed site. 
The site has been identified in the Regulation 19 Development Management Plan for residential development (RTC5). 
The site is largely affected by surface water flooding. 
",31/12/2017,N/A,RW03
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR035,N/A,"Grosvenor House, London Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3856/rbbcblr035,OSGB36,527981,151053,0.45,Not owned by a public authority.,Yes,Permissioned,Full planning,10/08/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,100,The proposal relates to the change of use from offices to residential apartments.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RW39
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR036,N/A,"Prospect Housing Association, 5 Gloucester Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3873/rbbcblr036,OSGB36,527826,150855,0.4,Not owned by a public authority.,Yes,Permissioned,Full planning,08/09/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,9,"Redevelopment of the site and premises to accommodate a development of 9 no.1-bedroom apartments in 2 residential blocks with a common room, staff room and staff bedroom as supported accommodation for young people and adults with learning difficulties.  ",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,RW41
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR037,N/A,"City Space Filestores, Lesbourne Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3857/rbbcblr037,OSGB36,525724,149841,0.04,Not owned by a public authority.,Yes,Permissioned,Prior Approval,11/08/2015,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Proposed change of use from storage to residential.,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,MSJ04
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR038,N/A,"Bourne House, Lesbourne Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3854/rbbcblr038,OSGB36,525707,149831,0.03,Not owned by a public authority.,Yes,Permissioned,Prior Approval,25/01/2017,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,13,Change of use from offices (class B1(A)) to living accommodation (class C3).,N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,MSJ05
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR039,N/A,"Garages Arbutus Road, Redhill",http://www.reigate-banstead.gov.uk/downloads/file/3859/rbbcblr039,OSGB36,526479,149012,0.2,Not owned by a public authority.,Yes,Permissioned,Full planning,27/10/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,"Demolition of 40 garages for the construction of 7 two storey houses, 3 houses in a terrace and 4 houses as pairs of semi-detached. ",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,MSJ06
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR040,N/A,"Group House, Albion Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3861/rbbcblr040,OSGB36,526036,149824,0.07,Not owned by a public authority.,Yes,Permissioned,Full planning,02/03/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,8,"Demolition of existing building and erection of 2 storey building, with accommodation in the roof space, containing 8 2-bedroom flats. ",N/A,N/A,N/A,N/A,N/A,31/12/2017,N/A,MSJ19
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR041,N/A,"Land at 50-52, Unit 54 and 61 Albert Road North, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3876/rbbcblr041,OSGB36,524605,150911,1.27,Not owned by a public authority.,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,40,N/A,The site would be most suitable for mixed-use development including housing and employment uses.,40,N/A,N/A,"Borough Local Plan (2005) policy EM1a resists the loss of employment uses within designated employment areas. 
The site has been identified in the Regulation 19 Development Management Plan as there is conflict between the more intensive industrial uses on the site and the surrounding residential area. 
The site has been identified in the Regulation 19 Development Management Plan as part of a wider site for mixed-use redevelopment including employment and residential uses (REI3). 
The site is partially affected by surface water flooding risk. ",31/12/2017,N/A,RC03
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR042,N/A,"51-57 Albert Road North, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3868/rbbcblr042,OSGB36,524649,150801,0.59,Not owned by a public authority.,No,Not permissioned,N/A,N/A,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,20,N/A,The site would be most suitable for mixed-use development including housing and employment uses.,20,N/A,N/A,"Borough Local Plan (2005) policy EM1a resists the loss of employment uses within designated employment areas. 
The site has been identified in the Regulation 19 Development Management Plan as there is conflict between the more intensive industrial uses on the site and the surrounding residential area. 
The site has been identified in the Regulation 19 Development Management Plan as part of a wider site for mixed-use redevelopment including employment and residential uses (REI3). 
The site is partially affected by surface water flooding risk. ",31/12/2017,N/A,RC04
