OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Eastings,Northings
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/17,,Rock Works Park Lane,http://www.wyreforestdc.gov.uk/media/3411858/BHS17-Rock-Works.png,ETRS89,,,0.358,mixed ownership,yes,not permissioned,,,,,20,,,,20,,,,,2017-12-31,2017-12-31,382821,276653
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/18,,Blakebrook School,http://www.wyreforestdc.gov.uk/media/3411859/BHS1831-Blakebrook-School-and-Woodfield-House.png,ETRS89,,,1.07,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0780/FULL,,41,"Demolition of existing buildings and the erection of 41 new 2, 3 and 4 bed dwelling houses and conversion of listed building to provide 1 dwellinghouse, together with parking and landscaping",,,41,,,,Allocated un der SAL.WK1. Pre -application public consultation completed. Application submitted,2017-12-31,2017-12-31,382484,276666
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/27/28,,17-26 Vicar Street,http://www.wyreforestdc.gov.uk/media/3411860/BHS2728-Vicar-Street.png,ETRS89,,,0.2,not owned by a public authority,yes,permissioned,full planning permission,2016-07-01,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/3028/PNRES,,16,Change of use of a building from Office Use (Class B1(a)) to a dwellinghouse (Class C3),,,16,,,,Upper floors to be converted. Part of site is Listed Building - former carpet works,2017-12-31,2017-12-31,383132,276635
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/31,,Woodfield House Bewdley Road,http://www.wyreforestdc.gov.uk/media/3411859/BHS1831-Blakebrook-School-and-Woodfield-House.png,ETRS89,,,0.31,not owned by a public authority,yes,permissioned,full planning permission,2015-05-13,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0067/FULL,,9,"Conversion, Extension and alterations to form 9No. Apartments",,,9,,,,,2017-12-31,2017-12-31,382417,276598
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/33,,Land at Mill Street,http://www.wyreforestdc.gov.uk/media/3411861/BHS33-Land-at-Mill-Street.png,ETRS89,,,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-12-01,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0200/FULL,,5,Erection of 5No. three bedroom houses,,,5,,,,,2017-12-31,2017-12-31,382757,276806
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/38,,Kidderminster Fire Station Castle Road,http://www.wyreforestdc.gov.uk/media/3411862/BHS38-Kidderminster-Fire-Station.png,ETRS89,,,0.38,owned by a public authority,yes,not permissioned,,,,,40,,,,40,,,,fire station due to relocate to new emergency services hub on Stourport Road,2017-12-31,2017-12-31,383079,276176
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/39,,Boucher Building Green Street,http://www.wyreforestdc.gov.uk/media/3411863/BHS39-Boucher-Building-Green-Street.png,ETRS89,,,0.03,not owned by a public authority,yes,not permissioned,,,,,10,,,,10,,,,,2017-12-31,2017-12-31,383319,276241
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/40,,10-12 Bull Ring,http://www.wyreforestdc.gov.uk/media/3411864/BHS40Bull-Ring.png,ETRS89,,,0.02,not owned by a public authority,yes,permissioned,full planning permission,2017-03-22,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/3006/PNRES,,6,"Conversion of upper floors to create 6 residential apartments, 2 two bed apartments and 4 one bed apartments",,,6,,,,,2017-12-31,2017-12-31,383103,276746
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BHS/41,,Tower Buildings Blackwell Street,http://www.wyreforestdc.gov.uk/media/3411865/BHS41Tower-Buildings.png,ETRS89,,,0.215,not owned by a public authority,yes,permissioned,full planning permission,2017-10-16,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/3051/PNRES,,39,Change of use of a building from office use to a dwellinghouse,,,39,,,,,2017-12-31,2017-12-31,383276,276843
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BW/1,,Churchfields Business Park Clensmore Street,http://www.wyreforestdc.gov.uk/media/3411869/BW12-Churchfields-and-Limekiln-Bridge.png,ETRS89,,,7.0892,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?altref=15/0514/OUTL,,300,"Outline Planning Application for the redevelopment of the site to create approximately 95 residential dwellings, including conversion of one existing building to create 16 flats, along with approximately 669sqm of (B1) office space. NB application due January 2018 will supercede this application",,,300,,,,"Request for a screening opinion in respect of proposed residential redevelopment for up to 300 homes, relocation of CMS garage and associated highway works that include new arm off Blackwell Street roundabout from St Marys ring road to provide direct access to Churchfields and creation of one way traffic routes along Horse Fair and Blackwell Street at Churchfields, Kidderminster. Application due January 2018",2017-12-31,2017-12-31,383084,277118
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BW/2,,Limekiln Bridge Clensmore Street,http://www.wyreforestdc.gov.uk/media/3411869/BW12-Churchfields-and-Limekiln-Bridge.png,ETRS89,,,7.09,mixed ownership,yes,not permissioned,,,,,80,,,,80,,,,Allocated under KCA.Ch.6 for mix of residential and small scale A3 uses,2017-12-31,2017-12-31,383082,277166
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BW/3,,Sladen School Hurcott Road,http://www.wyreforestdc.gov.uk/media/3411870/BW3-Sladen-School.png,ETRS89,,,0.709,owned by a public authority,yes,not permissioned,,,,,72,,,,72,,,,Allocated under KCA.Ch.4 for dwelling houses and residential imstitutions,2017-12-31,2017-12-31,383634,277400
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/5,,Ambulance Station Stourport Road,http://www.wyreforestdc.gov.uk/media/3411872/FPH56-Ambulance-station-and-Oasis.png,ETRS89,,,0.21,owned by a public authority,yes,not permissioned,,,,,12,,,,12,,,,,2017-12-31,2017-12-31,382326,275156
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/6,,Oasis Goldthorn Road,http://www.wyreforestdc.gov.uk/media/3411872/FPH56-Ambulance-station-and-Oasis.png,ETRS89,,,1.78,not owned by a public authority,yes,not permissioned,,,,,91,,,,91,,,,Allocated under SAL.SK3,2017-12-31,2017-12-31,382229,275056
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/10,,British Sugar phase 2 Silverwoods Way,http://www.wyreforestdc.gov.uk/media/3411873/FPH10-British-Sugar-phase-2.png,ETRS89,,,2.86,not owned by a public authority,yes,not permissioned,,,,,70,,,,70,,,,Allocated under SAL.SK2,2017-12-31,2017-12-31,382857,274903
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FPH/15,,Rifle Range Shops Severn Grove,http://www.wyreforestdc.gov.uk/media/3411874/FPH15-Rifle-Range-Shops.png,ETRS89,,,0.586,not owned by a public authority,yes,not permissioned,,,,,12,,,,12,,,,Allocated under SAL.KSS,2017-12-31,2017-12-31,381721,275024
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FHN/9,,Land at 78 Mill Street,http://www.wyreforestdc.gov.uk/media/3411871/FHN9-78-Mill-Street-and-BT-building.png,ETRS89,,,0.2,not owned by a public authority,yes,permissioned,full planning permission,2015-01-28,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=13/0193/FULL,,13,"Conversion of existing garage workshop, formerly part of the demolished mill, to 5 no. two-bed dwellings and the construction of 3no. two bedroom dwellings and 5 no. live-work units, with associated amenity and parking facilities",,,13,,,,,2017-12-31,2017-12-31,382648,276916
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,FHN/11,,BT building Mill Street,http://www.wyreforestdc.gov.uk/media/3411871/FHN9-78-Mill-Street-and-BT-building.png,ETRS89,,,0.599,not owned by a public authority,yes,not permissioned,,,,,40,,,,40,,,,Part of mixed use area allocation,2017-12-31,2017-12-31,382589,276945
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,OC/11,,Stourminster School Comberton Road,http://www.wyreforestdc.gov.uk/media/3411884/OC11-Stourminster-site.png,ETRS89,,,2.15,owned by a public authority,yes,not permissioned,,,,,56,,,,56,,,,,2017-12-31,2017-12-31,384778,275667
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/1,,Former Lloyds Garage site Bridge Street,http://www.wyreforestdc.gov.uk/media/3411890/AKR1-Bridge-Street.png,ETRS89,,,0.137,owned by a public authority,yes,not permissioned,,,,,17,,,,17,,,,Allocated under SAL.STC1,2017-12-31,2017-12-31,380916,271182
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/2,,Cheapside Business Park Severn Road,http://www.wyreforestdc.gov.uk/media/3411896/AKR20-2-Carpets-of-Worth-Cheapside.png,ETRS89,,,2.21,not owned by a public authority,yes,not permissioned,,,,,72,,,,72,,,,Allocated under SAL.EA2,2017-12-31,2017-12-31,381226,270905
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/7,,Land rear of Swan Hotel Lickhill Road,http://www.wyreforestdc.gov.uk/media/3411891/AKR7-Swan-Hotel-and-Working-Mens-Club.png,ETRS89,,,1.018,not owned by a public authority,yes,not permissioned,,,,,20,,,,20,,,,Allocated under SAL.STC4,2017-12-31,2017-12-31,381014,271425
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/8,,Land adjacent Toll House Bridge Street,http://www.wyreforestdc.gov.uk/media/3411892/AKR8-adjacent-Toll-House.png,ETRS89,,,0.09,not owned by a public authority,yes,not permissioned,,,,,6,,,,6,,,,,2017-12-31,2017-12-31,380744,270928
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/10,,Shops and garages Queens Road,http://www.wyreforestdc.gov.uk/media/3411893/AKR10-Queens-Road-Shops.png,ETRS89,,,0.468,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,,,,allocated under SAL.SSS1,2017-12-31,2017-12-31,380656,270189
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/11,,The Squirrel Inn Areley Common,http://www.wyreforestdc.gov.uk/media/3411894/AKR11-Squirrel-Inn.png,ETRS89,,,0.19,not owned by a public authority,yes,not permissioned,,,,,7,,,,7,,,,,2017-12-31,2017-12-31,380198,270029
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/18,,Land off Yew Tree Walk,http://www.wyreforestdc.gov.uk/media/3411895/AKR18-Yew-Tree-Walk.png,ETRS89,,,2.489,not owned by a public authority,yes,not permissioned,,,,,85,,,,85,,,,,2017-12-31,2017-12-31,380255,271644
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,AKR/20,,Carpets of Worth site Severn Road,http://www.wyreforestdc.gov.uk/media/3411896/AKR20-2-Carpets-of-Worth-Cheapside.png,ETRS89,,,3.305,not owned by a public authority,yes,not permissioned,,,,,170,,,,170,,,,,2017-12-31,2017-12-31,381354,271037
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/1,,County Buildings Worcester Street,http://www.wyreforestdc.gov.uk/media/3411875/MI1-County-Buildings.png,ETRS89,,,0.67,owned by a public authority,yes,not permissioned,,,,,40,,,,40,,,,,2017-12-31,2017-12-31,381212,271723
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/5,,Land off Baldwin Road,http://www.wyreforestdc.gov.uk/media/3411877/MI5-Baldwin-Road.png,ETRS89,,,0.8316,not owned by a public authority,yes,permissioned,,,,,55,,,,55,,,,,2017-12-31,2017-12-31,381593,271554
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/6,,Land off Steatite Way,http://www.wyreforestdc.gov.uk/media/3411878/MI6-Steatite-Way.png,ETRS89,,,3.31,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?altref=15/0623/OUTL,,106,Erection of up to 106 dwelling houses and means of access,,,106,,,,,2017-12-31,2017-12-31,380237,272407
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/7,,Car sales Worcester Road (southern parcel),http://www.wyreforestdc.gov.uk/media/3411879/MI7-Worcester-Road-Garage.png,ETRS89,,,0.293,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,,,,,2017-12-31,2017-12-31,381684,271018
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/11,,3 Sandy Lane Titton,http://www.wyreforestdc.gov.uk/media/3411880/MI11-SAndy-Lane-Titton.png,ETRS89,,,0.32,not owned by a public authority,yes,not permissioned,,,,,13,,,,13,,,,,2017-12-31,2017-12-31,382119,270174
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/12,,Robbins Depot Manor Road,http://www.wyreforestdc.gov.uk/media/3411881/MI12-Robbins-Depot.png,ETRS89,,,0.19,not owned by a public authority,yes,not permissioned,,,,,12,,,,12,,,,,2017-12-31,2017-12-31,381544,272207
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/29,,Former Chichester Caravans Vale Road,http://www.wyreforestdc.gov.uk/media/3411882/MI29-Chichester-Caravans.png,ETRS89,,,0.34,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0662/RESE,,28,"28no dwellings and associated works - reserved matters submission of appearance, scale and landscaping following outline permission 14/0027/OUTL",,,28,,,,,2017-12-31,2017-12-31,381322,271612
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,MI/34,,106 Minster Road,http://www.wyreforestdc.gov.uk/media/3411883/MI34-106-Minster-Road.png,ETRS89,,,0.15,not owned by a public authority,yes,not permissioned,,,,,20,,,,600,,,,,2017-12-31,2017-12-31,381365,271794
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/WC/15,,Lea Castle Hospital Park Gate Road,http://www.wyreforestdc.gov.uk/media/3411888/WFRWC15-Lea-Castle-Hospital.png,ETRS89,,,48.66,owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?altref=17/0205/OUTL,,600,"Outline planning application to include up to 600 dwellings (C3), up to 3,350sqm of Class B1 employment uses, 150sqm of Class A1/A3/D1 uses (local shop/café/community space), public open space, ecological mitigation, drainage works, infrastructure and ancillary works. Detailed approval is sought for access arrangements, to include the main access from Park Gate Road, secondary access from The Crescent and limited access to a small number of properties from Axborough Lane, with all other matters reserved. (REVISED / ADDITIONAL PLANS)",,,,,,,,2017-12-31,2017-12-31,385001,279479
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/WC/18,,Sion Hill Middle School Sion Hill,http://www.wyreforestdc.gov.uk/media/3411889/WFRWC18-Sion-Hill-School.png,ETRS89,,,2.1,not owned by a public authority,yes,pending decision,,,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=15/0305/OUTL,,60,Outline Planning Application for up to 46 dwellings with all matters reserved other than access,,,60,,,,Revised scheme for 60 dwellings. Application expected early 2018,2017-12-31,2017-12-31,383983,278497
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/BR/5,,Yieldingtree Packers Hackman Gate,http://www.wyreforestdc.gov.uk/media/3411886/WFRBR5-Yielding-Tree-Packers.png,ETRS89,,,0.91,not owned by a public authority,yes,permissioned,outline planning permission,2016-10-18,http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=16/0503/OUTL,,9,"Outline application (with all matters reserved save for access, scale and partial landscaping) for demolition of existing buildings and redevelopment of the site to provide up to five dwellings",,,9,,,,Full application for 9 dwellings - pending decision http://www.wyreforest.gov.uk/fastweb/detail.asp?AltRef=17/0764/FULL,2017-12-31,2017-12-31,389545,277849
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WFR/ST/9,,Cursley Distribution Park Curslow Lane,http://www.wyreforestdc.gov.uk/media/3411887/WFRST9-Cursley-Distribution-Park.png,ETRS89,,,3.293,not owned by a public authority,yes,not permissioned,,,,,80,,,,80,,,,,2017-12-31,2017-12-31,386744,272123
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BR/BE/1,,Bewdley Fire Station Load Street car park,http://www.wyreforestdc.gov.uk/media/3411866/BRBE1-Bewdley-Fire-Station.png,ETRS89,,,0.186,owned by a public authority,yes,not permissioned,,,,,15,,,,15,,,,,2017-12-31,2017-12-31,378571,275463
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BR/RO/1,,Land at Clows Top,http://www.wyreforestdc.gov.uk/media/3411867/BRRO1-Clows-Top.png,ETRS89,,,1.44,not owned by a public authority,yes,not permissioned,,,,,30,,,,30,,,,,2017-12-31,2017-12-31,371576,271806
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,BR/RO/26,,Bliss Gate Inn,http://www.wyreforestdc.gov.uk/media/3411868/BRRO26Bliss-Gate-Inn.png,ETRS89,,,0.158,not owned by a public authority,yes,not permissioned,,,,,6,,,,6,,,,,2017-12-31,2017-12-31,374736,272536
http://opendatacommunities.org/id/district-council/wyre-forest,Wyre Forest District Council,WA/UA/1,,Land at Bellmans Cross Shatterford,http://www.wyreforestdc.gov.uk/media/3411885/WAUA1-Bellmans-Cross.png,ETRS89,,,0.8,not owned by a public authority,yes,not permissioned,,,,,20,,,,20,,,,,2017-12-31,2017-12-31,379006,281227
