OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Eastings,Northings
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR11,,"Ilkeston Co-Op, 12-16 South Street, Ilkeston, Derbyshire, DE7 5GS","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446438&Y=341364&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.309973286,52.97007932,0.58,not owned by a public authority,yes,permissioned,full planning permission,16/03/2017,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,69,"ERE/0916/0042 planning permission: Alterations to the first and second floors of the former Ilkeston Co-op building to create 69 residential apartments. The proposals include external alterations to the fabric of the building, extensions to the roof and additional and replacement windows. A resident’s gym and car parking would be provided as part of the development. ",,,,,,,"The site is able to support 69 residential apartments (one and two bedrooms), as outlined in ERE/0916/0042. ",05/12/2017,05/12/2017,"446,438","341,634"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR12,,"Hallam Mills, Little Hallam Lane, Ilkeston, Derbyshire, DE7 4AA","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446765&Y=340502&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.305267812,52.9598758,0.45,not owned by a public authority,yes,permissioned,full planning permission,24/03/2016,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,18,ERE/0115/0018 planning permission: Affordable housing development of 18 dwellings.,,,,,,,"The site is able to support 18 dwellings, (a mixture of one and two storey dwellings, ranging from 2-4 bedrooms in size), as outlined in ERE/0115/0018.  The site falls within the SHLAA2014 reference: SHLAA 225.",05/12/2017,05/12/2017,"446,765","340,502"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR13,,"Land to the rear of The Newdigate Arms; High Lane East, West Hallam, Ilkeston DE7 6HW","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=444272&Y=342143&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.34215361,52.97483718,0.41,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,14,This site has no residential planning applications submitted.,,,,,,,"The site can support 14 dwellings with some properties fronting on to High Lane East. Highway access would need to be broadly in-line with the current access arrangements for the public house currently occupying the site. The site is a public house and car park, with no other use mapped historically. Ground contamination from heavy metals, asbestos and PAHs is possible.",05/12/2017,05/12/2017,"444,272","342,143"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR14,,"85-125 Wirksworth Road/ Land Adjacent to Wirksworth Road Allotments, Former Garage Site Kirk Hallam, Ilkeston, Derbyshire, DE7 4GL","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=445133&Y=339800&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.329658614,52.95370508,0.36,not owned by a public authority,yes,permissioned,full planning permission,14/01/2016,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,7,ERE/0915/0019 planning permission: Demolition of existing garages and erection of seven dwellings including alterations to the access at garage site rear of 85 to 125 Wirksworth Road Kirk Hallam Ilkeston.,,,,,,,The site can support 7 dwellings (3 bedrooms).  The site falls within the SHLAA2014 reference: SHLAA 214.,05/12/2017,05/12/2017,"445,133","339,800"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR15,,"Former Concorde Public House, 6/8 Green Lane, Ilkeston, Derbyshire, DE7 5PN","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=447188&Y=341367&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.298845702,52.96761406,0.35,not owned by a public authority,yes,permissioned,outline planning permission,23/10/2017,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,14,"ERE/0117/0021 planning permission: Outline application for demolition of public house and erection of 14 dwellings (matters of access, scale and layout for determination at this stage) (resubmission of ERE/0116/0010).",,,,,,,"This site is able to support 14 homes with a mixture of bedroom sizes, ranging from 2 -4+, as demonstrated by the outline planning application ERE/0117/0021. The site is a former public house. Ground contamination is possible due to made ground but it is unlikely to be significant. In regards to hazardous substances, heavy metals, asbestos and PAHs are possible. The site falls within the SHLAA2014 reference: SHLAA 361.",05/12/2017,05/12/2017,"447,188","341,367"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR16,,"Former Shopping Parade, Donner Crescent, Long Eaton, Derbyshire, DE7 8SQ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446232&Y=344261&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.31266638,52.99370979,0.35,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,15,This site has no residential planning applications submitted.,,,,,,,"The site is able to support 15 dwellings (a mixture of flats and detached dwellings). Flat development potential fronting on to Donner Crescent with detached dwellings on the rest of the site. The site is a former row of shops. In relation to hazardous substances, ground contamination may be possible due to made ground but it is unlikely to be significant. Typical contaminants include heavy metal, asbestos and PAHs.  The site falls within fully / part of SHLAA reference: SHLAA 236.",05/12/2017,05/12/2017,"446,232","344,261"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR17,,"Land off Royal Avenue, Long Eaton, Derbyshire, NG10 1NU","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=449009&Y=334357&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.272789798,52.90444124,0.35,unknown ownership,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,10,This site has no residential planning applications submitted.,,,,,,,"The site is able to support 10 dwellings. This site is located on a boundary of a dismantled railway. There is evidence of a former building on the site from the 1980's but its use is unknown. A concrete hardstanding is across the majority of the site. Likely contaminants are those outlined in the 'Railway Land' Department of Environment Industry Profile, produced by CL:AIRE.  The site falls within the SHLAA2014 reference: SHLAA 21.",05/12/2017,05/12/2017,"449,009","334,357"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR18,,"101 and 117 (Poplar Inn) and land west /rear of 101-119, Bath Street and Bonsall Place, Ilkeston, Derbyshire, DE7 8AP","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446435&Y=342220&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.309934123,52.9753469,0.29,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,27,"Lapsed planning permission, see Notes column.",,,,,,,"The site can support 26 flats (a mixture of 1 and 2 bedrooms). ERE/1013/0011 planning permission: Demolition of the Poplar Inn 117 and 119 Bath Street to allow the redevelopment of land to the rear of 101 and 101a Bath Street (known as Bonsall Place) for a mixed Commercial (3 shops) and residential development (27 units).  The site falls within the SHLAA2014 reference: SHLAA 203.
",05/12/2017,05/12/2017,"446,435","342,220"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR19,,"Rutland Mill, Market Street, Ilkeston, Derbyshire, DE7 5RY","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446572&Y=341621&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.307980084,52.96995088,0.24,not owned by a public authority,yes,permissioned,other,13/04/2017,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,45,ERE/0317/0033 planning permission: Prior notification of change of use from office (ClassB1a) to residential use (Class C3). ,,,,,,,"The site can support 45 residential flats, as demonstrated in ERE/0317/0033.  The site falls within SHLAA reference: SHLAA 687.",05/12/2017,05/12/2017,"446,572","341,621"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR20,,"Land adjoining Bridge Street and the Erewash Canal, Long Eaton, Derbyshire, NG10 4QR","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=448743&Y=334376&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.276741373,52.90463612,0.21,owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,25,This site has no residential planning applications submitted.,,,,,,,"The site can support 25 residential units (a mix of apartments and town houses). In regards to hazardous substances present on the land, the full site's history is not known. The site is currently used for storage, the parking of HGV's and as a HGV loading bay for the adjacent upholstery business. The site is covered in tarmac and ground contamination is possible. Typical contaminants found in sites similar to this include heavy metals, asbestos, petroleum hydrocarbons and poly nuclear aromatic hydrocarbons (PAHs). The site falls within the SHLAA2014 reference: SHLAA 4.",05/12/2017,05/12/2017,"448,743","334,376"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR21,,"Land to the rear of The Bungalow, Hill Top, Breadsall, Derbyshire, DE21 4FY","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=437408&Y=339278&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.444695951,52.94960498,0.21,not owned by a public authority,yes,permissioned,full planning permission,31/05/2016,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,8,ERE/0316/0024 planning permission: Redevelopment of existing site to construct 8 residential dwellings including the demolition of the existing industrial unit.,,,,,,,"This site is able to accommodate 8 houses (typically 2 bedrooms), as outlined in ERE/0316/0024.",05/12/2017,05/12/2017,"437,408","339,278"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR22,,"Ambulance Station, Briar Gate, Long Eaton, NG10 4BQ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=447703&Y=334475&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.292188018,52.90561896,0.2,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,15,"Lapsed planning permission, see Notes column.",,,,,,,"The site is able to accommodate 15 dwellings, as demonstrated in the following planning permissions. ERE/0704/0093 planning application permitted the demolition of the existing building on site. The demolition of this building results in the permission being 'active'. There have been more recent planning permissions granted for this site, all of which have since lapsed (ERE/0311/0028, ERE/0506/0083 and ERE/1107/0114). The site falls within the SHLAA2014 reference: SHLAA 106",05/12/2017,05/12/2017,"447,703","334,475"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR23,,"Units 3, 4 and 5 of the Former Co-op Building, Eaton Court, High Street, Long Eaton, Derbyshire, NG10 1LP","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=449448&Y=333456&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.266400229,52.89630249,0.2,not owned by a public authority,yes,permissioned,full planning permission,29/10/2015,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,15,"ERE/0315/0034 planning permission: Subdivide and change of use to create 15 residential units (class C3), two retail units (A1) and a food and drink unit (A3), external alterations and associated facilities.",,,,,,,"The site can accommodate 15 dwellings (a mixture of 1, 2 and 3 bedroom houses). The site falls within the SHLAA2014 reference: SHLAA 689.",05/12/2017,05/12/2017,"449,448","333,456"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR24,,"Warehouse at 112 Station Road, Ilkeston, Derbyshire, DE7 5LH","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446783&Y=342222&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.304751993,52.97533471,0.18,unknown ownership,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,15,This site has no residential planning applications submitted.,,,,,,,"This site is able to support 15 flats through the conversion of the current building. There is also scope for some demolition and rebuild to create additional residential units. The site is a former lace mill, known as Maltbys Mill, evident on historic maps from late 1800s. Ground contamination is possible due to historic use. Likely contaminants are those outlined in the 'Textile Works and Dye Works' Department of Environment Industry Profile, produced by CL:AIRE.  The site falls within the SHLAA2014 reference: SHLAA 495.",05/12/2017,05/12/2017,"446,783","342,222"
