OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2371,,"Site of former longcar conference centre, longcar lane, barnsley, s70 6bb",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,433914.146,405703.168,0.9,unknown ownership,yes,permissioned,outline planning permission,29/01/2016,,,32,Erection of 32 no. Dwellings and access road (outline),,,32,32,,,,02/08/2017,02/08/2017,,2015/1277
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2389,,"Land at Sandygate Lane, Stairfoot, Barnsley, South Yorkshire, S71 5AW",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,437441.565,405508.744,0.5,unknown ownership,yes,permissioned,outline planning permission,29/06/2016,,,14,Outline application for residential development.,,,14,14,,,,02/08/2017,02/08/2017,,2016/0288
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2441,,"The former three Horseshoes Public House, Barnsley Road, Brierley, Barnsley, S72 9JT",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,440712.347,411230.666,0.3,unknown ownership,,permissioned,full planning permission,22/02/2017,,,9,Conversion of former public house into 7 apartments and erection of 2 detached dwellings.,,,9,9,,,,02/08/2017,02/08/2017,,2016/1381
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2447,,"West street, worsbrough dale, barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,435874.277,403655.304,1.5,unknown ownership,yes,permissioned,outline planning permission,23/03/2017,,,70,Outline application including details of access and associated works for residential development (Resubmission of 2014/0125),,,70,70,,,,02/08/2017,02/08/2017,,2015/1089
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2129,,"Willowgarth high school, brierley road, grimethorpe, barnsley, s72 7aj",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,441203.662,410165.711,4.3,unknown ownership,yes,permissioned,outline planning permission,09/09/2013,,,136,Residential development (outline).,,,136,136,,,,02/08/2017,02/08/2017,,2012/0537
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H0214,,"Foundry street, elsecar",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,438118.451,400215.049,0.5,unknown ownership,,not permissioned,other,,,,2,,,,2,2,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H0594,,"Market street, goldthorpe, south yorkshire, s63 9nq",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,446294.534,404233.149,0.4,unknown ownership,,not permissioned,other,,,,6,,,,6,6,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H0819,,"82 bondfield crescent, wombwell, barnsley, s73 8tl",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,439564.973,402901.32,1.8,unknown ownership,,not permissioned,other,,,,60,,,,60,60,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1162,,"'Fighting cocks', wombwell road, hoyland, barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,437132.243,401341.037,0.3,unknown ownership,,not permissioned,other,,,,21,,,,21,21,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1290,,"Corner of wood street/heelis street, barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,434511.517,405848.416,0.9,unknown ownership,,not permissioned,other,,,,21,,,,21,21,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1388,,"Land off station road, wombwell, barnsley, south yorkshire, s73 0bn",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,440470.536,403622.973,3.7,unknown ownership,,not permissioned,other,,,,95,,,,95,95,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1351,,"Hoyle mill, pontefract road, barnsley.",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,435929.42,406342.925,0.5,unknown ownership,,not permissioned,other,,,,42,,,,42,42,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1401,,"Land to the rear of 6 clayton lane, thurnscoe, rotherham, s63 0ru",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,444833.592,405901.521,0.3,unknown ownership,,not permissioned,other,,,,10,,,,10,10,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1477,,"Land at 116 upper hoyland road, hoyland, barnsley.",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,436150.644,401267.698,0.3,unknown ownership,,not permissioned,other,,,,11,,,,11,11,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1489,,"47 victoria road, barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,433969.47,406807.612,0.3,unknown ownership,,not permissioned,other,,,,21,,,,21,21,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1541,,"Steadhaven resource centre, bellwood crescent, hoyland, barn",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,436318.29,400313.241,0.4,unknown ownership,,not permissioned,other,,,,19,,,,19,19,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1740,,"155 wakefield road, barnsley, s71 1ng",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,435051.123,408169.092,0.3,unknown ownership,,not permissioned,other,,,,24,,,,24,24,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC1,,Former woolley colliery,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,431176.695,410780.105,4.1,not owned by a public authority,,not permissioned,other,,,,86,,,,86,86,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC3,,"Former william freeman site, wakefield road",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,434010.02,409925.789,4.4,not owned by a public authority,yes,not permissioned,other,,,,131,,,,131,131,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H55,,Site at Brunswick Street,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,446492.993,406322.141,1.4,mixed ownership,yes,not permissioned,other,,,,45,,,,45,45,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,311,,Site South of King Street,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,445987.562,405376.142,0.7,owned by a public authority,yes,not permissioned,other,,,,25,,,,25,25,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H64,,Former kings road school site,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,440009.777,402708.125,0.8,not owned by a public authority,,not permissioned,other,,,,29,,,,29,29,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,308,,Site at new street,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,441415.643,404196.819,1.1,not owned by a public authority,yes,not permissioned,other,,,,35,,,,35,35,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H29,,Site at Garden House Farm,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,436263.922,408054.145,1.2,mixed ownership,yes,not permissioned,other,,,,38,,,,38,38,,,"Garden House Farm, Garden House Close, Monk Bretton.  This brownfield site is part of a wider site (H29) proposed for housing in the Local Plan Publication Draft 2016.  It is not anticipated that the part of the site included on the brownfield register be developed in isolation from the wider site.",02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC30,,Land at Tankersley Lane,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,435566.844,400036.64,0.9,mixed ownership,,not permissioned,other,,,,32,,,,32,32,,,Land at Tankersley Lane.  This brownfield site is part of a wider site (AC30) proposed for housing in the Local Plan Publication Draft 2016.  It is not anticipated that the part of the site included on the brownfield register be developed in isolation from the wider site.  The proposed policy also requires any development to be the subject to the production of a masterplan covering the entire site and also proposed employment site reference HOY1.,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H1,,"Former Reema Estate and adjoining land, off School Street",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,445779.547,406116.76,7,owned by a public authority,yes,not permissioned,other,,,,224,,,,224,224,,,"Former Reema Estate and adjoining land, off School Street, Thurnscoe. This brownfield site is part of a wider site (H1) proposed for housing in the Local Plan Publication Draft 2016.  It is not anticipated that the part of the site included on the brownfield register be developed in isolation from the wider site.  ",02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H22,,Site at Blacker Lane,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,439293.9,411438.276,0.9,not owned by a public authority,,not permissioned,other,,,,32,,,,32,32,,,"Land north of Blacker Lane, Shafton.  This brownfield site is part of a wider site (H22) proposed for housing in the Local Plan Publication Draft 2016.  It is not anticipated that the part of the site included on the brownfield register be developed in isolation from the wider site.  ",02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC16,,Land off Broadway,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,433241.992,405606.925,5.8,mixed ownership,yes,not permissioned,other,,,,186,,"The site is proposed for mixed use for housing and green space in the Local Plan Publication Draft 2016.  Only that part of the site that is brownfield is included on the brownfield register, excluding existing playing fields.  It is not intended that the brownfield element be developed in isolation from the wider site. The proposed policy requires development of the wider site to provide 3.25ha of playing pitches.",,186,186,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC40,,Former wombwell high school,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,440222.822,402382.259,9.8,owned by a public authority,,not permissioned,other,,,,250,,The site is proposed for mixed use for housing and a primary school in the Local Plan Publication Draft 2016.  Two hectares of the site is proposed for a new primary school.,,250,250,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H41,,Site of the former Foulstone School,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,441556.996,404405.469,1.6,owned by a public authority,,not permissioned,other,,,,51,,,,51,51,,,The former Foulstone School.  This brownfield site is part of a wider site (H41) proposed for housing in the Local Plan Publication Draft 2016.  The proposed policy also requires any development to investigate options for either a small scale convenience shop that is in compliance with Local Plan Policy TC5 Local Shops or an extension to Darfield Local Centre that is in compliance with local and national policy to protect town centres.,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H52,,Site south of beever street,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,446561.385,404234.668,0.6,mixed ownership,,not permissioned,other,,,,22,,,,22,22,,,Land South of Beever Street Goldthorpe.  This brownfield site is part of a wider site (H52) proposed for housing in the Local Plan Publication Draft 2016.  ,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC12,,"Land at Shaw Lane, Carlton",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,437475.452,409923.8,8.7,mixed ownership,yes,not permissioned,other,,,,278,,This is part of a wider site proposed for mixed use for housing and green space in the Local Plan Publication Draft 2016.  The proposed policy requires that the area of green space known as Wharncliffe Woodmoor will be retained.  Only that part of the site that is brownfield is included on the brownfield register and excludes Wharncliffe Woodmoor.  The brownfield element could not be developed in isolation from the wider site.  The proposed policy also requires any development to be the subject to the production of a phased masterplan covering the entire site and also including proposed housing site H44.,,278,278,,,,02/08/2017,02/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,355,,"Land at Locksley Gardens, Birdwell",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,434822.5,400714.2,0.27,not owned by a public authority,yes,not permissioned,other,,,,10,,,,10,10,,,,10/08/2017,10/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,AC44,,"Oughtbridge mill, oughtbridge",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,430309.9,394339.5,9,not owned by a public authority,yes,permissioned,outline planning permission,,,,320,"Demolition of existing buildings and structures and erection of residential development (Use Class C3) with means of site access including a new vehicular bridge and a pedestrian/cycle bridge across the River Don, and associated landscaping and infrastructure works (As amended by drawings received on the 11 and 16 August 2016)",,,320,320,,,"The application is for around 320 dwellings for a wider site, incorporating land within in Sheffield City Council. ",10/08/2017,10/08/2017,,16/01169/out
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H2474,,"Grove street, barnsley",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,430370,394070,0.5,unknown ownership,,not permissioned,other,,,,12,,,,12,12,,,,10/08/2017,10/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,Town Centre Development Site 2,,Southern fringe development site,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,434614.1,405928.2,2.5,mixed ownership,,not permissioned,other,,,,75,,"The overall site area is 3.6ha.  The potential for residential development is indicated in the region of 2.5ha, including a mixed use area.  The proposed Local Plan Publication 2016 policy states that mixed use developments that could include retail, residential and offices will be allowed.  ",,75,100,,,,10/08/2017,10/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,Town Centre Development Site 3,,Courthouse campus,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,434566.8,406724.5,4.6,owned by a public authority,,not permissioned,other,,,,125,,"The overall site area is 4ha.  The potential for residential development indicated is in the region of 2 hectares.  The proposed Local Plan Publication 2016 policy states that education and community facilities, offices, developments designed to support the creative and digital industries and residential units including live-work units will be allowed.",,125,150,,,,10/08/2017,10/08/2017,,
http://opendatacommunities.org/id/metropolitan-district-council/barnsley,Barnsley Metropolitan Borough Council,H0602,,"FORMER REMPLOY SITE, WEST ROAD, POGMOOR, BARNSLEY.",https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/brownfield-land-register/,OSGB36,432942.5,406604.6,0.4,unknown ownership,,permissioned,reserved matters approval,,,,33,33 flats,,,33,33,,,,10/08/2017,10/08/2017,,2005/0345
