OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,PlanningStatus,PermissionType,PermissionHistory,MinNetDwellings,DevelopmentDescription,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1422,,"Land at 31-35, Winwick Street, Warrington, WA2 7TT ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,653.2","388,592.7",0.09,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2007/11202 and 2010/17449,16,See most recent planning history at warrington.gov.uk,2017,Proposed mixed use development comprising A3/A5 outlet on the ground floor with 16 apartments above all within a 5 storey block,"Town Centre (CS7), Inner Warrington (CS9), Archaeological Potential (QE8) and Winwick Street Conservation Area."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1427,,"35-37 Bewsey Street, Warrington, WA2 7JA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,495.7","388,502.4",0.01,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/26540,10,See most recent planning history at warrington.gov.uk,2017,"Proposed construction of four storey building (comprising of 1no three bed apartment and 9no one bedroom apartments (C3) and roof terrace, including demolition of two chimney projections to 37/39 Bewsey Street junction.","Town Centre (CS7), Inner Warrington (CS9), Archaeological Potential (QE8) and Bewsey Street Conservation Area."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1509,,"South Western corner of Penketh Business Park, Off Cleveleys Rd, Penketh, Warrington, WA5 2SR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"357,868.9","387,616.0",0.76,Great Sankey South,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2010/17075,22,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1513,,"Hollingreave Farm, Dam Lane, Rixton, WA3 6LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"368,931.3","391,796.2",0.45,Rixton & Woolston,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2012/20090,5,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1517,,"Former Ship Inn and adjoining land, Chester Road, Walton, WA4 6EN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,433.1","385,893.1",1.37,Stockton Heath,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2014/24980 & 2015/26890,1,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1519,,"Howards Transport Limited, Robins Lane, Culcheth, WA3 4AE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"364,775.8","394,859.9",0.35,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,7,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1541,,"Arpley Meadows (mid parcel), South of WA1 1NA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"359,810.6","387,009.3",19.57,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,646,Not applicable,2017,PDL,This land is subject to a restrictive covenant which prevents residential development.  It is unlikely however that the restrictive covenant will present a constraint to development since PQ have already expressed support for Warrington Borough Council's plans for the regeneration of this area.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1550,,"Land adjacent Lord Street, Latchford, WA4 1BZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,993.0","387,591.2",0.07,Latchford West,Not owned by a Public Authority,No,Permissioned,Prior Notification,2013/21524,21,See most recent planning history at warrington.gov.uk,2017,Proposed demolition of traditional masonary building with timber roof.,Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9). 
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1585,,"Former scout hut and lock up garagres, Helsby Street (southern end), Howley, WA1 3AX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,885.7","388,624.6",0.17,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,8,Not applicable,2017,n/a,Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9). 
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1602,,"Brook Avenue garage site and former Children's Home, North of Brook Avenue, Latchford, WA4 1SS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,856.6","388,212.3",0.15,Latchford East,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,5,Not applicable,2017,n/a,Site is within the LPCS priority regeneration area of Inner Warrington (Policy CS9). 
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1607,,"The Old Rectory, Rectory Lane, Winwick, WA2 8LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,550.3","392,598.1",0.82,Burtonwood & Winwick,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,14,Not applicable,2017,PDL,No 
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1613,,"Barondale Grange, Stockport Road, Thelwall, WA4 2TB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"364,887.5","387,029.8",0.86,Lymm North & Thelwall,Not owned by a Public Authority,,Not Permissioned,n/a,n/a,4,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1620,,"Recycling premises, Off Camsley Lane, Lymm, WA13 9BY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"366,126.9","387,287.1",0.9,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,11,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1633,,"Arpley Meadows (most western parcel), Arpley Meadows",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"359,307.7","387,252.7",29.46,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,1105,Not applicable,2017,PDL,This land is subject to a restrictive covenant which prevents residential development.  It is unlikely however that the restrictive covenant will present a constraint to development since PQ have already expressed support for Warrington Borough Council's plans for the regeneration of this area.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1643,,"Former Police Training Centre, Off Greenway, Bruche, WA1 3BG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,936.8","389,503.0",8.81,Poulton South,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2013/22541,63,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1653,,"Adjacent to south-western cockhedge bridge, Scotland Rd, Warrington, WA1 2AF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,706.2","388,324.1",0.08,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,15,Not applicable,2017,n/a,"The site is within the town centre boundary, the town centre retail core, and is an area identified as being of archaeological potential. "
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1710,,"Dalton Bank Council Depot, Manchester Road, Warrington, WA1 2PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,263.5","388,619.5",1.45,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,65,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1715,,"Spectra Building & Drivetime Golf Range, South of Centre Park Business Park, WA1 1QL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,156.6","386,784.7",16.65,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Not Permissioned,n/a,n/a,512,Not applicable,2017,PDL,Bridging rights are required to deliver Phase 1.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1717,,"Former Dairy Works, Knutsford Road, Warrington, WA4 1AZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,522.8","387,570.7",0.25,Latchford West,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,13,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1719,,"Furnish with Flair Site, Wilderspool Causeway, Warrington, WA4 6QP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,171.0","386,903.2",0.31,Latchford West,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,36,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1720,,"MSBS Joinery Site, Star Lane, Lymm, WA13 9LN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"367,208.5","387,468.6",0.37,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,11,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1721,,"St Albans Catholic Club, Bewsey Street, Warrington, WA2 7JQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,516.4","388,499.8",0.1,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,35,Not applicable,2017,n/a,Site is within a LPCS priority regeneration area of Inner Warrington - forms part of the Town Centre Strategic Location (Policies CS9 and CS7).  The site is also located within an area identified as being of archaeological potential and is located adjacent to Bewsey Street Conservation Area and in close proximity to grade II listed buildings in Bewsey Street.  LPCS Policies CS6 and QE8 are pertinent.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1723,,"Land at Hopwood Street, off Manchester Road, Warrington, WA1 2PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,179.4","388,641.4",0.46,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,21,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1725,,"Land adjacent Magistrates Court, Winmarleigh Street, Warrington, WA1 1NB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,227.3","387,961.9",0.05,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,15,Not applicable,2017,n/a,"Site is within the Town Centre, and is located directly adjacent to the Palmyra Square Conservation Area.  Site is also located opposite a grade II listed building.  LPCS Policies CS6 and QE8 are therefore pertinent."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1733,,"Hall Motors Site, Folly Lane, Warrington, WA5 0LZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"359,912.9","389,281.6",0.85,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,31,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1736,,"224 - 228 Wilderspool Causeway, 224 - 228 Wilderspool Causeway, WA4 6QF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,021.2","387,058.0",0.15,Latchford West,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,18,Not applicable,2017,n/a,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1737,,"Land Between Public House and 3 Church Lane, Church Lane, Culcheth, WA3 5DL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"365,715.9","395,133.4",0.25,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27387,10,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1746,,"Site of former Kwik Save, Academy Way / Buttermarket Street, Warrington, WA1 2BJ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,866.5","388,210.4",0.39,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,50,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1752,,"Former Wilderspool Stadium, Priory Street, Warrington, WA4 6YP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,010.4","387,446.9",1.9,Latchford West,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,71,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1753,,"Land at the rear of St. James Court, Off Wilderspool Causeway, Warrington, WA4 6PS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,943.0","387,532.9",0.85,Latchford West,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,38,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1755,,"Garven Place Clinic, Legh Street, Warrington, WA1 1UQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,325.5","388,216.7",0.56,Bewsey & Whitecross,Owned by a Public Authority,No,Not Permissioned,n/a,n/a,25,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1756,,"Pierpoint & Bryant Lagoon, Rear of Pichael Nook, Westy, WA4 1AA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"363,416.6","387,769.8",3.45,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2012/20529,57,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1758,,"Land at junction of Wilson Patten Street/Winmarleigh Street, Warrington, WA1 1LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,223.2","387,853.6",0.16,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,25,Not applicable,2017,n/a,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located directly adjacent to Palmyra Square Conservation Area and in close proximity to locally listed buildings.  Policy QE8 of the adopted LPCS is therefore pertinent.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1760,,"Land at 3 Delenty Drive, Birchwood, WA3 6AN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"364,995.7","391,794.5",0.35,Birchwood,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/25391,9,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1762,,"Site of Dog & Partridge, off Manchester Road, Woolston, WA1 3TZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"363,484.6","389,110.3",0.57,Poulton South,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,11,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1775,,"Thorn Marine, 164a London Road, Stockton Heath, WA4 6LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,522.8","385,777.2",0.04,Stockton Heath,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,5,Not applicable,2017,n/a,The building is designated as one of local importance for architectural or historic interest.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1785,,"Car Wash SUDS, Church Street, Warrington, WA1 2SY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,189.8","388,304.7",0.09,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,12,Not applicable,2017,n/a,Site is within Church Street conservation area and within an area of archaeological potential.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1795,,"Holy Trinity Vicarage, Palmyra Square North, Warrington, WA1 1JQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,387.8","388,095.1",0.06,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,11,Not applicable,2017,n/a,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located within the Palmyra Square Conservation Area.  Site is within an area identified as being of archaeological potential.   Policy QE8 of the adopted LPCS are therefore pertinent.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1817,,"Bathroom & Tile Showroom, Parker St/Liverpool Rd, Warrington, WA1 1NN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"360,072.6","388,120.7",0.1,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,15,Not applicable,2017,n/a,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located within the Town Hall Conservation Area.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1843,,"Remainder of Whittle Hall 16, Off Stockdale Court, Gt Sankey, WA5 3RW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"356,343.1","389,496.8",0.22,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2013/22190,7,See most recent planning history at warrington.gov.uk,2017,Outline application for 6 dwellings.,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1844,,"Lock up garages south west of Wellfield Street, Warrington, WA5 1AZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"359,214.7","388,600.7",0.14,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,7,Not applicable,2017,n/a,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9)
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1855,,"Land off Hollow Drive, Hollow Drive, Stockton Heath, WA4 2AS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,979.9","386,194.5",0.36,Stockton Heath,Not owned by a Public Authority,Yes,Not Permissioned,n/a,n/a,5,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,1885,,"Dingle Farm, Dingle Lane, Appleton, WA4 3HR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,773.6","384,583.3",1.98,Grappenhall,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/25077,1,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2036,,"Land Bounded by Montclare Crescent, Brian Avenue & Chester Road, Stockton Heath, WA4 2SA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,443.3","386,459.1",1.53,Stockton Heath,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2008/13417,51,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2128,,"Front of Former Hewden Tool Hire, Junction of Laburnum Lane/Liverpool Road, Gt Sankey, WA5 3LF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"355,598.3","388,682.5",0.16,Penketh & Cuerdley,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,5,Not applicable,2017,n/a,The site is within an existing residential area however is in close proximity to the designated green belt (CS5).  
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2129,,"Land off Knutsford Road / Blackbear Bridge, Land off Knutsford Road/ Blackbrear Bridge, WA4 1NH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"362,120.1","387,405.6",0.56,Latchford East,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,37,Not applicable,2017,PDL,"No.  Site jointly owned by the Council and Peel Holdings but both have previously reached an agreement in principle regarding the redevelopment of the site, and it is likely that such agreement would again be forthcoming."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2134,,"Lingley Mere Business Park, Lingley Mere, Great Sankey, WA5 3LQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"356,001.8","389,838.3",5.7,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27313,275,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2135,,"Omega, West Side of Burtonwood Road, Warrington, WA5 ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"356,852.2","390,085.7",46,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2015/26469,1100,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2145,,"St. Margarets Infant Block, Sandy Lane, Warrington, WA2 9AD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,383.4","390,551.5",0.5,Orford,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,17,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2163,,"Oakdene Nursing Home, Off Twiss Green Lane, Culcheth, WA3 4TH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"365,189.8","396,195.4",0.53,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/28534,8,See most recent planning history at warrington.gov.uk,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2177,,"Grappenhall Hall Residential School, Church Lane, Grappenhall, WA4 3EU",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"363,874.2","386,060.3",1.7,Grappenhall,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,20,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2187,,"Bewsey Old School, Off Lockton Lane, Besey, WA5 0BF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"359,456.4","389,202.2",0.8,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,22,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2188,,"Delenty Drive Police Station, Delenty Drive, Birchwood, WA3 6AN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"364,955.1","391,826.0",0.31,Birchwood,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,8,Not applicable,2017,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2189,,"Bridgewater House and Depot, Off Sandy Lane, Stockton Heath, WA4 2AY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,"361,593.0","385,857.6",0.43,Stockton Heath,Not owned by a Public Authority,No,Not Permissioned,n/a,n/a,12,Not applicable,2017,PDL,No
