OrganisationURI,OrganisationLabel,SiteReference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/11,,"LAND, BUILDINGS AND FORMER CBT BUS DEPOT FRONTING MAGDALEN STREET AND MILITARY ROAD",,ETRS89,51.88551,0.90709,0.461,unknown ownership,,not permissioned,,,,,61 cluster flats and 16 studio flats,,,,,,,,"East Colchester Special Policy ""Growth Area"" ""Regeneration Area"" ""http://www.colchesterhistoricbuildingsforum.org.uk/drupal/node/1025"". Potential contamination has been identified (ref 160103) - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/12,,DOVERCOURT BP PETROL FILLING STATION AND GARAGE INCLUDING NUMBER 79 MAGDALEN STREET,,ETRS89,51.88504,0.91014,0.475,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=O/COL/01/1560&appType&=Planning,,50,,,,,,,,"East Colchester Special Policy ""Growth Area"" ""Regeneration Area"" ""https://www.historicengland.org.uk/listing/the-list/list-entry/1123551"". Likely contamination - garage uses - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/13,,GARAGE 74 TO 78 MILITARY ROAD AND LAND TO REAR,,ETRS89,51.88269,0.91012,0.451,unknown ownership,,not permissioned,,,,,4,,,,,,,,Conservation Area,2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/14,,LAND NORTH OF MAGDALEN STREET (RAILWAY SIDINGS),,ETRS89,51.88644,0.91152,1.54,unknown ownership,,permissioned,,,152730,,58,,,,58,58,,,"East Colchester Special Policy ""Growth Area"" ""Predominantly Residential""  ""Regeneration Area"". Pending application 152730 - contamination identified - further risk assessment and remediation required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/15,,LAND AND BUILDINGS FROM AND INCLUDING 83 TO 102 MAGDALEN STREET,,ETRS89,51.88501,0.91207,0.68,unknown ownership,,not permissioned,,,,,40,,,,,,,,"East Colchester Special Policy ""Growth Area"" ""Regeneration Area"". Former depot""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/16,,SCRUBLAND BETWEEN RIVER COLNE AND HYTHE QUAY OPPOSITE THE SPINNAKER P.H.,,ETRS89,51.88159,0.92651,0.309,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=96/1689&appType&=Planning,,24 two bedroom flats,,,,,,,,"Flood Zone 3 ""Growth Area"" ""Predominantly Residential"" ""Public Right of Way (Riverside Walk)"" ""Regneration Area"". Quay adjacent gas works""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/17,,"GASWORKS AND FORMER TIMBER DOCK, LAND NORTH AND SOUTH OF WHITEHALL ROAD",,ETRS89,51.88014,0.92509,6.524,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=151439&appType&=Planning | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=146165&appType&=Planning,,85,,,,,,,,"East Colchester Special Policy ""Flood Zone 3"" ""Green Link"" ""Growth Area"" ""Regeneration Area""  ""Transit Corridor"" ""Some Areas of High Risk from Surface Flooding"". Gas works""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/18,,DERELICT COAL YARD DEPOT. HYTHE STATION ROAD BETWEEN RAILWAY LINE AND RIVER COLNE,,ETRS89,51.88578,0.92661,0.736,unknown ownership,,not permissioned,,,,,40,,,,,,,,Emplyment Zone - Davey Close,2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/19,,LAND COVERING HAWKINS ROAD FROM THE RIVER COLNE TO RAILWAY LINE UP TO HYTHE STATION ROAD,,ETRS89,51.88359,0.92849,6.22,unknown ownership,,not permissioned,,,,,360,,,,,,,,"Conservation Area - Hythe ""East Colchester Special Policy""""Flood Zone 3"" ""Growth Area"" ""Inland Water edge/ limit"" ""Regeneration Area"" ""Risk of Surface Water Flooding"". Likely contamination - many industrial uses - risk assessment required""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/20,,GARDEN HOUSE. ADJACENT TO MAUDLYN ROAD. HYTHE QUAY,,ETRS89,51.8839,0.92531,0.149,unknown ownership,,not permissioned,,,,,24,,,,,,,,"Conservation Area - Hythe ""Flood Zone 3"" ""Growth Area""""Predominantly Residential"" ""Regeneration Area""  ""Low Risk of Surface Water Flooding"". Unknown but possible contamination - industrial area - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/21,,26 HYTHE QUAY,,ETRS89,51.88372,0.92646,0.159,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=F/COL/06/1132&appType&=Planning | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=CA/COL/06/1140&appType&=Planning,,24 apartments,,,,,,,,"Conservation Area Hythe ""Flood Zone 3"" ""Growth Area"" ""Predominantly Residential"" ""Regeneration Area"" ""http://www.colchesterhistoricbuildingsforum.org.uk/drupal/node/359"" ""http://www.colchesterhistoricbuildingsforum.org.uk/drupal/node/1254"". Unknown but possible contamination - industrial area - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/22,,28 HYTHE QUAY,,,51.88437,0.92646,0.1,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=F/COL/04/0752&appType&=Planning| http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=100447&appType&=Planning | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=O/COL/02/1226&appType&=Planning |http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=CA/COL/02/1225&appType&=Planning,,39 apartments,,,,,,,,"Conservation Area - Hythe ""Flood Zone 3"" ""Growth Area"" ""Regeneration Area"" ""Predominantly Residential"". Potential contamination - industrial area - risk assessment required""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/23,,80 MAGDALEN STREET. COLCHESTER,,ETRS89,51.88502,0.91096,0.08,unknown ownership,,not permissioned,,,101864 | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=071522&appType&=Planning | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=F/COL/06/1526&appType&=Planning,,12 apartments,,,,,,,,"East Colchester Special Policy ""Growth Area"" ""Regeneration Area"". Former depot""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/24,,PARKING LAND USED BY ROBERTSONS VAN HIRE BETWEEN 145 AND 149 MAGDALEN STREET,,ETRS89,51.88563,0.91007,0.15,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=152705&appType&=Planning,,6-15 flats/ maisonettes,,,,,,,,"East Colchester Special Policy ""Growth Area"" ""Regeneration Area"". Potential contamination - part former coal yard - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/25,,ESSEX COUNTY HOSPITAL SITE. LEXDEN ROAD. COLCHESTER,,ETRS89,51.88693,0.88911,1.71,owned by a public authority,,not permissioned,,,,,100,,,,,,,,"Colchester Conservation Area 2 ""Predominantly Residential"" ""http://www.colchesterhistoricbuildingsforum.org.uk/drupal/node/1453"" ""http://www.colchester.gov.uk/CHttpHandler.ashx?id=16792&p=0"". Potential contamination - hospital use - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/26,,RESIDENTIAL GARAGES REAR OF 1 STALIN ROAD,,ETRS89,51.87423,0.91233,0.128,unknown ownership,,not permissioned,,,,,,,,,,,,,"Predominantly Residential. Unknown""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/27,,"SITE REAR OF THE CO OPERATIVE STORE, 90 WIMPOLE ROAD",,,51.88406,0.91443,0.183,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=152210&appType&=Planning,,7 three bedroom dwellings,,,,,,,,"Growth Area ""Predominantly Residential"" ""Regeneration Area"". Potential contamination identified (ref 152210) - risk assessment and remediation required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/28,,COAL YARD SITE WITH ACCESS BETWEEN 49 AND 51 ARTILLERY STREET,,,51.88347,0.91585,0.092,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=161107&appType&=Planning,,5 dwellings,,,,,,,,"Predominantly Residential.Potential contamination identified - coal yard (ref 161107) - risk assessment required""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,COL/29,,23 ST JULIAN GROVE,,,51.88727,0.90595,0.148,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=072585&appType&=Planning | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=F/COL/02/0992&appType&=Planning,,24 sheltered apartments,,,,,,,,"Flood Zone 3 ""http://www.colchesterhistoricbuildingsforum.org.uk/drupal/node/1444"". Potential contamination (Britannia iron works adjacent) - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,MER/01,,FORMER UNDERWOODS GARAGE WEST MERSEA,,,51.77767,0.91975,0.21,unknown ownership,,not permissioned,,,,,,,,,,,,,Allocated for employment currently.,2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,RHE/01,,"ROWHEDGE PORT, SOUTHERN END OF HIGHSTREET, ROWHEDGE",,,51.85299,0.95108,8.02,mixed ownership,,permissioned,full planning permission,,"144693
160551",,256,,Community building,,256,256,,,"Colchester Local Wildlife Site ""Flood Zone 3"" ""Predominantly Residential"" ""Tree Preservation Order 18/01"". Already being part developed - ref. 144693 and contamination matters discussed ref. 160551 (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,TIP/01,,"RESIDENTIAL PARKING AREA OFF GROVE ROAD, WITH ACCESS ADJACENT TO 22 GROVE ROAD",,,51.81251,0.74973,0.152,unknown ownership,,not permissioned,,,,,,,,,,,,,"Rural District Centre. Potential contamination (garage use) - risk assessment required (http://www.colchester.gov.uk/article/13066/Contaminated-Land-and-planning).""""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,TIP/01,,"BT BUILDINGS, CARPARK AND SMALL GARDENS AREA, STATION ROAD",,,51.80762,0.75102,0.266,unknown ownership,,not permissioned,,,,,8,,,,,,,,"Predominantly Residential. Unknown""",2016-07-01,2017-11-28
http://opendatacommunities.org/id/district-council/colchester,Colchester Borough Council,WIV/01,,"1 THE AVENUE, WIVENHOE QUAY",,,51.85961,0.95929,0.25,unknown ownership,,not permissioned,,,http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=COL%2F05%2F2103&appType=Planning&action=Search | http://www.planning.colchester.gov.uk/WAM/findCaseFile.do?appNumber=100213&appType&=Planning,,24 residential units,,,,,,,,"Predominantly Residential ""https://connect.colchester.gov.uk/enquiry/images/WtfLocalList/PDF/WTF%201%20The%20Avenue%20(The%20Gatehouse).pdf"". Garage""",2016-07-01,2017-11-28
