OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/037/13 (MEL5 in submitted Plan),,Silverdale; Scalford Road; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475224,320076,0.4,owned by a public authority,,not permissioned,,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JXPSSTKO00G00,,10,,,,,,,,Single ownership; 08/00249/OUT (permitted); MEL5,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,16/00502/FUL,,Covert Farm; Gipsy Nook; Stonesby,https://arcg.is/1CDCS,OSGB36,481465,323181,0.42,unknown ownership,yes,permissioned,full planning permission,17/10/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OANWMGKOHPH00,,1,Demolition of dwelling; construction of new single dwelling and garage.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,15/00135/FUL,,25 Broad View; Manor Road; Easthorpe,https://arcg.is/1CDCS,OSGB36,481322,338614,0.43,unknown ownership,yes,permissioned,full planning permission,23/04/2015,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NK89VWKO00K00&activeTab=summary,,2,Demolition of existing two storey chalet bungalow and erection of new two storey replacement dwelling,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,16/00577/FUL,,Greenwood Stock Boxes Ltd; Nottingham Road; Nether Broughton,https://arcg.is/1CDCS,OSGB36,469408,325619,0.46,unknown ownership,yes,permissioned,full planning permission,23/10/2017,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OC212KKO0FP00,,10,Erection of ten new dwellings and alteration to existing access to replace existing buildings - Amended Plans: 1. Roof dormer windows removed to 3 dwellings; 2.  area of open space defined; 3. the design to plot 1 revised.,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/134/13 (HAR2 in submitted Plan),,Former Cheese producing dairy; Langar Lane; Harby,https://arcg.is/1CDCS,OSGB36,474381,331382,0.5,not owned by a public authority,yes,permissioned,full planning permission,01/07/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=NY9H6EKO0FH00&activeTab=summary,,10,"Demolition of existing buildings; erection of 10 dwellings; formation of accesses.  HYBRID APPLICATION:Plots 1-6 - full planning application
Plots 7-10 - outline planning application with all matters reserved apart from access.",,,,,,,Ownership unknown by organisation; permission granted; brownfield in LP assessments,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/135/13,,Beebys Yard; Burton Street; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475404,319010,0.5,not owned by a public authority,,pending decision,,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JYY7ZOKO00K00,,20,Conversion of existing buildings to form 7 one and two bed terraced houses and erection 4 two bedroom terraced dwellings.,,,,,,,Single ownership; 08/00326/FUL (status unknown),31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/136/13,,Wycliffe House; Snow Hill; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475054,319077,0.5,not owned by a public authority,,not permissioned,,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=J7P34HKOK0000,,15,Demolition of existing buildings and erection of 24 residential units in 4 blocks together with an access road; parking and landscaping.,,,,,,,Single ownership; partially brownfield,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,16/00838/OUT,,Rydal Manor; Kirby Lane; Eye Kettleby,https://arcg.is/1CDCS,OSGB36,474247,317511,0.5,unknown ownership,yes,permissioned,full planning permission,19/01/2017,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGBOQTKOI8J00,,6,Outline planning permission for 6 new dwellings and renovation of existing barn and conversion of Rydal Manor into 2 dwellings with associated garaging (all matters reserved).,,,,,,,Ownership unknown by organisation; partially brownfield; western area is the landowners residence Rydale Manor; barn and stable block; rest is not brownfield,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/021/17,,Top End Cattle Market; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475092,319876,0.79,owned by a public authority,yes,not permissioned,,,,,26,Within built up area of town in close proximity to services and facilities and scores well in the site assessment scoring. Site is recommended for allocation.,,,,,,,Single ownership; MEL4 - Brownfield Site,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,17/00001/FUL,,3 Eastwell Hall; Hall Lane; Eastwell,https://arcg.is/1CDCS,OSGB36,477592,328527,1,unknown ownership,yes,permissioned,full planning permission,21/06/2017,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=OJ3OQIKOIID00&activeTab=summary,,3,Conversion of buildings to create three dwellings acceptable in principle. Access via the removal of the link building between properties 2 and 3,,,,,,,Ownership unknown by organisation,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,15/01016/OUT,,Easthorpe Lodge; Manor Road; Easthorpe,https://arcg.is/1CDCS,OSGB36,481112,338506,1.02,unknown ownership,yes,permissioned,full planning permission,22/04/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRE2SKOGX800,,9,Demolition of domestic outbuildings and the erection of 9 dwellings; garage block and associated infrastructure. All matters reserved except for access from Manor Road and Green Lane,,,,,,,Ownership unknown by organisation; outbuildings considered brownfield,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/133/14,,Land at Thorpe Road; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475841,319281,1.12,not owned by a public authority,yes,not permissioned,,,,,16,The site is adjacent to the main town of Melton Mowbray. There are good connections to services and facilities and employment and good transport choice to Melton Mowbray town centre including walking and cycling. The site is well contained within the built form. The existing buildings are protected by an Article 4 direction. The principle of development looks acceptable subject to retention of important buildings and high quality design to protect the local heritage asset. The site is currently being marketed.,,,,,,,Single ownership; MEL7 - Brownfield Site,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/186/15,,Pera Business Park; Nottingham Road; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,474892,319664,1.41,not owned by a public authority,,,,,,,57,,,,,,,,Single ownership - Partially Brownfield; Building in North-East part of site.,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/150/15 (LONG3 in submitted Plan),,Birleys Garage; Waltham Lane; Long Clawson,https://arcg.is/1CDCS,OSGB36,473067,327440,2.16,not owned by a public authority,,not permissioned,,,,,65,,,,,,,,"Single ownership; Partially – motor vehicle garage and repairs business on northern
half of site",31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/020/13 (HAR3 in submitted Plan),,Former Millway Foods Premises; Colston Lane; Harby,https://arcg.is/1CDCS,OSGB36,474046,331336,3.12,not owned by a public authority,yes,pending decision,,,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODR0NGKOHYZ00,,53,Residential development of up to 31 dwellings & 10;000 sq ft of workshop (Class B1) employment space; following demolition of existing buildings and structures,,,,,,,"Single ownership; 16/00664/OUT (pending); 15/00673/OUT (refused; appeal allowed 2017-01-13; planning permission granted; Part of site is brownfield – site to the northwest is pasture and
previously used for wildflowers)",31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,15/00537/OUT,,Land at Sandy Lane (Former Poultry Farm); Burton and Dalby,https://arcg.is/1CDCS,OSGB36,476093,316618,3.9,unknown ownership,yes,permissioned,full planning permission,19/04/2017,https://pa.melton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR9N2NKO00K00,,30,Demolition of existing structures and redevelopment of the site to create 30 dwellings (Use Class C3) including the refurbishment of an existing Nissen Hut to create a community space (Use Class D1) space for biomass boiler and associated open space; landscaping; drainage infrastructure and highways' improvements.,,,,,,,Ownership unknown by organisation; Permission with Section 106; brownfield site at the time of application comprises a range of derelict buildings dating from 1940s and has been subject to illegal tipping; para 1.7 of planning and heritage statement of application says it is brownfield,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/028/17,,Land to the south of Welby Road A6006 Roundabout; Asfordby Hill,https://arcg.is/1CDCS,OSGB36,472677,318847,5.11,not owned by a public authority,,not permissioned,,,,,96,,,,,,,,Single ownership; some of the site is brownfield in rural hubs assessment on webstite,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/032/13,,Site of former King Edward VII School site and playing fields; Burton Road; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475873,318065,5.52,owned by a public authority,,permissioned,outline planning permission,27/10/2016,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=MXNBFIKO00K00&activeTab=summary,,100,(Amendment - 60 extra care units removed) Demolition of the majority of the existing buildings on the site. Construction of up to 120 residential dwellings; together with associated open space and infrastructure.,,,,,,,Single ownership; 13/0087/OUT; Permitted with Section 106; MEL2 in allocations; Part brownfield site occupied by educational uses,31/12/2017,31/12/2017,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/melton,Melton Borough Council,MBC/123/13,,War Memorial Hospital; Ankle Hill; Melton Mowbray,https://arcg.is/1CDCS,OSGB36,475270,318563,6,unknown ownership,,permissioned,full planning permission,26/01/2015,https://pa.melton.gov.uk/online-applications/applicationDetails.do?keyVal=MQE9NNKO00G00&activeTab=summary,,98,Conversion of buildings to provide 20 dwellings; erection of 40 new dwelling houses; erection of block of retirement housing (38 dwellings; Class C3); associated accesses and parking areas; demolition of Warwick Cottage and 22-24 Ankle Hill and construction of balancing ponds,,,,,,,Unknown ownership; 13/00522/FUL (permitted with section 106); part brownfield,31/12/2017,31/12/2017,,,,,,,,,,,
