OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,Planning Status,PermissionType,Permission Date,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207158671,,"383 Cockfosters Road, EN4 0JS",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OKPDILJNMO900,ETRS89,-0.155633,51.662488,0.28,not owned by a public authority,yes,permissioned,full planning permission,2017-04-28,,,13,Demolition of existing building and erection of a 2.5 storey block of 12 x 2-bed and 2x 1-bed self contained flats with accommodation and car parking at basement level and associated works,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207096676,,"Garages adjacent to 43,47-53 and rear Of 17-32 Gatward Green London N9 9AW",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD90DLJNJGR00,ETRS89,-0.071412,51.626656,0.35,owned by a public authority,yes,permissioned,full planning permission,2016-12-09,,,12,"Redevelopment of 3 sites involving  demolition of existing garages and erection of two and three storey terraced dwellings to provide 12 residential units comprising of (5 x 3-bed )- Site 2 and (  7 x 2-bed )- Site 3 , with associated landscaping, cycle parking , refuse storage and off street parking - Site 1.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207128186,,"22 Beech Hill, EN4 0JP",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NQPNC5JN28000,ETRS89,-0.161600,51.666596,0.36,not owned by a public authority,yes,permissioned,full planning permission,2016-09-27,,,9,"Demolition of existing dwelling and erection of 9 residential units in two blocks, 1 x part 3-storey block to front of site with basement (Comprising 5 x 3-bed Self contained apartments) with terraces to rear and a part 2, part 3-storey block to rear of s",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207196569,,"19 and 19A Broad Walk, N21 3DA",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZIC5AJN28000,ETRS89,-0.110984,51.630977,0.42,not owned by a public authority,yes,permissioned,full planning permission,2016-03-29,,,0,"Demolition of the existing buildings and erection of two detached dwelling houses comprising 1 x 2-storey 3-bed dwelling with accommodation in roof space and 1x 2-storey 11-bed single family dwelling with basement with swimming pool, accommodation in roof space and integral garage, associated parking to front and landscaping",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207083053,,"Solar House, 282 Chase Road, N14 6NZ",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OJV4XUJN05300,ETRS89,-0.126622,51.633690,0.56,not owned by a public authority,yes,permissioned,planning permission granted under an order,2017-03-28,,,74,"Change of use of a building from office use (Class B1(a)) to 74 self-contained units comprising 25 x 1-bed, 47 x 2-bed and 2 x 3-bed  (Class C3).",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207015710,,"Sub Station, Woodcroft Sports Ground, N21 3QP ",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NFPGSFJN28000,ETRS89,-0.107013,51.630500,0.66,not owned by a public authority,yes,permissioned,full planning permission,2015-06-04,,,5,"Redevelopment of southern part of site by the erection of 5 x 5-bed 2-storey detached single dwellings with balconies at first floor front, front dormer windows, integral garage to plots 1 -4 and a detached double garage to plot 5 and shared access road w",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207104137,,"Land end, 18 And 20 Bush Hill Cottage, N21 2BX",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NO8ACLJN28000,ETRS89,-0.085586,51.643526,0.77,not owned by a public authority,yes,permissioned,full planning permission,2016-10-28,,,20,"Redevelopment of site to provide 4 x 3-storey blocks of 20 self contained flats comprising 8 x 2-bed, 8 x 3-bed and 4 x 4-bed with basement car and cycle parking and refuse storage, balconies to front and rear, solar panels to roof, alteration to vehicle access and associated landscaping.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207166237,,Kingswood Nurseries Bullsmoor Lane Enfield EN1 4SF,https://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NPZUP8JN28000,ETRS89,-0.051538,51.680761,0.86,not owned by a public authority,yes,permissioned,full planning permission,2017-01-30,,,61,"Redevelopment of the site to provide 62 new residential units in 2 blocks, Block 1 - 5 x 4-bed town house with integral garage and 7 x 2-bed and 2 x 3-bed houses with roof terraces, Block 2 - 21 x 1-bed, 10 x 2-bed and 11 x 3-bed self-contained flats with cycle and bin stores at ground floor, new access roads, 67 car parking spaces and associated landscaping.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207179585,,"Alma Estate, Alma Road, EN3 4UH",https://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NO8O9NJN28000,ETRS89,-0.035380,51.642930,1.50,owned by a public authority,yes,permissioned,outline planning permission,2017-06-20,,,247,"Outline planning application for the phased regeneration of the Alma Estate comprising the demolition of Cormorant House, Curlew House, Kestrel House, Merlin House, Silver Birch Court, 1-34 Fairfield Close, 15-107 (odd) 63 (flats 1-9) Alma Road, 7-89 (odd) Napier Road, 5, 7, 9, 21-43 (odd), 45 Scotland Green Road, 98-142 (even), 171a South Street, Ponders End Youth Centre and Welcome Point Community Centre (including 746 residential units, 866sqm of retail shops and other uses with the South Street local parade, 1540sqm of community facilities, and associated works) and the erection of a maximum of 993 residential units, a maximum of 636sqm of flexible retail (A1/A2) floorspace, 150sqm of restaurant/café (A3) floorspace, 2,591sqm of community (D1)/leisure (D2) floorspace (to include 1540sqm for provision of a community centre and youth centre, 80 sqm of flexible A2/B1/D1/D2 floorspace , 439sqm for a gym and minimum of 532sqm to a maximum of 833sqm for a medical centre), retention of existing Multi-Use-Games-Area (MUGA), site wide energy centre, relocation and provision of telecommunications equipment, resited open space and play facilities, landscaping, new access arrangements and highway works, public realm, car parking and associated works (all matters reserved). (An Environmental Statement, including a non-technical summary, also accompanies the planning application in accordance with the Town and Country Planning (Environmental Impact Assessment) Regulations 2011 (as amended by the 2015 Regulations)).",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207081087,,"543 Green Lanes, N13 4DR",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OTG191JNJCM00,ETRS89,-0.101936,51.624526,0.01,not owned by a public authority,yes,permissioned,full planning permission,2016-09-30,,,9,"Demolition of existing buildings and redevelopment of site to provide 9 flats (1 x studio, 1 x 1 bed, 2 x 2 bed, 4 x 3 bed and 1 x 4 bed) in a part two-storey, mansard and basement, and part three-storey, lower ground floor building with related access, l",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207039433,,"1-40 Robin Hall, Gardiner Close, EN3 4LP ",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHRTGNJNLJX00,ETRS89,-0.039936,51.641005,0.55,not owned by a public authority,yes,permissioned,full planning permission,2017-04-13,,,18,"Redevelopment of site to provide a total of 58 affordable housing and shared ownership residential units within 2 x part 2-storey, part 4-storey blocks (block A and E), a 4-storey block (block C) and two part 2, part 3-storey terraces (Block B and D) comprising 6 x 3 bed and 8 x 4 bed houses, 14 x 1 bed, 26 x 2 bed and 4 x 3 bed self contained flats with associated surface car parking, covered cycle parking, play area and ancillary works.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207187207,,"Meridian Water, Willoughby Lane And Meridian Way, N18 2DW",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O46J8IJN05300,ETRS89,-0.044619,51.610311,7.22,owned by a public authority,yes,permissioned,full planning permission,2017-07-10,,,725,Development of Phase 1 of Meridian Water comprising up to 725 residential units,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207044458,,"36-38 Friern Barnet Road, N11 1NA",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OBE430JNIPD00,ETRS89,-0.143509,51.615694,0.01,not owned by a public authority,yes,permissioned,full planning permission,2017-08-23,,,6,Erection of 3 storey side/rear extension facing Station Road on the existing car park to provide 6 flats (3x studios and 3x1 beds) with associated amenity spaces at the rear and cycle and refuse storage to the front.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207144339,,"638 Hertford Road, EN3 5TD",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIJ7IEJNLV400,ETRS89,-0.041035,51.670642,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-06-30,,,5,"Redevelopment of site and erection of part 2-storey, part 3-storey block of 5 flats comprising 1 x 1 bed, 3 x 2 bed and 1 x 3 bed together with balconies, associated landscaping and amenity space.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207185157,,"Middlesex University, Bramley Road, EN4 0PT",https://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODW701JN00900,ETRS89,-0.135667,51.660018,25.59,not owned by a public authority,yes,permissioned,full planning permission,2017-10-02,,,262,"Phased redevelopment of site to provide a total of 262 residential units (134 apartments, 128 houses, including 58 affordable units) with museum, cafe and leisure uses, ancillary parking, vehicle and pedestrian access routes and cycle ways",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207002390,,Edmonton Green North Mall Car Park,https://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NVQTBIJN28000,ETRS89,-0.056481,51.626199,1.59,not owned by a public authority,yes,permissioned,full planning permission,2016-08-18,,,77,"Erection of a 9-storey block to provide 77 residential units (comprising 32 x 1 bed, 44 x 2 bed and 1 x 3 bed to provide 77 units and 5 x 3 bed to provide 5 family units) with balconies to front and rear elevations and solar panels to roof involving reduction in parking spaces and the reconfiguration of car park, conversion of vacant first floor commercial space (Class B1) to provide 5 x 3-bed residential units with amenity deck and refurbishment of North Mall retail thoroughfare. ",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/enfield,Enfield Council,000207183897,,"Chase Farm Hospital, The Ridgeway, EN2 8JL",http://planningandbuildingcontrol.enfield.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NFEI3AJN28000,ETRS89,-0.102502,51.665737,7.71,mixed ownership,yes,permissioned,outline planning permission,2015-10-28,,,500,"Redevelopment of site for mixed use to provide up to 32,000sq m of replacement hospital facilities, construction of a 3-form entry primary school including temporary facilities pending completion of permanent school and construction of up to 500 residential units, provision of additional hospital access opposite Ridge Crest and provision of egress to the school site via Shooters Road, involving demolition of hospital buildings and associated residential blocks, partial demolition of Clock Tower complex, removal of microwave clinical waste treatment plant and fuel oil burner, retention of Highlands Wing, retention and extension of existing multi-storey car park, provision of associated car parking, cycle parking, plant, hard and soft landscaping, public realm improvements and associated works.",,,,,,,,2017-12-31,2017-12-31
