OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeto,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Alt_Coords_X_Y,X_Ref,Y_Ref
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR048,,"""20A Pearson Park,  Kingston Upon Hull, HU5 2TD""",http://hullcc.limehouse.co.uk/file/4808533,WGS84,-0.353666881,53.75755296,0.05,not owned by a public authority,yes,Permissioned,full planning permission,2015-06-19,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,5,"""15/00490/FULL - Change of use from dwelling house to five self contained flats with associated external alterations""",,,5,5,,,,2017-12-20,2017-12-20,OSGB36,508638.7493,430278.9164
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR051,,"""20-24 Lambert Street, Hull Local Plan Housing Allocation H51, HU5 2SJ""",http://hullcc.limehouse.co.uk/file/4808536,WGS84,-0.353557202,53.76382174,0.07,not owned by a public authority,yes,Permissioned,full planning permission,2012-09-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,5,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 5 flats/dwellings. 10/01024/FULL Erection of 1) Part three and part two storey building to provide five flats. Two storey building to provide two flats.""",,,5,9,,,,2017-12-20,2017-12-20,OSGB36,508629.8149,430976.4572
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR054,,"""Former Sutton Place Safe Centre, Saltshouse Road, Hull Local Plan Housing Allocation H54, HU8 9HR""",http://hullcc.limehouse.co.uk/file/4808538,WGS84,-0.296325434,53.77857929,0.99,not owned by a public authority,yes,Permissioned,full planning permission,2015-10-02,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,23,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 23  dwellings/flats .. 15/00759/OUT Outline application 13 dwellings and conversion of Woodside House building - 7 dwellings plus erection of new 3 dwellings""",,,23,23,,,,2017-12-20,2017-12-20,OSGB36,512362.7781,432707.1225
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR120,,"""Land to the east of Stoneferry Road, south west of Foredyke Avenue, Hull Local Plan Housing Allocation H120, HU7 0DZ""",http://hullcc.limehouse.co.uk/file/4808534,WGS84,-0.326854938,53.76916294,0.81,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,22,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 28  dwellings.""",,,22,28,,,,2017-12-20,2017-12-20,OSGB36,510375.8613,431611.7698
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR138,,"""Land at former Viking Public House, Shannon Road, Hull Local Plan Housing Allocation H138, HU8 9PZ""",http://hullcc.limehouse.co.uk/file/4808539,WGS84,-0.266468054,53.78109951,0.2,owned by a public authority,yes,Permissioned,full planning permission,2015-07-03,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,8,"""Hull Local Plan 2016 to 2032 - Housing Allocationwith an  indicative capacity of 8  dwellings. 15/00298/OUT - Erection of 8 dormer bungalows with associated access.""",,,8,8,,,,2017-12-20,2017-12-20,OSGB36,514323.2347,433035.0956
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR172,,"""Land to north east of 141 Marfleet Avenue, Hull Local Plan Housing Allocation H172,  HU9 5RX""",http://hullcc.limehouse.co.uk/file/4808541,WGS84,-0.273218147,53.75260876,0.75,not owned by a public authority,yes,Permissioned,full planning permission,2016-09-22,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,40,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 52 dwellings.  15/00800/FULL, 15/00779/FULL, 15/00106/FULL, 14/00290/FULL, 14/00291/FULL, 10/00875/OUT Outline application for residential development (52 units, mixture of 2, 2.5 and 3 storey).""",,,40,52,,,,2017-12-20,2017-12-20,OSGB36,513955.559,429854.8271
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR190,,"""Hollywell Close, Hull Local Plan Housing Allocation H190,  HU9 4HW""",http://hullcc.limehouse.co.uk/file/4808540,WGS84,-0.254933057,53.7651064,0.21,owned by a public authority,,Permissioned,full planning permission,1996-10-02,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,10,"""Hull Local Plan 2016 to 2032 - Housing Allocation (implemented) with an indicative remaining capacity of 10 dwellings. 96/00247/PR Erection of 34 semi detached dwellings.""",,,10,10,,,,2017-12-20,2017-12-20,OSGB36,515126.9457,431274.5732
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR198,,"""Fruit Market Local Plan Mixed Use Site 7, HU1 1UP""",http://hullcc.limehouse.co.uk/file/4808542,WGS84,-0.334471132,53.73894374,0.28,mixed ownership,yes,Permissioned,full planning permission,2007-12-04,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,35,"""Hull Local Plan 2016 to 2032 - Mixed use Allocation 7 with an indicative capacity of 52 dwellings (some completed 2016/17) including 07/01383/FULL - Erection of five storey building, with attic level, to form 27 apartments + regeneration infill 8 flats.""",,,35,35,,,,2017-12-20,2017-12-20,OSGB36,509952.7356,428238.2338
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR201,,"""Former Lloyds TSB Bank George Street, Upper Floors, 1-7 George Street, HU1 3BB""",http://hullcc.limehouse.co.uk/file/4808549,WGS84,-0.338731291,53.74576387,0.13,not owned by a public authority,yes,Permissioned,other,2017-04-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,10,"""17/00206/PCOU - Change of Use from vacant bank offices on upper floors to 10 (one, two, three bedroom apartments)""",,,10,10,,,,2017-12-20,2017-12-20,OSGB36,509654.0263,428990.361
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR219,,"""Goodfellowship Inn Pub, Cottingham Road, Hull Local Plan Housing Allocation H219 HU5 4BG""",http://hullcc.limehouse.co.uk/file/4808550,WGS84,-0.381553532,53.76895944,0.3,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,8,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 8  dwellings. 11/00553/FULL Erection of 8 dwellings with associated garages and parking.""",,,8,8,,,,2017-12-20,2017-12-20,OSGB36,506771.4428,431505.5941
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR226,,"""173 to 187 Cottingham Road, Hull Local Plan Housing Allocation H226 HU5 2EG""",http://hullcc.limehouse.co.uk/file/4808543,WGS84,-0.367115937,53.76861366,1.01,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,30,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 35 dwellings. Development to include change of use and new build university apartment accomodation.""",,,30,35,,,,2017-12-20,2017-12-20,OSGB36,507723.8507,431488.907
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR231,,"""Land between Bishop Alcock Road and Hotham Road North, Hull Local Plan Housing Allocation H231, HU5 4RJ""",http://hullcc.limehouse.co.uk/file/4808544,WGS84,-0.390546745,53.76731397,0.51,not owned by a public authority,yes,Permissioned,full planning permission,2017-09-06,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,17,"""Hull Local Plan 2016 to 2032  Housing Allocation with an indicative capacity of 25 dwellings.  17/00778/FULL - Erection of 25 Dwellings.""",,,17,25,,,,2017-12-20,2017-12-20,OSGB36,506182.8837,431309.0728
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR232,,"""Land at Bishop Alcock Road, Hull Local Plan Housing Allocation H232, HU5 4RL""",http://hullcc.limehouse.co.uk/file/4808547,WGS84,-0.391563294,53.76690794,0.18,not owned by a public authority,yes,Permissioned,reserved matters approval,2016-09-09,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,11,"""Hull Local Plan 2016 to 2032  Housing Allocation with an indicative capacity of 12 dwellings. 16/00846/RES Erection of 11 dwellings.""",,,11,11,,,,2017-12-20,2017-12-20,OSGB36,506116.9072,431262.3851
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR297,,"""363 Anlaby Road, Kingston Upon Hull, HU3 6AB""",http://hullcc.limehouse.co.uk/file/4808553,WGS84,-0.369170246,53.743323,0.02,not owned by a public authority,yes,Permissioned,full planning permission,2014-12-18,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,6,"""14/01031/FULL - Erection of 3 storey building to provide 6 self contained flats following demolition of existing building.""",,,6,6,,,,2017-12-20,2017-12-20,OSGB36,507653.0511,428672.3195
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR299,,"""Formerly West Park Hotel, 405-411 Anlaby Road, HU3 6AB""",http://hullcc.limehouse.co.uk/file/4808548,WGS84,-0.371393788,53.74347531,0.06,not owned by a public authority,yes,Permissioned,full planning permission,2015-07-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,17,"""15/00588/FULL - Change of use from hotel with restaurant and public house to 17 self contained flats.""",,,17,17,,,,2017-12-20,2017-12-20,OSGB36,507506.0289,428685.899
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR313,,"""Former Baker Street Garage, Hull Local Plan Housing Allocation H313, HU2 8JL""",http://hullcc.limehouse.co.uk/file/4808546,WGS84,-0.340553011,53.74757022,0.15,not owned by a public authority,yes,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,55,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 55 dwellings. 15/01099/FULL-17/01105/CONDET Erection of 55 flats.""",,,55,55,,,,2017-12-20,2017-12-20,OSGB36,509529.2047,429188.5008
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR314,,"""Story Street, Upper Floors, Hull Local Plan Housing Allocation H314, HU1 3SG""",http://hullcc.limehouse.co.uk/file/4808545,WGS84,-0.342344918,53.74618579,0.06,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,8,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 8 dwellings. 13/01252/FULL - Change of use of upper floors eight residential flats.""",,,8,8,,,,2017-12-20,2017-12-20,OSGB36,509414.6415,429031.7312
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR315,," ""10-12 School Street, HU1 3SA""",http://hullcc.limehouse.co.uk/file/4808554,WGS84,-0.341490608,53.74587139,0.02,not owned by a public authority,yes,Permissioned,full planning permission,2017-04-13,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,9,"""15/00344/FULL - Erection of 4 storey building to form 9 apartment units, with car parking on ground floor.""",,,9,9,,,,2017-12-20,2017-12-20,OSGB36,509471.7924,428998.0706
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR318,,"""31-53 Ferensway, Hull Local Plan Housing Allocation H318, HU2 8NG""",http://hullcc.limehouse.co.uk/file/4808551,WGS84,-0.345960047,53.74709418,0.28,mixed ownership,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,80,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 100 dwellings. 13/00212/OUT - Erection of building to provide flats, access via North Street.""",,,80,100,,,,2017-12-20,2017-12-20,OSGB36,509173.9024,429127.229
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR327,,"""Land north of Maybury Road (former Maybury School), Hull Local Plan Housing Allocation H327 , HU9 5UT""",http://hullcc.limehouse.co.uk/file/4808559,WGS84,-0.279682235,53.76488943,1.66,owned by a public authority,yes,Permissioned,full planning permission,2016-07-26,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,55,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 55 dwellings. - 15/01618/FULL Proposed development of 55 open market dwellings.""",,,55,55,,,,2017-12-20,2017-12-20,OSGB36,513496.2901,431210.6401
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR328,,""" Land north and south of Portobello Road, south of Marfleet Lane, west of Bilton Grove, Hull Local Plan Housing Allocation H328, HU9 5UT""",http://hullcc.limehouse.co.uk/file/4808565,WGS84,-0.276775021,53.76239628,4.16,owned by a public authority,yes,Permissioned,full planning permission,2016-07-26,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,142,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 142 dwellings. 15/01618/FULL Proposed development of 142 affordable homes.""",,,142,142,,,,2017-12-20,2017-12-20,OSGB36,513694.6381,430937.9365
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR329,,"""Kedrum Road,  Southcoates Lane, Hull Local Plan Housing Allocation H329, HU9 5UT""",http://hullcc.limehouse.co.uk/file/4808552,WGS84,-0.292017127,53.75492069,5.17,owned by a public authority,yes,Permissioned,full planning permission,2016-09-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,162,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 162 dwellings. 16/00525/FULL - Residential development comprising the erection of 162 dwellings.""",,,162,162,,,,2017-12-20,2017-12-20,OSGB36,512709.9461,430082.0509
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR331,,"""Land to East and West of Marfleet Avenue, Hull Local Plan Housing Allocation H331, HU9 5UT""",http://hullcc.limehouse.co.uk/file/4808557,WGS84,-0.276049355,53.74941983,3.71,mixed ownership,yes,Permissioned,full planning permission,2015-01-30,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,129,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 129 dwellings. 12/01077/FULL Outline application for the erection of 129 dwellings.""",,,129,129,,,,2017-12-20,2017-12-20,OSGB36,513777.5052,429495.5451
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR364,,"""Land between Stanley Street and Derringham Street (Northern Site), Spring Bank, Hull Local Plan Housing Allocation H364, HU3 1JP""",http://hullcc.limehouse.co.uk/file/4808564,WGS84,-0.359100733,53.75091015,0.36,not owned by a public authority,yes,Permissioned,full planning permission,2015-02-20,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,37,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 16 dwellings. 14/01116/FULL Erection of 2 buildings (one 4 storey one up to 7 storeys high) to provide 37 self contained flats""",,,37,37,,,,2017-12-20,2017-12-20,OSGB36,508297.6003,429531.6447
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR367,,"""Land east of Hawthorn Avenue, Hull Local Plan Housing Allocation H367,  HU3 6HE""",http://hullcc.limehouse.co.uk/file/4808560,WGS84,-0.379580282,53.74015067,5.81,mixed ownership,yes,Permissioned,reserved matters approval,2016-05-24,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,264,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 277 dwellings. 15/01344/RES - Erection of 277 dwellings with associated access roads. Under construction 264 remaining.""",,,264,264,,,,2017-12-20,2017-12-20,OSGB36,506974.6016,428303.7019
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR372,,"""Tivoli House (Upper Floors), South Street, Hull, Hull Local Plan Housing Allocation H372, HU1 3QH""",http://hullcc.limehouse.co.uk/file/4808563,WGS84,-0.342918,53.74373523,0.1,not owned by a public authority,yes,Permissioned,other,2015-07-31,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,30,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative remaining capacity of 30  flats/dwellings. 15/00669/PCOU - Change of Use from vacant officesTo 30 flats""",,,30,30,,,,2017-12-20,2017-12-20,OSGB36,509383.2104,428758.2374
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR373,,"""Humber Quays, South of Wellington Street West, Hull Local Plan Housing Allocation H373, HU1 2DN""",http://hullcc.limehouse.co.uk/file/4808555,WGS84,-0.340066453,53.73731882,1.68,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,150,"""Erection of Flats - Local Plan Housing Allocation Indicative capacity 150-200 dwellings.""",,,150,200,,,,2017-12-20,2017-12-20,OSGB36,509587.9326,428048.8344
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR375,,"""Suffolk House, 21 Silver Street, HU1 1JG""",http://hullcc.limehouse.co.uk/file/4808558,WGS84,-0.333765727,53.74300687,0.03,not owned by a public authority,yes,Permissioned,full planning permission,2017-06-09,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,10,"""17/00505/FULL -Proposed change of use of vacant offices to 10 flats to the upper floors.""",,,10,10,,,,2017-12-20,2017-12-20,OSGB36,509988.6584,428691.327
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR376,,"""63-71 High Street, City Centre, Hull Local Plan Housing Allocation H376, HU1 1QE""",http://hullcc.limehouse.co.uk/file/4808556,WGS84,-0.331339773,53.74122841,0.39,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,80,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 80  flats/dwellings. Erection of building 1 and 2 bed flats.""",,,80,100,,,,2017-12-20,2017-12-20,OSGB36,510153.2876,428497.2377
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR377,,"""Oriel House, 49 High Street, HU1 1QJ""",http://hullcc.limehouse.co.uk/file/4808568,WGS84,-0.330879213,53.74225868,0.19,not owned by a public authority,yes,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,33,"""Erection of Flats - Local Plan Housing Allocation Indicative capacity 33 dwellings. Previous application lapsed 13/01054/FULL - 1. Change of use of floors 1 - 5 from offices to 33 no. self contained flats Ground floor to provide 2 no. office units""",,,33,33,,,,2017-12-20,2017-12-20,OSGB36,510180.9685,428612.5632
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR381,,"""52-54 George Street,  HU1 3AJ""",http://hullcc.limehouse.co.uk/file/4808567,WGS84,-0.337251476,53.74577992,0.01,not owned by a public authority,yes,Permissioned,full planning permission,2015-08-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,6," ""15/00053/FULL - Change of use from offices to café/restaurant and 6no. Self contained flats.""",,,6,6,,,,2017-12-20,2017-12-20,OSGB36,509751.5664,428994.43
