OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeForm,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,Easting,Northing
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR11,,"Former Police Training Centre, Yew Tree Lane, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR11,ETRS89,-1.554112,53.968351,3.82,Owned by public authority,Yes,Pending decision,,,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N94FU1HY64000,,163,"Conversion of ""North Lodge"", ""Headmasters House"", ""Kensington House"" and ""Library"" to form 14 dwellings and erection of 149 dwellings.",,,,,,,"Landowner - Home Office, current planning application is for full permission.",04/10/2017,12/12/2017,H36|14/02970,429348.3,452567.06
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR12,,"Land at Station Parade, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR12,ETRS89,-1.537887,53.993597,0.48,Not owned by a public authority,,Not permissioned,,,,,50,Erection of a minimum of 50 dwellings,Erection of retail and office development,,,,,,Proposed to be included as mixed use allocation in Publication Local Plan (publication expected January 2018) ,04/10/2017,04/10/2017,H37,430394.4,455382.79
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR13,,"Grove Park Centre, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR13,ETRS89,-1.529113,54.001331,0.31,Not owned by a public authority,,Not permissioned,,,,,9,Erection of a minimum of 9 dwellings,,,,,,,,04/10/2017,04/10/2017,H4,430963.87,456247.09
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR14,,"Former Yorkshire Water treatment works, Harlow Hill, Otley Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR14,ETRS89,-1.55936,53.981946,0.52,Not owned by a public authority,Yes,Permissioned,Outline permission,07/07/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OR2RJLHYLQV00,,9,"Erection of a of 9 dwellings, associated parking and boundary treatments.",,,,,,,Pending decision on reserved matters application 17/02476,04/10/2017,04/10/2017,15/03087|17/02476,428994.66,454077.51
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR15,,"BT Training Centre, St Georges Walk, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR15,ETRS89,-1.545238,53.976976,3.42,,Yes,Permissioned,Outline permission,13/07/2017,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZ6XKBHY0B000,,88,Demolition of existing buildings and erection of 88 dwellings ,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018),04/10/2017,04/10/2017,H6|15/05478,429924.29,453530.44
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR16,,"Dragon Road car park, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR16,ETRS89,-1.534879,53.997957,0.8,Owned by a public authority,,Not permissioned,,,,,38,Erection of minimum of 38 dwellings,,,,,,,"Landowner - Harrogate Borough Council, proposed to be included as mixed use allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,H63,430588.41,455869.22
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR17,,"Harlow Nurseries, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR17,ETRS89,-1.561871,53.984488,2.32,Owned by a public authority,,Not permissioned,,,,,40,Erection of minimum of 40 dwellings,,,,,,,"Landowner - Harrogate Borough Council, proposed to be included as mixed use allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,H65,428828.21,454359.38
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR18,,"Land South Of Moor Lane, Hunsingore",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR18,ETRS89,-1.352287,53.976448,0.76,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/03/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NQK7XAHYGOL00,,17,Demolition existing buildings and erect 10 dwellings,,,,,,,Only part of site has planning permission for 10 dwellings,04/10/2017,04/10/2017,HG1|15/02881,442579.84,453570.07
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR19,,"Trelleborg Factory, Halfpenny Lane, Knaresborough",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR19,ETRS89,-1.459219,54.013495,0.99,Not owned by a public authority,,Not permissioned,,,,,29,Erection of minimum of 29 dwellings,,,,,,,,04/10/2017,04/10/2017,K14,435534.99,457633.23
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR20,,"Former Cattle Market, Knaresborough",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR20,ETRS89,-1.467029,54.009856,0.32,Not owned by a public authority,Yes,Not permissioned,,,,,12,Erection of minimum of 12 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018),04/10/2017,04/10/2017,K17,435026.28,457224.44
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR21,,"Former Abattoir, Ings Road, Knaresborough",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR21,ETRS89,-1.469292,54.004528,0.2,Not owned by a public authority,,Permissioned,Full planning permission,06/04/2017,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCPU05HYJLY00,,6,Demolition of existing abattoir and the erection of 9 new dwellings,,,,,,,,04/10/2017,04/10/2017,K18|16/03678,434882.4,456630.57
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR22,,"Victoria Cottage and Coal Yard, Thistle Hill, Knaresborough",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR22,ETRS89,-1.464707,53.993017,0.39,Not owned by a public authority,,Not permissioned,,,,,8,Erection of minimum of 8 dwellings,,,,,,,,04/10/2017,04/10/2017,K9,435192.6,455352.06
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR23,,"Former service station, Kirk Deighton",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR23,ETRS89,-1.388375,53.946129,0.39,Not owned by a public authority,,Not permissioned,,,,,11,Erection of minimum of 11 dwellings,,,,,,,,04/10/2017,04/10/2017,KD7,440242.04,450175.67
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR24,,"Kirk Hammerton Business Park, Station Road, Kirk Hammerton",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR24,ETRS89,-1.282651,53.9981,1.08,Not owned by a public authority,Yes,Permissioned,Outline planning permission,28/10/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NR6FVXHYGQV00,,25,Erection of 25 dwellings,,,,,,,,04/10/2017,04/10/2017,KH12|15/03051,447122.69,456023.14
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR25,,"Agricon Engineering Limited, Station Road, Kirk Hammerton",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR25,ETRS89,-1.284255,53.997027,0.68,Not owned by a public authority,Yes,Permissioned,Full planning permission,23/11/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NVLPFOHYHCY00,,18,Demolition of existing buildings and erection of 18 dwellings,,,,,,,,04/10/2017,04/10/2017,15/04469,447018.77,455902.62
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR26,,"Wensleydale Dairy Products Limited, Kirkby Malzeard",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR26,ETRS89,-1.638615,54.165783,0.75,Not owned by a public authority,,Not permissioned,,,,,16,Erection of minimum of 16 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018),04/10/2017,04/10/2017,KM1,423692.75,474502.6
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR27,,"Auction Mart, Masham",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR27,ETRS89,-1.659836,54.224035,1.03,Not owned by a public authority,,Not permissioned,,,,,30,Erection of minimum of 30 dwellings,,,,,,,,04/10/2017,04/10/2017,M14,422276.07,480977.3
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR28,,"Land to the rear of Hill Top, Main Street, Marton",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR28,ETRS89,-1.36272,54.061242,0.25,Not owned by a public authority,,Not permissioned,,,,,7,Erection of minimum of 7 dwellings,,,,,,,,04/10/2017,04/10/2017,MG2,441810.71,462998.17
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR29,,"Springbank Works, Minskip",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR29,ETRS89,-1.405193,54.076756,0.91,Not owned by a public authority,,Not permissioned,,,,,27,Erection of minimum of 27 dwellings,,,,,,,,04/10/2017,04/10/2017,MS1,439016.21,464700.14
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR30,,"Land to west of Cockpit Green, North Stainley",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR30,ETRS89,-1.561507,54.184968,0.46,Not owned by a public authority,Yes,Not permissioned,,,,,13,Erection of minimum of 13 dwellings,,,,,,,Proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018),04/10/2017,04/10/2017,NS3,428713.93,476665.74
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR32,,"The Coal Yard, Pateley Bridge",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR32,ETRS89,-1.762905,54.088387,0.52,Not owned by a public authority,Yes,Not permissioned,,,,,14,Erection of minimum of 14 dwellings,,,,,,,,04/10/2017,04/10/2017,P12,415606.69,465856.8
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR33,,"Former Highways Depot, Pateley Bridge",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR33,ETRS89,-1.763428,54.087913,0.61,Owned by a public authority ,Yes,Not permissioned,,,,,13,Erection of minimum of 13 dwellings,,,,,,,"Landowner - North Yorkshire County Council, proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,P7,415572.63,465803.95
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR34,,"Pannal Business Park, Station Road, Pannal",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR34,ETRS89,-1.533695,53.956926,4.53,Not owned by a public authority,Yes,Permissioned,Outline planning permission,21/10/2014,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N8I7Z5HY64000,,120,"Demolition of existing buildings to be replaced with a mixed use development to include dwellings, park and ride, sports pitches and amenity space with access considered.","Serviced employment plots (use class B1 - 9735m²), retail units (use class A1 - 557m²) and care home (use class C2 - 140 bed.",,,,,,,04/10/2017,04/10/2017,PN15|14/02804,430696.05,451304.49
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR35,,"Land adjacent to 63 Bondgate, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR35,ETRS89,-1.519954,54.131103,0.25,Not owned by a public authority,Yes,Not permissioned,,,,,10,Erection of minimum of 10 dwellings,,,,,,,,04/10/2017,04/10/2017,R1,431466.38,470690.02
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR36,,"Land at Hutton Bank, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR36,ETRS89,-1.51384,54.145156,1.41,Not owned by a public authority,,Not permissioned,,,,,42,Erection of minimum of 42 dwellings,,,,,,,,04/10/2017,04/10/2017,R10,431855.12,472256.42
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR37,,"Former Police Station, Tower Road, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR37,ETRS89,-1.522933,54.14051,0.38,Mixed ownership,,Not permissioned,,,,,11,Erection of minimum of 11 dwellings,,,,,,,,04/10/2017,04/10/2017,R12,431264.61,471735.44
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR38,,"Red House, 41 Palace Road, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR38,ETRS89,-1.528548,54.145744,0.72,Not owned by a public authority,Yes,Permissioned,Full planning permission,17/04/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NBFCI4HY06800,,55,"Conversion and extension of ""Red House"" to form extra close care housing community to include administration centre, communal facilities and 55 residential units (comprising of conversion of Red House and Cottage to form 5 apartments and 1 cottage, conversion of ""Stable Block"" and ""Lodge"" to form 4 apartments and 1 cottage and erection of 44 dwelling units).",,,,,,,,04/10/2017,04/10/2017,R22|14/03634,430893.9,472315.34
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR39,,"Former Ripon Cathedral Choir School, Whitcliffe Lane, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR39,ETRS89,-1.535238,54.12746,0.68,,Yes,Pending decision,,,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NURH0WHY0B100,,117,"Demolition of existing school buildings, conversion of building to form 12 apartments and erection of 105 dwellings (117 dwellings in total).",,,,,,,"Current planning application is for full planning permission, proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,R23|15/04168,430470.27,470277.99
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR40,,"Deverell Barracks, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR40,ETRS89,-1.546674,54.143814,11.88,Owned by a public authority ,Yes,Not permissioned,,,,,196,Erection of minimum of 196 dwellings,,,,,,,"Landowner - Ministry of Defence, proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,R24,429711.26,472092.82
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR41,,"Claro Barracks, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR41,ETRS89,-1.553204,54.145966,32.89,Owned by a public authority,Yes,Not permissioned,,,,,540,Erection of minimum of 540 dwellings,Development of employment floorspace,,,,,,"Landowner - Ministry of Defence, proposed to be included as mixed use allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,R25,429283.23,472329.51
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR42,,"Auction Mart, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR42,ETRS89,-1.518104,54.141335,2.63,,,Not permissioned,,,,,32,Erection of minimum of 32 dwellings,,,,,,,,04/10/2017,04/10/2017,R26,431579.49,471829.29
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR43,,"Laver Banks, Clotherholme Road, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR43,ETRS89,-1.552906,54.141329,2.81,Owned by a public authority ,,Not permissioned,,,,,63,Erection of minimum of 63 dwellings,,,,,,,"Landowner - Ministry of Defence, proposed to be included as housing allocation in Publication Local Plan (publication expected January 2018).",04/10/2017,04/10/2017,R27,429305.94,471813.73
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR44,,"Ash Grove Industrial Estate, Ash Grove, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR44,ETRS89,-1.540539,54.140666,1.5,Not owned by a public authority,Yes,Permissioned,Full planning permission,30/11/2017,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OILK07HYKH700,,36,Erection of 36 dwellings,Erection of 8 industrial units (B1c - 962.5m²),,,,,,,04/10/2017,12/12/2017,R29|16/05603,430114.32,471745.1
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR45,,"Victoria Grove car park, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR45,ETRS89,-1.521529,54.137207,0.23,Owned by a public authority - HBC,,Not permissioned,,,,,7,Erection of minimum of 7 dwellings,,,,,,,Landowner - Harrogate Borough Council,04/10/2017,04/10/2017,R30,431358.87,471368.54
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR46,,"New York Mill, Summerbridge",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR46,ETRS89,-1.702629,54.061197,0.61,Not owned by a public authority,,Not permissioned,,,,,18,Erection of minimum of 18 dwellings,,,,,,,,04/10/2017,04/10/2017,SB6,419562.15,462846.33
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR47,,"Tockwith airfield, Tockwith",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR47,ETRS89,-1.30441,53.963553,47.79,Not owned by a public authority,,Not permissioned,,,,,446,Erection of minimum of 446 dwellings,,,,,,,,04/10/2017,04/10/2017,TW8,445734.01,452165.11
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR48,,"Newlay Concrete, Wath",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR48,ETRS89,-1.506946,54.186842,0.95,Not owned by a public authority,,Not permissioned,,,,,28,Erection of minimum of 28 dwellings,,,,,,,,04/10/2017,04/10/2017,WR1,432273.13,476897.68
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR49,,"Spa Lawn Tennis Club, Kent Drive, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR49,ETRS89,-1.549313,53.999951,0.5,Not owned by a public authority,Yes,Permissioned,Full planning permission,15/04/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M4L6J5HY64000,,13,Erection of 13 dwellings,,,,,,,,04/10/2017,04/10/2017,12/02099,429640.78,456084.98
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR50,,"25-27 West Park and land to rear, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR50,ETRS89,-1.539015,53.988124,0.43,Not owned by a public authority,Yes,Permissioned,Full planning permission,19/11/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NB0YJJHY64000,,23,"Demolition of existing office and retail buildings, erection of 23 residential units with associated car parking.",Alterations to existing ground floor of 25 West Park to form 2 A1 retail units (122m²),,,,,,,04/10/2017,04/10/2017,14/03510,430324.4,454773.38
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR51,,"Site of Highways Depot, Station View, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR51,ETRS89,-1.50415,54.001201,0.61,Owned by a public authority,Yes,Permissioned,Full planning permission,12/12/2014,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N3D17FHY64000,,18,"Erection of residential care housing comprising of 55 units, with associated catering space, offices and car parking",,,,,,,Landowner - North Yorkshire County Council,04/10/2017,04/10/2017,14/01253,432600.32,456243.85
