OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P17/S0709/FUL
(SHELAA 867)",,"The Walled Garden, Badgemore Park Golf Club, Badgemore, RG9 4NR",,,474686,183181,0.50,not owned by a public authority,yes,permissioned,full planning permission,05 May 2017,P17/S3853/FUL - Removal of existing buildings and erection of five dwelling houses  within existing walled garden (alternative to scheme approved under permission P17/S0709/FUL) - approved December 2017.,,5,Removal of existing buildings and erection of 5 dwelling houses,,,,,,,,22 December 2017,,0.50
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S1355/FUL,,"Innovex House, 309 Reading Road, HENLEY-ON-THAMES, RG9 1EL",,,476705,181580,0.17,not owned by a public authority,yes,permissioned,full planning permission,21 July 2017,P16/S3796/PDO - Change of use from Use Class B1a offices to 23 flats - agreed January 2017,,30,Erection of 2nd floor roof extension to provide 7 flats,,,,,,,The minimum number of net dwellings is 30 as it is based on both a prior approval and a permission. The prior approval relates to the change of use of the building to 23 apartments (P16/S3796/PDO) and the permission relates to the conversion of the roof into six flats (P17/S1355/FUL). Both of these schemes can be built out on the site.,22 December 2017,,0.17
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S2178/PDO,,"Girdler House, Quebec Road, Henley on Thames, RG9 1EY",,,476438,181922,0.05,not owned by a public authority,yes,permissioned,other,10 August 2017,P17/S3600/FUL - Internal and external alterations to office premises to form five 2-bedroom apartments - pending condsideration.,,5,Change of use of existing building - Class B1(a) (offices) - to create 5 dwellings - Class C3 (dwellinghouses),,,,,,,,22 December 2017,,0.05
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S2446/FUL,,"291 Reading Road, HENLEY-ON-THAMES, RG9 1EL",,,476662,181665,0.10,not owned by a public authority,yes,permissioned,full planning permission,06 September 2017,,,5,"Partial demolition of the existing building and its conversion to two dwellings, erection of a garage block with a flat above and the erection of a pair of semi-detached dwellings ",,,,,,,,22 December 2017,,0.10
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1034,,"Oxford Brookes University Campus, Wheatley",,,460200,206017,21.47,not owned by a public authority,yes,not permissioned,,,,,300,,,,,,,,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA (Autumn 2017),22 December 2017,,7.69
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1050,,"Vanalloys Business Park, Stoke Row (3)",,,468159,183937,0.99,not owned by a public authority,yes,not permissioned,,,,,25,,,,,,,,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,22 December 2017,,0.99
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1085,,"Land to the rear of Thames Court, Goring",,,459973,180837,0.33,not owned by a public authority,yes,not permissioned,,,,,8,,,,,,,,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,22 December 2017,,0.33
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 1195,,"Land to the north of Fane Drive, Berinsfield (3)",,,457420,196735,0.48,not owned by a public authority,yes,not permissioned,,,,,12,,,,,,,,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA,22 December 2017,,0.46
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 148,,"Land north of B4526, Cray's Pond",,,464692,180119,0.27,not owned by a public authority,yes,not permissioned,,,,,7,,,,,,,,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA,22 December 2017,,0.19
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S2159/O (SHELAA: 185),,Didcot Gateway,,,452553,190420,4.34,mixed ownership,yes,pending decision,outline planning permission,Resolution to grant permission at committee: 10 February 2016,"P12/S1543/FUL - Demolition of existing 2 storey residential / shop building and construction of new 3 storey residential / shop building consisting of 2 shop/ service units and 7 one-bedroom apartments - pending consideration.  P12/S1551/FUL - Erection of 10 x 1 bed apartments and 5 x A1/A2 units with car - withdrawn prior to determination November 2016. P14/S0024/O - Demolition of existing buildings. Outline application for erection of mixed use development comprising residential flats, commercial units (B1 use) and new public open space - pending consideration. P15/S0348/SCO - Scoping Opinion for Didcot Station Gateway issued March 2015.        P15/S2159/O - Outline planning application for demolition of existing buildings and a mixed use development comprised of up to 300 residential units (use class C3), a 70-bed hotel (use class C1), up to 800sqm gym (use class D2), up to 2,400sqm retail uses (A1, A2, A3, A4, A5), up to 1,800 sqm commercial office floorspace (use class B1), a replacement nursery school (use class D1) and a decked car park of up to three levels and supporting infrastructure. All matters are reserved except for new means of vehicular access to the site - pending consideration.",,300,"Outline planning application for demolition of existing buildings and a mixed use development comprised of up to 300 residential units (use class C3), a 70-bed hotel (use class C1), up to 800sqm gym (use class D2), up to 2,400sqm retail uses (A1, A2, A3, A4, A5), up to 1,800 sqm commercial office floorspace (use class B1), a replacement nursery school (use class D1) and a decked car park of up to three levels and supporting infrastructure. ",,,,,,,Minimum net dwellings is based on the planning application (P15/S2159/O ) as it has a resolution to grant permission.,22 December 2017,,4.34
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S3525/FUL (SHELAA: 202),,"Thames Valley Police Station, Thame",,,470664,206131,0.32,not owned by a public authority,yes,pending decision,full planning permission,Appeal lodged December 2017,P14/S0880/FUL - Demolition of existing police station and redevelopment to form 45 sheltered apartments for the elderly  - appeal dismissed January 2016.,,8,Redevelopment to form 41 sheltered apartments for the elderly,,,,,,,Minimum net dwellings is based on the capacity calculated in the SHELAA rather than the planning application as there is an appeal pending on the application.,22 December 2017,,0.32
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 274,,"Vauxhall Barracks, Didcot",,,451752,190695,8.25,not owned by a public authority,yes,not permissioned,,,,,300,,,,,,,,Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,8.25
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S3387/FUL (SHELAA: 302),,"CABI, Mongewell",,,461193,188265,7.33,not owned by a public authority,yes,permissioned,full planning permission,31 August 2017,"P12/S0436 - Re-development of CABI Wallingford site. Demolition of existing offices and creation of new offices for use by CABI. Creation of care village (new office building (up to 3,108 sq m) (B1 Use Class), A dedicated 'extra care' retirement development up to 17,165 sq m comprising up to 49 extra care units and care home comprising up to 64 bed spaces (C2 Use Class), Up to 56 retirement units (C3 Use Class), Up to 24 key worker flats (C3 Use Class), a community/ leisure use building up to 375 sq m (D1/D2 Use Class), and open space, footpaths and landscaping) - approved January 2014.    P16/S3800/O - Re-development of CABI Wallingford Site - withdrawn prior to determination December 2017.",,91,"Demolition of existing buildings and creation of a new headquarters for CABI, erection of 91 dwellinghouses, comprising open market and affordable housing, provision of open space, landscaping and parking and other associated works. The residential part of the proposal is made in full while the CABI headquarters part is made in outline form with all matters reserved for future consideration except access.",,,,,,,Partially Brownfield site. Forms part of a larger site overall.,22 December 2017,,1.62
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S2624/PDO (SHELAA: 308),,"DAF, Thame",,,471943,205199,4.30,not owned by a public authority,yes,permissioned,other,08 September 2017,P17/S4127/PDO - Change of use from offices (Class B1) to residential (Class C3) to comprise 45 flats - pending consideration.,,97,Change of use from offices (Class B1) to residential (Class C3) to comprise 45 flats -,,,,,,,Large majority of site is Brownfield. The minimum number of net dwellings is based on the capacity calculated on the SHELAA (97) rather than the prior approval (45). This is because the prior approval only relates to the conversion of the building and not the overall site where there is potential for a higher capacity.,22 December 2017,,3.76
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P10/W0093 (SHELAA: 335),,"Dovehouse Farm, Cuddesdon (1)",,,460176,203077,1.68,not owned by a public authority,yes,permissioned,full planning permission,06 June 2014,"P16/S3997/FUL - Variation of conditions of P10/W0093 to allow construction of the site access before agreement of pre commencement conditions. Conversion of traditional buildings into office accommodation and three residential conversions, and five new build residential units - approved February 2017. P17/S2644/LDE - to confirm that the P16/S3997/FUL planning permission has been lawfully commenced at Dovehouse Farm - Certificate of Lawful Use or Development issued September 2017.",,8,"Conversion of traditional buildings into office accommodation and three residential conversions, and five new build residential units",,,,,,,Large majority of site is Brownfield,22 December 2017,,1.17
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S3848/FUL (SHELAA: 347),,"Goodsons Industrial Mews, Thame",,,471004,205743,1.01,not owned by a public authority,yes,permissioned,full planning permission,22 December 2016,,,29,"Redevelopment of Goodsons Industrial Mews retaining existing commercial units 1A, 1, 2, 3, 4 and 9 in employment use. Alteration of unit 1-4 to provide 4 no apartments at first floor. Demolition of units 5, 6, 7, 8 and erection of 8 houses, 2 maisonettes and 15 flats (29 residential units in total)",,,,,,`,,22 December 2017,,1.01
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 360,,"Stuart Turner, Greys Road, Henley-on-Thames",,,475961,182464,0.75,not owned by a public authority,yes,not permissioned,,,,,42,,,,,,,,Mininum number of net dwellings is based on the capacity calculated in the SHELAA,22 December 2017,,0.75
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S3385/FUL (SHELAA: 390),,"The Workshop, Newtown Road, Henley-on-Thames",,,476845,181640,0.46,not owned by a public authority,yes,permissioned,full planning permission,20 December 2016,,,64,Demolition of existing building and  erection of an 80 bed care home (C2 use),,,,,,,Large majority of site is Brownfield. Minimum net dwellings for a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*80=64),22 December 2017,,0.35
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S1514/FUL (SHELAA: 395),,"13-16 St Martins Street, Wallingford",,,460640,189262,0.32,not owned by a public authority,yes,permissioned,full planning permission,21 October 2016,"P12/S2200/FUL - Refurbishment and part change of use of former Waitrose unit to provide a mixed-use development (Class A1, A3 and C3) including 7no. residential units at first floor - approved November 2012. P16/S3952/FUL - Redevelopment of Former Waitrose to create 22 retirement apartments, which provides for continued independent living and two ground floor retail units - withdrawn prior to determination December 2016.",,22,Redevelopment of the Former Waitrose to create 22 retirement apartments and two ground floor retail units,,,,,,,,22 December 2017,,0.32
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S2593/FUL (SHELAA: 398),,"Sydney Harrison, House Mill Road, Lower Shiplake",,,477654,179518,0.43,not owned by a public authority,yes,permissioned,full planning permission,28 February 2017,,,16,"Removal of existing buildings and the redevelopment of the site to provide 4x1 bedroom flats, 8x2 bedroom flats, together with 4x5 bedroom houses",,,,,,,,22 December 2017,,0.43
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S2932/FUL (SHELAA: 399),,South Oxford Business Centre Lower Road Garsington,,,458387,200640,0.64,not owned by a public authority,yes,permissioned,full planning permission,10 November 2016,,,10,"Conversion, external and internal alterations of former indoor riding school to create 8 x two bedroom first floor flats and 2 x one bedroom ground floor flats.",,,,,,,,22 December 2017,,0.64
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S0322/O (SHELAA: 402),,"Hughendon Motors, London Road, Milton Common ",,,465448,203264,0.27,not owned by a public authority,yes,permissioned,outline planning permission,23 March 2017,,,5,Demolition of the existing buildings and the erection of five detached two-storey dwellings,,,,,,,,22 December 2017,,0.27
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 822,,"The Downs, Wheatley Road, Garsington",,,458427,203326,1.27,not owned by a public authority,yes,not permissioned,,,,,29,,,,,,,,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,1.14
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 824 (P16/S0375/FUL),,"Land at Woodcote Garden Centre, Woodcote",,,464881,182142,0.39,not owned by a public authority,yes,permissioned,full planning permission,29 June 2017,,,9,Demolition of existing garden centre structures and erection of 9 new dwellings,,,,,,,Large majority of site is Brownfield.,22 December 2017,,0.21
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 853 (P17/S0024/RM),,"Land at Highlands Farm, Henley-on-Thames",,,474192,181318,33.57,not owned by a public authority,yes,permissioned,reserved matters approval,24 May 2017,P17/S4409/O - Outline planning application with all matters reserved for the construction of up-to 5 detached dwellings - pending consideration.,,536,"Reserved matters approval for the phased development of the demolition of existing buildings and construction of up to 170 dwellings along with up to 2,000 m2 B1 employment space and associated infrastructure. ",,,,,,,Partially Brownfield site. Forms part of a larger site overall. The  minimum number of net dwellings is based on the capacity calulated in the SHELAA (536). This is because the planning permission of 170 dwellings only relates to part of the site and not the overall site where there is potential for a higher capacity.,22 December 2017,,5.91
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 869,,"Foxcovert Farm, Woodcote",,,463992,181208,0.70,not owned by a public authority,yes,not permissioned,,,,,17,,,,,,,,Large majority of site is Brownfield. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,0.51
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 870,,"Land at Wimblestraw Road, Berinsfield",,,457078,196072,1.08,not owned by a public authority,yes,pending decision,outline planning permission,,P16/S3462/O - Proposed redevelopment of existing buildings to provide new residential development comprising 39 houses/flats,,24,,,,,,,,Minimum net dwellings is based on the capacity calculated in the SHELAA rather than the planning application which is still pending a decision.,22 December 2017,,1.08
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P11/W2357 (SHELAA: 940),,"Mongewell Park (Carmel College), Mongewell",,,460948,187590,30.92,not owned by a public authority,yes,permissioned,full planning permission,21 March 2016,,,166,"Redevelopment to provide 166 residential dwellings (C3), refurbishment of Grade II and Grade II* listed buildings.",,,,,,,Partially Brownfield site. Forms part of a larger site overall.,22 December 2017,,4.21
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 949,,"Henley College, Henley-on-Thames",,,475297,182392,11.33,not owned by a public authority,yes,not permissioned,,,,,184,,,,,,,,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,3.32
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 979,,"Lord William's Lower School, Thame",,,471763,205572,7.93,not owned by a public authority,yes,not permissioned,,,,,5,,,,,,,,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,2.48
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 991,,"Chiltern's End, Henley-on-Thames",,,475139,181810,0.96,not owned by a public authority,yes,not permissioned,,,,,27,,,,,,,,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,0.53
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,SHELAA: 999,,"Land east of Goring Road, Woodcote",,,464158,181330,3.97,not owned by a public authority,yes,not permissioned,,,,,89,,,,,,,,Partially Brownfield site. Forms part of a larger site overall. Mininum number of net dwellings is based on the capacity calculated in the SHELAA.,22 December 2017,,0.46
