OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4013/14,,"""Marsh Road, 221, formerly The George PH, Pinner""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.382489,51.593064,512147.00,189486.00,0.15,Not in public ownership,Yes,permissioned,full planning permission,2015-06-08,,,25,"Redevelopment: To provide part  four, part six storey building comprising 25 flats; flexible commercial use (Classes A1/A2/A3/A4) on ground floor; parking, bin/cycle storage,  landscaping and rear communal amenity space; solar panels on rooftop",Classes A1 to A5 209 sq mtrs,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4168/14,,"""Leeway Close, Hatch End""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.376179,51.607737,512540.00,191124.00,0.02,Not in public ownership,Yes,permissioned,full planning permission,2015-02-16,,,5,"Redevelopment:  Construction of a building containing three flats fronting Woodridings Close; construction of two storey rear block to contain two flats with box dormer windows and rooflights; communal garden, boundary fencing and bin/cycle storage and external alterations.",,,,,,,"""Original permission for 5 units, but 2 units now superseded by P/5628/18 (still 2 units)""",,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3489/16,,"""Station Road, 322, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333361,51.580922,515571.00,188212.00,0.03,Not in public ownership,Yes,permissioned,full planning permission,2016-10-21,,,5,"Redevelopment to provide four storey building comprising 6 flats; flexible commercial use (A1, A2 & A3) on ground floor; bin/cycle storage",Classes A1 to A3 144 sq mtrs,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4150/15,,"""Pinner Road, Quality Hotel, 12 - 22, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.342908,51.581224,514925.00,188225.00,0.33,Not in public ownership,Yes,permissioned,full planning permission,2016-11-29,,,64,"Redevelopment to provide two blocks ranging between 3, 4 and 5 storeys in height to create 64 flats with access and disabled parking; amenity space and landscaping; bin and cycle storage; new private access to Harrow Recreation Ground for residents",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3118/11,,"""Lyon Road, Equitable House & Lyon House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.33167,51.580623,515661.00,188206.00,0.95,Not in public ownership,Yes,permissioned,full planning permission,2012-10-31,,,310,"Demolition of Equitable House and Lyon House and erection of seven new buildings of various heights - single storey (lodge), six storeys (Blocks A and B), eight storeys (Blocks F and H), ten storeys (Blocks C and D/E)  and 14 storeys (Block G) - for a mixed use development, to provide 238 private and 49 affordable residential flats, 3,050.8 square metres of commercial floorspace split into 1,503 square metres of office space (Class B1a) and 1,547.8 square metres mixed (Classes D1 and mix of A1, A2, and A3), three vehicular accesses from Lyon Road and St John's Road, 123 car parking spaces, landscaping and public realm improvements to Lyon Road and St John's Road","Classes A1 to A3 1205 sq mtrs, Class B1a 1430 sq mtrs, Class D1 401 sq mtrs.",,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5250/16,,"""Marsh Road, Greenhill Service Station, Pinner""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.381134,51.591186,512240.00,189289.00,0.16,Not in public ownership,Yes,permissioned,full planning permission,2017-08-23,,,30,Redevelopment: Construction of four/five storey building to provide 30 bedroom sheltered retirement flats with parking bin/buggy storage and landscaping (demolition of existing petrol station),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4071/14,,"""Common Road, The Princess Alexandra Care Home, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.340634,51.624181,514955.00,193042.00,6.74,Not in public ownership,Yes,permissioned,full planning permission,2015-08-28,,,64,"Demolition of the existing 72 bed care home and redevelopment to provide a part three/part four storey building consisting of a 64 bed care home, 16 independent living suites and 48 independent living flats together with communal facilities (to include a synagogue, day centre, restaurant, activity rooms, gym, shops and guest facilities); provision of new outbuildings along the northern boundary including a substation and generator; provision of vehicular and cycle parking together with internal access arrangement works; provision of refuse storage and associated landscape and tree works within the site.",Class C2 12825 sq mtrs,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2437/16,,"""Bessborough Road, 71A, Carspecs House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.342474,51.576779,514956.00,187738.00,0.13,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-06-30,,,29,Conversion of offices (Class B1a) to 29 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4225/15,,"""Hindes Road, 11-17, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.334425,51.585391,515473.00,188686.00,0.22,Not in public ownership,Yes,permissioned,full planning permission,2016-06-03,,,29,"Redevelopment to provide a three and four storey building for 29 retirement living (Category II sheltered housing) apartments for the elderly; parking; private and communal amenity space, landscaping; bin storage",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4885/15,,"""St Johns Road, Kempsford House Hotel, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.330413,51.580643,515775.00,188183.00,0.13,Not in public ownership,Yes,permissioned,full planning permission,2016-06-23,,,27,"Redevelopment to provide a five storey building for twenty-seven flats with parking, private and communal amenity space, solar panels on roof, landscaping and bin/cycle storage",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2212/15,,"""Headstone Road, 8, Kelly House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.340678,51.580449,515076.00,188146.00,0.02,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-07-08,,,19,Conversion of offices (Class B1a) to 19 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0312/16,,"""College Road, 88-98, 4th floor, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.33883,51.580337,515199.00,188128.00,0.10,Not in public ownership,Yes,permissioned,full planning permission,2016-06-24,,,8,Addition of fourth floor to provide eight flats; external alterations to existing building,,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0291/16,,"""Gayton Road, Sonia Court, Gayton Road Car Park & Former Library Site, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.331716,51.579253,515670.00,188034.00,1.29,Not in public ownership,Yes,permissioned,full planning permission,2016-07-06,,,346,"Redevelopment comprising the demolition of the existing buildings on site and the erection of 355 flats between five buildings in configurations of 5, 6, 8, 9 and 11 storeys with 477sq. metres commercial and community use spaces at ground floor (Flexible uses comprising classes A2, A3, B1 and D1 Use Classes); Basement and surface servicing and parking (total spaces 171); principal vehicle access from Gayton Road to the east of the site with secondary site access, emergency access and minor access to the west of the main site access; new public open space, landscaping and associated works","Classes A1 & A2 238 sq mts, Class B1a 119 sq mtrs, Class D1 119 sq mtrs",,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0640/16,,"""Alexandra Avenue, 219, Former Matrix PH,  Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.366245,51.564122,513334.00,186293.00,0.28,Not in public ownership,Yes,permissioned,full planning permission,2016-08-25,,,60,"Redevelopment to provide a part two, three and four storey building for 60 flats and one dwelling house; basement parking; cycle and bin store; hard and soft landscaping",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4480/15,,"""College Road, 88 - 98, 1st to 3rd floors, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.338837,51.58036,515199.00,188128.00,0.09,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-10-29,,,29,"Conversion of offices at first, second and third floors (Class B1a) to 29 self-contained flats (Class C3) (PRIOR APPROVAL)",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4482/15,,"""St Johns Road, 13, 2nd & 3rd floors, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.331015,51.581163,515734.00,188240.00,0.08,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-10-29,,,8,Conversion of offices at second and third floor (Class B1a) to 8 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4481/15,,"""St Johns Road, 13, Ground & 1st floor, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.331019,51.581161,515734.00,188240.00,0.08,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-10-29,,,8,Conversion of ground and first floor offices (Class B1a) to 8 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5343/15,,"""Elmgrove Road, Research Services House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.329669,51.585664,515804.00,188728.00,0.18,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-12-18,,,73,Conversion of offices (Class B1A) to 73 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3820/15,,"""Northwick Park Road, 2-12, Comfort Hotel, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.326431,51.581114,516054.00,188231.00,0.39,Not in public ownership,Yes,permissioned,full planning permission,2015-12-18,,,49,"Redevelopment to provide a three storey building for a 48 unit assisted living care home (Use Class C2) with parking, landscaping and bin storage",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0737/15,,"""College Road, 51, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.335517,51.579462,515409.00,188068.00,0.64,Not in public ownership,Yes,permissioned,full planning permission,2016-01-05,,,318,"Redevelopment of the former Harrow Post Office to provide 318 flats (Class C3), 862 sq. metres floorspace for retail (Class A1), financial & professional services (Class A2), restaurants and cafes (Class A3), pubs and bars (Class A4), hot food take-aways (Class A5), business (Class B1) and non residential institutions (Class D1) uses and 1,672 sq. metres floorspace for library (Class D1) use in buildings of up to 20 storeys (134.5 Metres AOD) in height; 2,413 Sq. metres public realm including new public square; basement and surface servicing and parking (total 50 car spaces, 3 motorcycle spaces and 521 cycle spaces); principal vehicular access from William Carey Way and secondary vehicular access from College Road. proposal also includes combined heat & power plant; hard and soft landscaping, balconies and roof gardens; and demolition of former post office buildings. (RESIDENT PERMIT RESTRICTED)","Classes A1 to A5 & B1a 690 sq mtrs in total, Class D1 1711 sq mtrs (library)",,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2982/15,,"""Harrow View, Kodak West, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.350856,51.595995,514315.00,189863.00,8.22,Not in public ownership,Yes,permissioned,reserved matters approval,2015-10-26,,,314,"Comprehensive, phased, mixed use development. Reserved matters following O/L P/3401/11 dated 21/12/12. 314 units and Public Open Space.",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2336/11,,"""Pinner View, St. George's Field, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.351718,51.588402,514341.00,188998.00,1.40,Not in public ownership,Yes,permissioned,full planning permission,2015-09-04,,,27,"Outline permission for access and layout: Redevelopment to provide 7 x 1 bed flats, 8 x 2 bed flats, 4 x 3 bed houses and 8 x four bed houses; provision of approximately 0.69 hectares of open space; improved access, parking for users of St George's Church Hall and a detached double garage for use by the vicarage",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2652/12,,"""Kenton Lane, 395, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.317279,51.600557,516633.00,190424.00,0.09,Not in public ownership,Yes,permissioned,full planning permission,2012-11-29,,,8,Redevelopment to provide 8 flats and 370 sqm of retail floor space (a1) in a four storey building with alterations to an existing cross over and the formation of a new cross over; demolition of existing building (MOT service centre),Class A1 329 sq mtrs,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1778/12,,"""Rayners Lane Estate, Big G, Phases 1&2""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.363573,51.570202,513501.00,187006.00,1.05,Not in public ownership,Yes,permissioned,full planning permission,2012-10-01,,,20,"Redevelopment to provide 82 new dwellings comprising of a mix of flats within 2,3 and 4 storey buildings, car park and open space. (Phases 1&2, Blocks 1,2 and 3 of Phase G)",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0905/13,,"""West End Lane, 69, Pinner""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.387597,51.592203,511778.00,189374.00,0.08,Not in public ownership,Yes,permissioned,full planning permission,2014-01-14,,,9,"Demolition of nursery school building; redevelopment to provide a part 3/4 storey building(including  accommodation in roofspace) comprising 9 flats; landscaping, refuse & provision of 9 parking spaces; new vehicle access",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3075/12,,"""Kenton Lane, 323, Kenton Lane Farm, (Braziers Farm), Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.314731,51.598485,516814.00,190176.00,1.43,Not in public ownership,Yes,permissioned,full planning permission,2013-09-30,,,29,"Demolition of existing modern warehouse and non-listed former dairy storage building, extensions incorporating refridgeration units, canopy & cages, telecoms mast and associated plant/structures; alterations to Grade II Listed farmhouse to provide two self-contained residential units; conversion and alterations to Grade II Listed former dairy courtyard outbuildings to create three self-contained residential units and ancilliary commercial/workshop space; and construction of 27 two storey with habitable roofspace residential dwellings, retention of two vehicular accesses; associated car and cycle parking, refuse storage facilities, landscaping and creation of new public open space.",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1208/12,,"""Rayners Lane Estate, Phases 3&4, Big G, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.36263,51.570302,513565.00,186976.00,0.75,Not in public ownership,Yes,permissioned,outline planning permission,2014-10-21,,,30,"Outline application for access, layout and scale as part of Rayners Lane Estate regen: Redevt to provide 152 dwellings comprising a mix of houses and flats; car parking & communal open space; demolition of existing buildings",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2103/14,,"""Brookshill, Hillside, Harrow Weald""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.342367,51.616699,514847.00,192170.00,0.39,Not in public ownership,Yes,permissioned,full planning permission,2014-10-31,,,7,"Redevelopment of the site: Three storey building with lower ground floor for seven self-contained flats (five x three-bed, two x two-bed) (demolition of Locally Listed Hillside Mansion remains); refurbishment and continued use of Locally Listed Gardener's Cottage as a single dwellinghouse; refurbishment and use of Grade II Listed Coach House and stables as a single dwellinghouse; associated hard and soft landscaping, bin and cycle storage, car parking.",,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4011/14,,"""St Anns Road, 11 - 15, 2nd & 3rd floors, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.334582,51.581208,515489.00,188239.00,0.02,Not in public ownership,Yes,permissioned,full planning permission,2014-12-23,,,8,Conversion of 2nd and 3rd floors from education (D1) to form four flats (C3); addition of two additional storeys to building to form four flats (8 flats in total); external alterations to building including entrance canopy; refuse and cycle storage,,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2427/13,,"""Station Road, 328-332, Upper floors, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333801,51.580586,515549.00,188177.00,0.03,Not in public ownership,Yes,permissioned,full planning permission,2014-06-20,,,7,Redevelopment of upper floors to provide three storeys (in addition to the ground floor) containing 9 residential flats (4 storeys overall); refuse and cycle storage at rear on ground floor (demolition of first and second floors),,,,,,,,,,,,,Harrow,LDD,STARTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1679/14,,"""Stanmore Hill, 89, Secret Pantry, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.316492,51.620739,516648.00,192672.00,0.03,Not in public ownership,Yes,permissioned,full planning permission,2014-12-30,,,,"Redevelopment: Part single storey and two  storey building with habitable roof space to provide two retail units (Class A1) and 2 x studio flats at ground floor level, and 4 x one bedroom flats on upper floors (Class C3); bin and cycle storage; demolition of existing building.",Class A1 109 sq mtrs,,,,,,,,,,,,Harrow,LDD,STARTED
