OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000253,East Herts Council,BR/11,,"26 Ware Road, Hertford, SG13 7HH",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"533,184.20","212,767.20",0.07ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,10/12/2014,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,10,Demolition of existing buildings and the erection of a ground floor retail unit 5no. 2-bedroom and 5 no. 1-bedroom residential units with underground parking.,Ground Floor Retail Unit,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000254,East Herts Council,BR/12,,"17 - 19 Castle Street, Hertford, Sg14 1ER",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"532,623.60","212,460.90",0.03ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,22/04/2016,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,8,Change of use and alterations of restaurant/bar/wedding venue/ (sui generis) to Class C3 (dwellinghouses) consisting of 3no. two bedroom and 5no. one bedroom flats incorporating first floor side extension.,,,,,,,Only part of the whole site is brownfield.,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000255,East Herts Council,BR/13,,"24, 26,28 Maidenhead Street and 4, 6, 8 The Wash, Hertford, SG14 1DR",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"532,561.30","212,615.60",0.02ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,19/12/2014,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7,"Conversion of existing upper floor offices on first, second and third floors above ground floor level shops to provide 7no. residential self-contained flats.","Ground floor: Continued 2 A1 uses, 1 A2 use, 1 A5 use.",,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000256,East Herts Council,BR/14,,"8 - 12 Railway Street, Hertford, SG14 1BG",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"532,708.60","212,650.40",0.02ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,01/06/2015,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7,The alteration and extension of retail units and the conversion and extension of the upper floors to form 7no. apartments.,Ground floor: Continued 2 A1 uses and 1 A3 use.,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000257,East Herts Council,BR/15,,"8 – 12 Bull Plain, Hertford, SG14 1DT",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"532,656.10","212,672.80",0.02ha,Not owned by a public authority,Yes,Permissioned,Other,10/09/2014,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,6,Change of use of first and second floors from B1(a) offices to 6 class C3 residential apartments (4no. 1 bed and 2no. 2 bed).,Ground Floor: Continued 1 Sui-Generis use and 1 B1 Use,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000258,East Herts Council,BR/16,,"Suite 2, Plymouth House, The Square, Sawbridgeworth, CM21 9AE",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"548,347.60","214,804.80",0.01ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,12/01/2015,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5,Extension to roof to enable conversion of office building to 4no. one bed and 1no. two bed apartments. Alterations to fenestration and insertion of 3no. rooflights in rear roof.,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000259,East Herts Council,BR/17,,"Land at Crane Mead, Crane Mead, Ware, SG12 9PY",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"536,195.30","213,962.60",0.84ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,14/11/2014,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,101,"Demolition of the existing building and erection of a mixed use development comprising 101 residential (C3) apartments and employment (B1) space, along with associated highway and landscape works.","2,111 square metres of B1 Employment Floorspace.",,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000260,East Herts Council,BR/18,,"Former Sun and Harrow Public House, Fanhams Road, Ware, SG12 7DB",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"536,435.90","214,796.80",0.11ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,24/11/2016,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,8,Development of eight dwellings with associated parking and landscaping.,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000261,East Herts Council,BR/19,,"2b Star Street, Ware, SG12 7AA",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"536,045.10","214,182.50",0.05ha,Owned by a public authority,Yes,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5,Mixed-use Development,Retail provision,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000250,East Herts Council,BR/20,,"Steelcraft Works, Hare Street, Buntingford, SG9 0DX",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"539,106.00","230,363.10",0.54ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,20/12/2016,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,5,Demolition of existing buildings and removal of hard standing. Erection of five detached dwellings with parking and landscaping.,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000262,East Herts Council,BR/21,,"Builders Yard, High Wych Lane, High Wych, Sawbridgeworth, CM21 0JS",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"546,406.80","214,218.20",0.22ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,25/02/2015,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,3,"Demolition of existing industrial units; Erection of 3no. 5 bedroom detached dwellings, 2 No. single storey (B1) office buildings, creation of associated parking areas and ancillary works.  (Resubmission of application 3/14/0553/FP)",Office Floorspace,,,,,,The site is only part brownfield. The site area of the whole site is over 0.25ha.,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000263,East Herts Council,BR/22,,"The Well House and Dixon’s Yard, Acorn Street, Hunsdon, SG12 8PF",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"541,784.50","213,482.80",0.78ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,08/06/2017,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,12,"Demolition of the existing dwelling and industrial buildings and erection of 12no dwellings, garages and landscaping.",Office Floorspace,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000264,East Herts Council,BR/23,,"Spellbrook Farm, London Road, Spellbrook, Bishop’s Stortford, CM23 4AX",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"548,584.50","217,572.00",0.26ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,03/01/2017,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,3,Demolition of existing storage building. Construction of 3no. 4 bedroom single storey homes and 3no. stand-alone double garages.,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000265,East Herts Council,BR/24,,"The Spinney, Hoddesdon Road, Stanstead Abbotts, Ware, SG12 8EJ",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"538,046.60","211,390.20",0.22ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,21/03/2017,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,6,Demolition of existing B1/B8 units and erection of 6 dwellings with associated parking and landscaping. (Amended Layout).,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000266,East Herts Council,BR/25,,"17 High Road, Stapleford, Hertford, SG14 3NW",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"531,054.60","217,224.20",0.24ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,04/07/2017,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,7,"Conversion of restaurant/pub/hotel to provide 3 no. new dwellings and construction of 4 no. new semi-detached dwellings, the demolition of existing outbuildings, the construction of a new cartlodge, together with the formation of new vehicular accesses from High Road, associated off-street car parking, private garden amenity space, landscaping and other associated development.",Cartlodge Structure,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000267,East Herts Council,BR/26,,"Land adjoining Sacombe Road, Sacombe Road, Waterford, SG14 3LU",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"531,832.10","215,037.50",0.5ha,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,09/12/2015,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,8,"Demolition of existing Lafarge Tarmac depot buildings and structures. Construction of a mix of 8 sustainable dwellings together with associated highway works, landscaping, water management and footpath provision.",,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/resource?uri=http://opendatacommunities.org/id/geography/administration/nmd/E07000268,East Herts Council,BR/27,,"Watton-at-Stone Depot, Station Road, Watton-at-Stone, SG14 3SH",https://www.eastherts.gov.uk/brownfieldregister,OSGB36,"529,671.10","219,296.10",0.39ha,Not owned by a public authority,No,Not permissioned,,,https://www.eastherts.gov.uk/brownfieldregister,Not proposed for PiP,10,,,,,,,,"The Watton-at-Stone Depot was identified in the Strategic Land Availability Assessment, 2016 as suitable, available and achievable.",31/12/2017,31/12/2017
