OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AdditionReference,MI_PRINX
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/03/0464,,"""Post Office and Co-op, Smugglers Lane, Colehill""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.963305038,50.81014978,0.07,not owned by a public authority,,not permissioned,,,,,10,"""The Post Office and shop are unlikely to come forward in the near future as the building has recently been refurbished and just retained the post office. It may come forward towards the end of the period for flats.""",,,,,,,,05/12/2017,05/12/2017,3/03/0464,22
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/04/0801,,"""Lockyers Middle School, Corfe Mullen""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-2.01667758,50.77975295,1.45,owned by a public authority,,not permissioned,,,,,70,"""This site forms new neighbourhood CM1 in the adopted Core Strategy. Lockyers School element of site is expected to come forward towards the end of the plan period""",,,,,,,Net dwellings potential only for brownfield element of the CM1 allocation,05/12/2017,05/12/2017,3/04/0801,23
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/07/0117,,"""The Post Office and 124 Ringwood Road, Longham""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.907467246,50.78558144,0.35,not owned by a public authority,,not permissioned,,,,,6,"""The site lies partially within the existing settlement boundary and partially within the green belt in an where an Exceptions Site may be acceptable""",,,,,,,,05/12/2017,05/12/2017,3/07/0117,24
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/07/0401,,"""92 - 120A Wimborne Road West, Stapehill""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.943109446,50.80094777,1.59,not owned by a public authority,,not permissioned,,,,,80,"""Area to west outside of builders merchants site could come forward on its own. 25.08.17 Updated capacity to 80 units as within 60dph density zone and within urban area.""",,,,,,,Two dwellings removed from original SHLAA site,05/12/2017,05/12/2017,3/07/0401,25
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/16/0449,,"""Stone Lane Industrial Estate, Stone Lane, Pamphill""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.993798619,50.80569704,1.94,not owned by a public authority,,not permissioned,,,,,90,"""This is site of the new neighbourhood WMC6 at Stone Lane in the adopted Core Strategy. Scheduled for end of Plan period.""",,,,,,,,05/12/2017,05/12/2017,3/16/0449,26
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/21/0007,,"""Red Lion, Church Street, Sturminster Marshall""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-2.071070952,50.80256175,0.22,not owned by a public authority,,not permissioned,,,,,6,"""The site is within the existing settlement boundary, but the southern half of the site is affected by flood risk. There is though potential to convert the existing building into flats.""",,,,,,,,05/12/2017,05/12/2017,3/21/0007,27
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/23/0690,,"""Tap and Railway Public House, 195 Station Road, West Moors""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.890190433,50.82607856,0.35,not owned by a public authority,,not permissioned,,,,,30,"""This pub site would be suitable for high density flats, possibly over shops, as it lies between a sheltered housing scheme and a parade of shops with flats over in the commercial centre of the village""",,,,,,,,05/12/2017,05/12/2017,3/23/0690,28
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/23/0694,,"""West Moors Library, Station Road, West Moors""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.88917789,50.8256025,0.08,owned by a public authority,,not permissioned,,,,,8,"""The Library site could be redeveloped for library/community uses on the ground floor with flats above. However, this is unlikely to happen until towards the end of the Plan period.""",Ground floor community use required in the form of a library,,,,,,,05/12/2017,05/12/2017,3/23/0694,29
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0758,,"""Car Park rear of 1-5, High Street""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.986437693,50.79987153,0.14,not owned by a public authority,,not permissioned,,,,,6,"""Allocated as a car park in the current Local Plan, will retain an important town centre car park function with the re ordering of The Square, where parking will be lost. Part of the site is Flood zone 3.""",Potential for some ground floor commercial development with flats over,,,,,,,05/12/2017,05/12/2017,3/25/0758,30
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0352,,"""Land at Old Manor Farmhouse""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.969925993,50.7992455,0.36,not owned by a public authority,,not permissioned,,,,,20,"""Away from the listed building, there is potential on the yard to the east.""",,,,,,,"""Half the original SHLAA site is within the curtilage of the Grade II* LB which has been removed from this brownfield entry""",05/12/2017,05/12/2017,3/25/0352,31
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0485,,"""Old Road Car Park and Old Dairy, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.992826954,50.7997714,0.23,mixed ownership,yes,not permissioned,,,,,11,"""EDDC have determined to dispose of the car park for housing (approx 8 units). The  builder's office (former dairy) is now available, the latter may be towards the end of the plan period.""",,,,,,,Marks Yard element of SHLAA site removed and shown as a separate Brownfield entry,05/12/2017,05/12/2017,3/25/0485,32
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0795,,"""Wimborne First School, School Lane""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.989962496,50.80294722,0.52,owned by a public authority,,not permissioned,,,,,30,"""Potential to replace the old school buildings with sympathetically designed dwellings that will enhance the townscape and surveillance of the park.""",,,,,,,,05/12/2017,05/12/2017,3/25/0795,33
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0426,,"""30 New Borough, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.977660144,50.79443662,0.23,not owned by a public authority,,not permissioned,,,,,20,"""Potential with the Builders Hire Depot in the centre of the site -  rather than with the Victorian cottages or modern flats""",,,,,,,New dwellings potential amended from original SHLAA site analysis to omit back gardens,05/12/2017,05/12/2017,3/25/0426,34
http://opendatacommunities.org/id/district-council/east-dorset,East Dorset District Council,BR3/25/0435,,"""41-44 King Street, Wimborne""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cBrownfield+Register.AuroraScript%24&nocache=1302903983&resize=always,ETRS89,-1.989898337,50.79901584,0.15,owned by a public authority,,not permissioned,,,,,12,"""Potential conversion of Victorian building to provide 12 units if the Adult Education Centre no longer remains viable.""",,,,,,,,05/12/2017,05/12/2017,3/25/0435,35
