Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Alternative References,Owners,Housing Delivery Estimate,Site status,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/CAT/001,,"""Repton House, Parkside Drive, Old Catton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20151733,OSGB36,623017,312223,0.39,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-02-23,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,7,Redevelopment of site for residential (7 homes),,,,,,,"""Full permission (20151733) for demolition of existing buildings and erection of 7 homes""",2017-12-31,2017-12-31,,Understood to be owned by OMC Investments Ltd,2018,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/REP/001,,"""Former Station Yard, Station Rd, Reepham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CREP2,OSGB36,610102,323496,2.8,Not owned by a public authority,Yes,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,20,Redevelopment of site for residential (20 homes) and B1 and B2 employment uses,B1 / B2 uses included ,,,,,,"""Allocated in Site Allocations DPD (policy REP2) for residential (approx 20 homes) and employment (B1 and B2 uses).""",2017-12-31,2017-12-31,REP2,Not known,2020-2022,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/REP/002,,"""Abb's Garage, 32 School Rd, Reepham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20141650,OSGB36,609880,322801,0.17,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,2017-01-23,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,8,Demolition of garage premises and replacement with 8 dwellings,,,,,,,"""Outline permission (20141650) and reserved matters (20161817) for 8 dwellings""",2017-12-31,2017-12-31,,Not known,2018,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/REP/003,,"""The Dial House, Market Place, Reepham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20140858,OSGB36,610024,322948,0.5,Not owned by a public authority,Yes,Permissioned,Full planning permission,2015-02-12,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,16,"Conversion and demolition to provide 16 dwellings, café, retail and B&B.","Café, retail unit and B&B included.",,,,,,"""Full permission (20140858) for 16 dwellings, and café, retail and B&B""",2017-12-31,2017-12-31,,Understood to be Old Brewery House Developments Ltd.,2017,Started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/STR/001,,"""Former Hamper People, 31 Norwich Rd, Strumpshaw""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20150188,OSGB36,635350,308038,1.2,Not owned by a public authority,Yes,Permissioned,Full planning permission,2015-09-18,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,10,Redevelopment of commercial site to provide 10 dwellings,,,,,,,"""Full permission (20150188) for redevelopment and provision of 10 dwellings""",2017-12-31,2017-12-31,,Understood to be Wickerhouse Ltd.,2018-2019,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/TSA/001,,"""Pinebanks, 9 Yarmouth Rd, Thorpe St Andrew""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20130649,OSGB36,625809,308840,16.12,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,2016-09-27,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,231,Redevelopment of social club and grounds to provide 231 dwellings ,,,,,,,"""Outline permission (20130649) and reserved matters (20160425) for 231 dwellings""",2017-12-31,2017-12-31,,Understood to be owned by Berliet Ltd.,2019-2023,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/TSA/002,,"""Oasis Centre, Thorpe St Andrew""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20151132,OSGB36,627364,310124,2.62,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2017-02-14,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,27,Redevelopment of Leisure centre to provide 27 dwellings and spa and wellbeing club,Spa and wellbeing club,,,,,,"""Outline planning permission (20151132) for redevelopment and provision of 27 dwellings and full permission for spa and well being club.""",2017-12-31,2017-12-31,,Understood to be owned by Serruys Property Co. Ltd.,2018-2020,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/TSA/003,,"""27 Yarmouth Rd, thorpe St Andrew""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20161542,OSGB36,625645,308473,0.19,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-10-19,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,14,Change of use from offices (B1) to resdential (14 flats),,,,,,,"""Approval for change of use (20161542) from offices to residential""",2017-12-31,2017-12-31,,Not known,2018,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/TSA/004,,"""The Oaks, 16 Harvey Lane, Thorpe St Andrew""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C20161875,OSGB36,625391,308722,0.23,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-12-12,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,8,Change of use from offices (B1) to residential (8 flats),,,,,,,"""Approval for change of use (20161875) from offices to residential""",2-17-12-31,2017-12-31,,Understood to be owned by Astris Homes,2018,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/GLP/002,,"""Witton Lane Gospel Hall, Little Plumstead, Norwich""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0357,OSGB36,631239.4688,311010.8504,0.26,Not owned by a public authority,Yes,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,3,5 no. detached dwellings. OR 3 no. detached dwellings retaining Gospel Hall.,,,,,,,"""Site proposed as part of Greater Norwich Local Plan Call for Sites. Within existing settlement boundary""",2017-12-31,2017-12-31,GNLP0357,Althorpe Gospel Hall Trust,2018-21,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/HOR/001,,"""Land at Dog Lane, Horsford, Norwich, Norfolk NR10 3DH""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0264,OSGB36,619148.5389,315780.9023,1.76,Not owned by a public authority,Yes,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,5,Residential development for 5 dwellings with replacement of old employment buildings,,,,,,,"""Site proposed as part of Greater Norwich Local Plan Call for Sites. Within existing settlement boundary. Site consists of vacant paddock, former Dog Lane Blockwork premises & Former timber merchant premises now used as children's play/education centre""",2017-12-31,2017-12-31,GNLP0264,Dog Lane Blockworks Ltd,2018-21,Not started,
http://opendatacommunities.org/id/district-council/broadland,Broadland District Council,B/FOU/001,,"""Site of T H Blyth and Sons Builders Yard and Land to West of Claypit Road"", Claypit Road, Foulsham, Norfolk NR20 5RW"" ",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0275,OSGB36,603178.9795,324450.3253,0.55,Not owned by a public authority,Yes,Not permissioned,,,https://secure.broadland.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,,11,Residential development of around 11 units,,,,,,,"""Site proposed as part of Greater Norwich Local Plan Call for Sites. Within existing settlement boundary. Approx 45% brownfield - former builders yard.""",2017-12-31,2017-12-31,GNLP0275,MacKinnon Construction,2018-21,Not started,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
