OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00011,,"Land rear of 234-240, Princes Avenue, London, NW9 9QU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.28071688,51.58929508,0.11,unknown ownership,Yes,permissioned,full planning permission,16/02/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_131390,,5,"Erection of a terrace of 5 two storey dwellinghouses (5 x 4 bedroom) with basement levels and front and rear lightwells, to the rear of 234-240 Princes Avenue with vehicular and pedestrian access from Princes Close, provision of 8 car parking spaces, cycle and bin store and associated landscaping",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00012,,"Oman Avenue Garages, Oman Avenue, London",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.227656555,51.55584779,0.42,unknown ownership,Yes,permissioned,full planning permission,30/03/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202023029_1&activeTab=summary&previousCaseUprn=202023029&previousCaseNumber=PROPLPI_202023029_1&keyVal=DCAPR_132473,,5,"Demolition of existing garages and redevelopment to provide 4 x 2 bedroom bungalows and a 3 storey building adjacent to Midlothian House comprising 3 x 2 bedroom flats, with associated car parking, cycle storage, refuse storage, amenity space and landscaping",,,5,7,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00013,,"2 Atlip Road, Wembley, HA0 4LU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.297194304,51.54008385,2.58,not owned by a public authority,Yes,permissioned,full planning permission,26/05/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=summary&keyVal=PROPLPI_202132569_1,,99,"Proposed demolition of existing former retail warehouse building and erection of development comprising a part 3 storey to part 10 storey building of 99 residential units (4 x studio, 31 x one-bedroom, 51 x two-bedroom and 13 x three-bedroom units).with associated cycle parking, x13 no. disabled only parking spaces at basement level with, x2 car club only spaces and new vehicle accesses off Atlip Road and associated landscaping (as amended) and subject to a Deed of Agreement dated 25 May 2017 under Section 106 of the Town and Country Planning Act 1990, as amended ",,,99,99,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00014,,"Harlesden Christian Centre & Land next to and rear of Harlesden Christian Centre, Winchelsea Road, London",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.25811931,51.53911317,0.85,unknown ownership,Yes,permissioned,full planning permission,02/05/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_2021541673_1&activeTab=summary&previousCaseUprn=202214048&previousCaseNumber=PROPLPI_2021541673_1&keyVal=DCAPR_126682,,178,"Redevelopment of the site and surrounding land to include the demolition of the existing centre (Use class D1) and construction of five residential blocks ranging from 1 to 6 storeys high, comprising 178 residential units (67 x 1-bed, 60 x 2-bed flats, 24 x 2-bed maisonettes,14 x 3-bed flats, 3 x 4-bed maisonettes, 8 x 3-bed houses and 2 x 4-bed houses) with associated private and communal amenity space, parking, access, landscaping and ancillary works (as amended) and subject to a Deed of Agreement dated 26 April 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",,,178,178,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00015,,"Willesden Ambulance Station, 164 Harlesden Road, London, NW10 3SN",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.238972491,51.53868063,0.08,owned by a public authority,,permissioned,full planning permission,25/02/2010,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202090618_1,,5,"Details pursuant to part of Condition 7 (external materials) of full planning permission reference 09/1440 dated 13 August 2009 for demolition of rear conservatory and extension, erection of a single-storey and two-storey side and rear extension, new front porch and outbuilding in rear garden of dwellinghouse (as amended by revised plans dated 4th, 7th and 8th August 2009)",,,5,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00016,,"Warranty House and 82 & 82A Dudden Hill Lane, London, NW10 1DD",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.244991844,51.55366653,0.69,unknown ownership,Yes,permissioned,full planning permission,25/07/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_130188,,136,"Proposed demolition of all existing buildings and construction of part five / part six / part seven / part eight / part nine storey buildings comprising 136 residential units (Use Class C3, comprising of 42 x 1 bed, 56 x 2 bed and 38 x 3 bed flats) and community/retail floorspace (Use Classes D1/A1/A3); related lower ground car park comprising 44 car parking spaces; cycle parking, vehicular access; footways; landscaping; plant and associated works and subject to a Deed of Agreement dated 21 July 2017 under Section 106 of the Town and Country Planning Act 1990, as amended","20 sq m D1, 70 sq m A1",,136,136,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00017,,"Albion House, 470 Church Lane, London, NW9 8UA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.262257596,51.58166334,0.16,unknown ownership,Yes,permissioned,planning permission granted under an order,03/09/2015,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202205067_1,,17,"Prior approval for change of use of ground, first and second floor from office (Use Class B1) to residential (Use Class C3) involving the creation of 17 residential units (14 x one bed flats & 3 x studio flats)",,,17,17,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00018,,"3-5 INC, Watling Gate, Edgware Road, Kingsbury, London, NW9 6NB",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.254425183,51.58954232,0.12,unknown ownership,Yes,permissioned,planning permission granted under an order,18/06/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_120045|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_121624,,14,Prior approval for change of use from office (Use Class B1) to residential (Use Class C3) involving the creation of 14 residential units (7 x 2bed and 7 x 3bed),,,14,14,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00019,,"69 Manor Park Road, London, NW10 4JX",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.248506497,51.53795313,0.02,unknown ownership,Yes,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202070648_1,,5,Demolition of existing single storey commercial storage building and erection of 2 two storey residential units providing two additional self-contained flats (2 x 1bed) with car and cycle parking spaces and provision for bin stores,,,5,7,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00020,,"Land R/O 37-41, High Street, London, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.247182741,51.53640922,0.1,unknown ownership,,permissioned,full planning permission,11/11/2004,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202145571_1,,12,"Erection of 3-storey building comprising 4 x 2-bedroom flats, 6 x 1-bedroom flats and 2 studio flats with associated balconies, rear amenity and refuse storage above the ground floor of the building to the rear of 37-41 High Street NW10 (car-free development) (Section 106 Legal Agreement)",,,12,12,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00021,,"Allied, 3 Burnt Oak Broadway, Edgware, HA8 5LD",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.265414032,51.59836713,0.28,unknown ownership,,permissioned,full planning permission,17/08/2010,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202011409_1,,73,"Extension to time limit of application 05/0380 dated 12/05/05 for demolition of existing building and replacement with a 5- and part 6-storey building to provide a mixed-use development including basement car-parking, retail at ground and mezzanine levels, and 73 flats in 2 separate blocks and subject to a Deed of Agreement dated 12th August 2010 under Section 106 of the Town and Country Planning Act 1990, as amended. This represents a car-free development",2170 sq m A1,,73,73,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00023,,"85A,85B,87A & B, Salusbury Road, London, NW6",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.205098871,51.53580384,0.03,not owned by a public authority,,permissioned,full planning permission,24/07/2008,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_82171|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=DCAPR_85235|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=DCAPR_93246|https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202046312_1&activeTab=summary&previousCaseUprn=202046312&previousCaseNumber=PROPLPI_202046312_1&keyVal=DCAPR_132803|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_135834,,5,"Conversion of 4 existing flats into 8 flats, including a loft conversion to provide an additional floor, with 6 new rooflights (2 front and 4 rear rooflights) including ""CAR FREE AGREEMENT"" to no. 85 and subject to a Deed of Agreement dated 17th July 2008 under Section 106 of the Town and Country Planning Act 1990, as amended",,,5,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00024,,"17 Craven Park, London, NW10 8SU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.2558372,51.54116102,0.06,unknown ownership,,permissioned,full planning permission,14/05/2008,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202111067_1,,5,"Erection of 3-storey building with basement level to provide 8 self-contained flats: 4 x 1-bed, 2 x 2-bed and 2 studio flats (as clarified by letter dated 21 November 2006 and accompanied by a revised Statement in Support dated December 2006 and photographs) - ""Car Free"" Development and subject to a Deed of Agreement dated 8th May 2008 under Section 106 of the Town and Country Planning Act 1990, as amended",,,5,8,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00025,,"150-152 Walm Lane, London, NW2 4RU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.218638176,51.55144281,0.1,mixed ownership,Yes,permissioned,full planning permission,06/07/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202033672_1,,5,"Conversion of existing hostel to 9x self-contained flats (6x two-bed and 3x one-bed); first floor rear extension with roof terraces; enlargement of 2 front rooflights; provision for car parking, bicycle store, bin store, landscaping and associated external alterations to the side and rear elevations",,,5,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00026,,"7 Mowbray Road, London, NW6 7QX",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.20612283,51.5449761,0.06,unknown ownership,,permissioned,full planning permission,19/10/2009,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202066532_1&activeTab=summary&previousCaseUprn=202066532&previousCaseNumber=PROPLPI_202066532_1&keyVal=DCAPR_96776,,5,"Conversion of property into 5 flats (1 one-bedroom, 3 two-bedroom, 1 three-bedroom), with single-storey rear extension at ground-floor level, 2 new doors and 2 new windows at rear lower-ground-floor level, 2 enlarged windows at second-floor rear, 1 front rooflight, 6 crown rooflights and removal of ground-floor side door (""car-free"" scheme), subject to a Deed of Agreement dated 12/10/2009 under Section 106 of the Town and Country Planning Act 1990 (as amended)",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00027,,"Raglan Court & Garages, Raglan Court, Empire Way, Wembley, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.284618409,51.55995499,1.46,unknown ownership,Yes,permissioned,other,07/01/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_88110|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_119169,,63,"Certificate of lawfulness for existing demolition 11no garages relating to the approved planning permission reference 06/3591 dated 01/06/2010 for Erection of fourth-floor and roof extension to Block A to form 28 additional self-contained flats, fourth floor and roof extension to Block B to form 28 additional self-contained flats, fourth floor and roof extension, four storey rear extension and internal alterations to Ladies Block to form 7 additional self-contained flats, 2m² additional retail floorspace at ground-floor level and new disabled-access ramp, alterations to widen vehicular access to site, demolition of 11 existing garages, provision of 47 car-parking spaces including 5 disabled bays, 70 cycle-parking spaces, refuse and recycling store, alterations to amenity space and landscaping and subject to a Deed of Agreement dated 20th May 2010 under Section 106 of the Town and Country Planning Act 1990, as amended",2 sq m retail,,63,63,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00028,,"Storage Land next to 75, St Pauls Avenue, London, NW2 5TG",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.227357476,51.54972662,0.16,unknown ownership,,permissioned,full planning permission,11/04/2011,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202149025_1,,10,"Redevelopment of the site to provide a part 3, part 4, storey building, comprising 10 affordable units and associated access, landscaping, a disabled parking space and cycle parking provision, and subject to a Deed of Agreement dated 11 April 2011 under Section 106 of the Town and Country Planning Act 1990, as amended",,,10,10,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00029,,"110-118 inc, Kilburn Square, London, NW6 6PS",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.194989095,51.53857445,0.09,owned by a public authority,,permissioned,full planning permission,25/08/2011,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_96225|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_136297,,18,"Re-modelling of existing 9 second- and third-floor maisonettes into 18 new self-contained flats, two-storey front extension with new bridge, walkway and ramps to provide access, third-floor extension on top of stairs at front, new entrance and bin store doors at side with new glass canopy and subject to a Deed of Agreement dated 14 April 2011 under Section 106 of the Town and Country Planning Act 1990, as amended",,,18,18,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00030,,"2A Preston Waye & 283-287 odd, Preston Road, Harrow, HA3",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.295141823,51.57316604,0.19,mixed ownership,Yes,permissioned,full planning permission,14/08/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202056893_1&activeTab=summary&previousCaseUprn=202056893&previousCaseNumber=PROPLPI_202056893_1&keyVal=DCAPR_104192|https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202056893_1&activeTab=summary&previousCaseUprn=202056893&previousCaseNumber=PROPLPI_202056893_1&keyVal=DCAPR_131746,,25,"Demolition of the existing buildings and construction of a four storey building with a basement level providing 25 self-contained flats (11 x 1bed, 10 x 2bed and 4 x 3bed) with associated vehicular crossover off Preston Waye, car and cycle parking spaces, bin stores, amenity space and ancillary gym for private use by the residents",,,25,25,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00031,,"Land north side of Lovett Way, Lovett Way, London, NW10 0UJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.264183708,51.55381278,0.21,mixed ownership,,permissioned,full planning permission,28/03/2012,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202200360_1&activeTab=summary&previousCaseUprn=202200360&previousCaseNumber=PROPLPI_202200360_1&keyVal=DCAPR_101481,,12,"Erection of 12 x two-storey, three-bedroom, single-family dwellinghouses on land to the north side of Lovett Way",,,12,12,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00032,,"Land next to 10, Tillett Close, London, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.268580591,51.5470793,0.07,owned by a public authority,,permissioned,full planning permission,28/03/2012,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_101816,,5,"Construction of 5 dwellinghouses on hardsurfaced area of Public Open Space with associated landscaping, car-parking and refuse and cycle storage",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00033,,"Miracle Signs & Wonders Ministrie, Church Road, London, NW10 9NR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.247231406,51.54865152,0.09,not owned by a public authority,,permissioned,full planning permission,29/03/2012,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_106417|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_107800,,47,Demolition of the existing building and erection of a new building consisting of D1 use on the ground floor and 47 residential units on seven upper floors.,D1 use on ground floor,,47,47,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00034,,"Minavil House, Rosemont Road, Wembley, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.29972521,51.53981956,0.3,not owned by a public authority,Yes,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202049585_1,,251,"Demolition of existing two storey commercial buildings and erection of a mixed used development ranging from ten to twenty six storeys in height, comprising 251 residential flats (83 x 1bed, 136 x 2bed and 32 x 3bed), 1,942 sqm retail foodstore (Use class A1) on the ground floor, 622sqm of office space (Use Class B1) on the first floor, 634sqm retail floorspace for flexible use as cafe, bar or restaurant (Use class A1, A4 or A3) at lower ground floor and ground floor level; together with associated vehicular access, car and cycle parking spaces, bin stores, plant room, landscaping and private and communal amenity space","1,942 sqm retail foodstore (Use class A1) on the ground floor, 622sqm of office space (Use Class B1) on the first floor, 634sqm retail floorspace for flexible use as cafe, bar or restaurant (Use class A1, A4 or A3) at lower ground floor and ground floor level",,251,251,,,,15/12/2017,15/12/2017,,,
