OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0011,,"Peachy House, 39 Ilford Hill, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0011,WGS84,0.067355,51.558083,0.59,Not owned by a public authority,Yes,Permissioned,Full planning permission,06/05/2015,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,141,Retail/ Employment/Housing,Retail floorspace: 300 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 1279/13 - Located within Ilford Housing Zone - Local Plan allocation site number: 11,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0012,,51-69 Ilford Hill (Valentines House),https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0012,WGS84,0.068607,51.558623,0.43,Not owned by a public authority,Yes,Permissioned,Full planning permission,25/09/2015,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,122,Retail/Housing,"Retail floorspace: 2,412 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 3782/14 - Located within Ilford Housing Zone - Local Plan allocation site number: 12,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0013,,"226-244 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0013,WGS84,0.078067,51.559699,0.14,Not owned by a public authority,Yes,Permissioned,Full planning permission,29/12/2011,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,124,Retail/Employment/ Housing,"Approved Planning Permission: 2579/09 - Retail floorspace: 405 sq.m Employment floorspace: 1, 894 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Submitted Planning Application - 4462/16 - Located within Ilford Housing Zone - Local Plan allocation site number: 13,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0014,,"51-71 Cranbrook Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0014,WGS84,0.069059,51.560296,0.1,Unknown ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,40.5,Retail/ Housing/Employment,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 14,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0015,,"Land between Mill Road & the Railway Line, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0015,WGS84,0.064968,51.557705,0.24,Not owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,97.2,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 15,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0016,,"245-275 Cranbrook Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0016,WGS84,0.066423,51.563976,0.39,Mixed ownership,,Permissioned,Full planning permission,05/02/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,129,Employment/ Housing,Employment floorspace: 825 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2604/15 - Part of site - Located within Ilford Housing Zone - Local Plan allocation site number: 16,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0017,,"40 Ilford Hill, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0017,WGS84,0.068493,51.557506,0.29,Mixed ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,117,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 17,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0018,,"73-85 Ilford Hill and 1-7 Cranbrook Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0018,WGS84,0.069482,51.558623,0.26,Mixed ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,98,Employment/Housing,Employment floorspace: 650 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 18,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0019,,"Land adjacent to Clements Lane and Clements Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0019,WGS84,0.071796,51.557492,0.24,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,73,Retail/Employment Housing,"Retail floorspace: 1,500 sq.m Employment floorspace: 600 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 19,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0020,,"262 � 268 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0020,WGS84,0.079276,51.559917,0.13,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,42,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 20,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0021,,"22-32 Chapel Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0021,WGS84,0.069553,51.557554,0.31,Mixed ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,97,Housing/ Employment,Employment floorspace: 300 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 23,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0022,,20 Clements Lane Ilford,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0022,WGS84,0.071436,51.557827,0.63,Not owned by a public authority,Yes,Permissioned,Full planning permission,25/09/2013,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,14,Housing/ Retail,Retail floorspace: 64sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 0613/12 - Located within Ilford Housing Zone - Local Plan allocation site number: 25,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0023,,202-224 High Road Ilford,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0023,WGS84,0.077191,51.559528,0.1,Unknown ownership,Yes,Permissioned,Full planning permission,29/04/2015,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,15,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Prior Approval Application - 0750/15 - Located within Ilford Housing Zone - Local Plan allocation site number: 26,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0024,,"Central Library Service Yard, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0024,WGS84,0.075943,51.558313,0.05,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,20,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 27,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0025,,"288 Ilford Lane, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0025,WGS84,0.074436,51.550351,0.08,Unknown ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,9,Retail/Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 28,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0026,,180 High Road Ilford,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0026,WGS84,0.075871,51.559266,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,7,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 0220/14 - Located within Ilford Housing Zone - Local Plan allocation site number: 29,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0027,,213-215 High Road Ilford,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0027,WGS84,0.07565,51.559751,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,14/07/2014,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,7,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 1255/14 - Located within Ilford Housing Zone - Local Plan allocation site number: 30,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0028,,"rear of 2-4 Clements Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0028,WGS84,0.071452,51.558162,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,20/07/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,5,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 0770/16 - Located within Ilford Housing Zone - Local Plan allocation site number: 32,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0029,,"Redbridge Enterprise and Ilford Retail Park, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0029,WGS84,0.080727,51.561029,1.53,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,370,Employment/Retail/ Housing/Education,"Retail floorspace: 1,500 sq.m Employment floorspace: 3,825 sq.m Education: Primary School",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 36,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0030,,"Land adjacent to Cranbrook Road, High Road and the railway, incorporating Station Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0030,WGS84,0.071136,51.558942,0.8,Not owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,295,Retail/Housing,"Retail floorspace: 2,500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 37,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0031,,"Kenneth More Theatre and Janice Mews, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0031,WGS84,0.075286,51.55869,0.4,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,124,Retail/ Housing/Leisure/Health,"Retail floorspace: 850 sq.m Health: 2,500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 38,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0032,,"69-126 Ley Street and Opal Mews, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0032,WGS84,0.074436,51.560527,0.32,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,62,Housing/Health,"Health: 2,500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 39,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0033,,"Britannia Car Park, Clements Road/Albert Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0033,WGS84,0.07232,51.557019,0.2,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,81,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 41,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0035,,"Between Mansfield House & 2 Mansfield Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0035,WGS84,0.068822,51.560115,0.11,Unknown ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,45,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 43,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0036,,"7 Morland Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0036,WGS84,0.071104,51.561464,0.1,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,41,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 44,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0037,,"300 � 318 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0037,WGS84,0.081283,51.560234,0.27,Not owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,97,Retail/ Housing,Retail floorspace: 650 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Located within Ilford Housing Zone - Local Plan allocation site number: 45,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0038,,Land in and around King George/Goodmayes Hospitals,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0038,WGS84,0.111436,51.577346,51,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,500,Subject to detailed Master planning- Hospital retained - Housing/ Community/ Healthcare/ Education/ Public Open Space/ Sports,Education Provision: Secondary School,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Subject to comprehensive masterplan - Local Plan allocation site number: 46,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0039,,"Seven Kings Car Park & Lorry Park, High Road, Seven Kings",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0039,WGS84,0.101255,51.564642,0.62,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,170,Retail/Health/Housing,"Retail floorspace: 1, 500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 47,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0040,,"Charter House, 450 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0040,WGS84,0.089065,51.561849,0.18,Not owned by a public authority,Yes,Permissioned,Full planning permission,31/05/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,96,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2792/15 - Local Plan allocation site number: 49,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0041,,"Newbury House, 890-900 Eastern Avenue",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0041,WGS84,0.092436,51.575082,0.5,Mixed ownership,Yes,Permissioned,Other,14/08/2014,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,237,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Prior Approval - 2125/14  - Refused Planning Appication - 5988/16 - Local Plan allocation site number: 50,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0042,,"Recorder House 531-549 High Road and 501 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0042,WGS84,0.089483,51.562689,1,Not owned by a public authority,Yes,Permissioned,Full planning permission,29/12/2011,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,180,Employment/ Housing,"Employment floorspace: 1,300 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2483/10 - Local Plan allocation site number: 51,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0043,,567-571 High Road,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0043,WGS84,0.092115,51.563186,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,31/05/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,35,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2364/15 - Local Plan allocation site number: 52,31/12/2017,31/12/2017
