OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddresss,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/01854/OUT,,"""Land West Of Mill Green, Knighton, Powys""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3898970.659,-207646.5905,1.06,Not owned by a public authority,Yes,Permissioned,Outline planning permission,27/01/2015,,,26,"""Residential re-development. A proportion of this site is located within Powys, the equivalent proportion of the dwellings proposed on this site (10) have been discounted for this site.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/02550/OUT,,"""Dale House, Newport Road, Hinstock, Market Drayton, TF9 2TH""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3858332.925,-165387.0667,0.15,Not owned by a public authority,Yes,Permissioned,Outline planning permission,12/09/2014,,,5,"""Outline application for the erection of five dwellings to include means of access following demolition of existing sheds.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/02623/FUL,,"""Land At Broseley Social Club, Bank House, High Street, Broseley, Shropshire, TF12 5EZ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3877293.155,-168237.1358,0.14,Not owned by a public authority,Yes,Permissioned,Full planning permission,05/03/2015,,,6,"""Erection of 6 dwellings and associated parking. | Part of the site is brownfield (Approx 65%) and part is greenfield (Approx 35%). | The brownfield element of the site is approximately 0.14ha whilst the total site size is some 0.21ha. | It is anticipated that the brownfield component of the site has a capacity for all the 6 dwellings proposed within the development.""","""Formation of a 21 space car park for the social club.""",,,,,,"""The site has the benefit of a Full planning permission. | Part of the site is brownfield (Approx 65%) and part is greenfield (Approx 35%). | The brownfield element of the site is approximately 0.14ha, whilst the total site size is some 0.21ha. | It is anticipated that the brownfield component of the site has a capacity for all the 6 dwellings proposed within the development. | The site is considered deliverable. | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/03051/FUL,,"""117 Cheshire Street, Market Drayton, Shropshire, TF9 1AE""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3851295.856,-167346.5273,0.02,Not owned by a public authority,Yes,Permissioned,Full planning permission,29/07/2014,,,6,"""Change of use to form 6 apartments.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/03205/P3JPA,,"""28 Castle Street, Shrewsbury, Shropshire, SY1 2BQ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3868001.787,-185851.664,0.14,Not owned by a public authority,Yes,Permissioned,Other,20/09/2013,,,6,"""Prior Approval under Part 3 Class J of the Town & Country Planning (General Permitted Development) Order 2013 for the change of use first and second floor offices to six apartments.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/03415/FUL,,"""Evans And Stubbs Building, Dale Street, Craven Arms, Shropshire, SY7 9NY""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3891561.764,-192557.7536,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,03/08/2015,,,7,"""Conversion of existing building into five residential units and construction of two new units; insertion of sunpipes and solar panels to rear elevation.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/03481/OUT,,"""Storage Land And Premises (former Dairy), Mile Bank Road, Whitchurch, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3843971.803,-179075.1956,3.93,Not owned by a public authority,Yes,Permissioned,Outline planning permission,17/09/2015,,,70,"""Outline application (all matters reserved) for residential development; vehicular access and estate roads; diversion of Public Right of Way; associated highway and landscape works.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,13/03521/FUL,,"""Lea Manor, Holyhead Road, Albrighton, Wolverhampton, WV7 3BX""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3876893.86,-154981.2237,0.57,Not owned by a public authority,Yes,Permissioned,Full planning permission,19/02/2015,,,7,"""Erection of seven dwellings (following demolition of all buildings).""","""Formation of a bio-disc treatment plant.""",,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/00030/OUT,,"""Davro Iron & Steel Co Ltd, Ridgewell Works, Stourbridge Road, Wootton, Bridgnorth, WV15 6ED""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3887390.192,-158361.7037,1.02,Not owned by a public authority,Yes,Permissioned,Outline planning permission,18/07/2016,,,11,"""Outline application (access for approval) for erection of up to 16 dwellings and garages. | Part of the site is brownfield (Approx 70%) and part is greenfield (Approx 30%). | The brownfield element of the site is approximately 1.02ha, whilst the total site size is some 1.46ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 11 dwellings, whilst the total site capacity is some 16 dwellings.""","""Formation of a bio-disc treatment plant.""",,,,,,"""The site has the benefit of an Outline planning permission. | Part of the site is brownfield (Approx 70%) and part is greenfield (Approx 30%). | The brownfield element of the site is approximately 1.02ha, whilst the total site size is some 1.46ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 11 dwellings, whilst the total site capacity is some 16 dwellings. | The site is considered deliverable. | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/01744/OUT,,"""Old Station Yard, Brownlow Road, Ellesmere, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3849828.689,-195040.1406,1.47,Not owned by a public authority,Yes,Permissioned,Outline planning permission,13/11/2015,,,56,"""Outline application (all matters reserved) for mixed residential development and formation of estate roads.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/02286/OUT,,"""Shropshire Stone & Granite, Station Road, Baschurch, Shrewsbury, SY4 2BQ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3859821.855,-191979.889,1.49,Not owned by a public authority,Yes,Permissioned,Outline planning permission,04/06/2015,,,30,"""Outline application (access for approval) for a mixed use development including 30 dwellings. | Part of the site is brownfield (Approx 60%) and part is greenfield (Approx 40%). | The brownfield element of the site is approximately 1.49ha, whilst the total site size is some 2.48ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 30 dwellings, whilst the total site capacity is some 50 dwellings.""","""Outline application (access for approval) for a mixed use development. | Commercial uses are proposed on the northern element of the site adjacent to the former railway station. | A community parking area is also proposed on the northern element of the site.""",,,,,,"""The site has the benefit of an Outline planning permission. | Part of the site is brownfield (Approx 60%) and part is greenfield (Approx 40%). | The brownfield element of the site is approximately 1.49ha, whilst the total site size is some 2.48ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 30 dwellings, whilst the total site capacity is some 50 dwellings. | The site is considered deliverable. | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/02693/OUT,,"""Shropshire Council Offices, Westgate, Bridgnorth, Shropshire, WV16 5AA""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3884331.219,-164922.4315,0.96,Owned by a public authority,Yes,Pending decision,,,,,40,"""Outline application pending decision for a residential development on a Council owned site. | Positive consultation is ongoing regarding the disposal of this site.""",,,,,,,"""Outline application pending decision for a residential development on a Council owned site. | Positive consultation is ongoing regarding the disposal of this site.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/02846/OUT,,"""Coach Depot, Fishmore Road, Ludlow, Shropshire, SY8 2LU""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3897527.946,-185073.9631,0.42,Not owned by a public authority,Yes,Permissioned,Outline planning permission,07/02/2017,,,20,"""Outline permission for the redevelopment of existing coach depot to residential development (all matters reserved).""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/03091/OUT,,"""Shropshire Building Supplies, New Road, Ludlow, Shropshire, SY8 2LS""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3897818.072,-184996.0107,0.77,Not owned by a public authority,Yes,Permissioned,Outline planning permission,07/07/2015,,,26,"""Outline Planning application for residential development of 26no units to include erection of 20no houses and 6no apartments (to include access and layout).""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/03475/OUT,,"""Salop Music Centre, St Michaels Street, Shrewsbury, Shropshire, SY1 2DE""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3867461.493,-185656.6342,0.31,Not owned by a public authority,Yes,Permissioned,Outline planning permission,25/09/2015,,,24,"""Outline application for residential development to include means of access.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/04383/FUL,,"""Princess House, The Square, Shrewsbury, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3868198.898,-186082.7475,0.22,Not owned by a public authority,Yes,Permissioned,Full planning permission,04/02/2015,,,50,"""Conversion of the existing office space and extension to provide a mixed use development including 50No residential apartments together with secure storage facilities.""","""Mixed use development will also involve conversion of ground floor to a restaurant unit.""",,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/04772/OUT,,"""Land North Of Robin Hill, Lower Road, Myddle, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3859069.204,-187599.6108,0.39,Not owned by a public authority,Yes,Permissioned,Outline planning permission,05/02/2016,,,5,"""Outline application for the erection of three open market dwellings and two affordable dwellings (to include access).""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/04891/OUT,,"""Rosewood Pet Products Ltd, 45 Coalport Road, Broseley, Shropshire, TF12 5AN""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3877655.286,-167246.829,0.65,Not owned by a public authority,Yes,Permissioned,Outline planning permission,08/09/2015,,,21,"""Outline application for demolition of existing B8 warehouses and redevelopment for residential purposes (up to 21 dwellings) and associated access.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,14/04926/OUT,,"""Land Adjoining Towers Lawn, Market Drayton, Shropshire, TF9 3AA""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3851392.238,-167163.7136,0.21,Not owned by a public authority,Yes,Permissioned,Outline planning permission,23/12/2015,,,30,"""Outline planning application for residential development to include access and scale following demolition of all buildings on site.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/00415/OUT,,"""Land At 18 Dutton Close, Stoke Heath, Market Drayton, Shropshire, TF9 2JN""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3854915.442,-170172.4436,0.19,Not owned by a public authority,Yes,Permissioned,Outline planning permission,05/02/2016,,,9,"""Outline application for the erection of 25 dwellings (all matters reserved). | Site allocated within the SAMDev Plan (STH002). | Part of the site is brownfield (Approx 25%) and part is greenfield (Approx 75%). | The brownfield element of the site is approximately 0.19ha, whilst the total site size is some 0.76ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 9 dwellings, whilst the total site capacity is some 25 dwellings.""",,,,,,,"""The site has the benefit of an Outline planning permission. | Part of the site is brownfield (Approx 25%) and part is greenfield (Approx 75%). | The brownfield element of the site is approximately 0.19ha, whilst the total site size is some 0.76ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 9 dwellings, whilst the total site capacity is some 25 dwellings. | The site is considered deliverable. | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/00949/FUL,,"""Ludford House, Overton Road, Ludford, Ludlow, SY8 1PJ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3898724.994,-185018.6632,0.25,Not owned by a public authority,Yes,Permissioned,Full planning permission,09/05/2016,,,7,"""Conversion of existing buildings to create seven dwellings; including insertion of rooflights and glazed roofing.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/01786/FUL,,"""Prospect House, Belle Vue Road, Shrewsbury, Shropshire, SY3 7NR""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3868701.613,-185477.7048,0.45,Not owned by a public authority,Yes,Permissioned,Full planning permission,12/04/2016,,,34,"""Change of use from (Use Class) B1 office use to (Use Class) C3 residential use (34 apartments) with minor external alterations"".",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/02536/FUL,,"""36 Castle Street, Shrewsbury, Shropshire, SY1 2BW""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3868030.067,-185901.696,0.01,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/10/2015,,,5,"""Alterations to existing first floor flat; creation of five apartments.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/02552/FUL,,"""4 King Street, Ludlow, Shropshire, SY8 1AQ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3898251.463,-185104.2285,0.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/11/2015,,,6,"""Conversion of upper floors to create six flats and erection of rear extension at second floor.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/03969/OUT,,"""Stoke Heath Camp, Warrant Road, Stoke Heath, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3855439.754,-170569.1024,3.7,Not owned by a public authority,Yes,Permissioned,Outline planning permission,25/05/2016,,,26,"""Outline application for residential development (up to 38 no. dwellings) to include means of access; demolition of existing buildings and structures; remediation of site with associated highways and drainage infrastructure and other accommodation works. | Part of the site is brownfield (Approx 75%) and part is greenfield (Approx 25%). | The brownfield element of the site is approximately 3.70ha, whilst the total site size is some 5.08ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 26 dwellings, whilst the total site capacity is some 38 dwellings.""",,,,,,,"""The site has the benefit of an Outline planning permission. | Part of the site is brownfield (Approx 75%) and part is greenfield (Approx 25%). | The brownfield element of the site is approximately 3.70ha, whilst the total site size is some 5.08ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 26 dwellings, whilst the total site capacity is some 38 dwellings. | The site is considered deliverable. | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/04613/REM,,"""Land North Of The Miners Arms, Morda Bank, Morda, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3855126.082,-206011.5796,0.04,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,04/12/2015,,,8,"""Approval of Reserved Matters pursuant to permission 12/05181/OUT for residential development of 12 apartments. | Part of the site is brownfield (Approx 65%) and part is greenfield (Approx 45%). | The brownfield element of the site is approximately 0.04ha, whilst the total site size is some 0.06ha. | The development involves the creation of 12 apartments, referencing the land split, approximately 8 of these apartments are located on the brownfield element of the site.""",,,,,,,"""The site has the benefit of an Reserved matters approval. | Part of the site is brownfield (Approx 65%) and part is greenfield (Approx 45%). | The brownfield element of the site is approximately 0.04ha, whilst the total site size is some 0.06ha. |  The development involves the creation of 12 apartments, referencing the land split, approximately 8 of these apartments are located on the brownfield element of the site. | The site is considered deliverable.  | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/05307/REM,,"""Gro Continental Ltd, Heathwood Road, Higher Heath, Whitchurch""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3849790.725,-178040.1359,4.6,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,06/01/2017,,,115,"""Approval of Reserved Matters (access, appearance, landscaping, layout and scale) pursuant to permission NS/09/00111/OUT for the erection of 115 dwellings and associated public open space.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,15/05357/OUT,,"""Former Central Garage, Kidderminster Road, Alveley, Shropshire, WV15 6LL""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3891132.287,-159220.0593,0.66,Not owned by a public authority,Yes,Permissioned,Outline planning permission,13/02/2017,,,19,"""Outline application (all matters reserved) for residential development on the former Central Garage site.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,16/00725/FUL,,"""Mytton Mill, Forton Heath, Montford Bridge, Shrewsbury, SY4 1HA""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3863933.073,-191048.4846,0.46,Not owned by a public authority,Yes,Permissioned,Full planning permission,28/02/2017,,,10,"""Conversion of redundant mill building into 10No residential units and erection of 2No detached dwellings including associated access and parking. | Part of the site is brownfield (Approx 10%) and part is greenfield (Approx 90%). | The brownfield element of the site is approximately 0.46ha, whilst the total site size is some 4.62ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 10 dwellings, whilst the total site capacity is some 12 dwellings.""",,,,,,,"""The site has the benefit of a Full planning permission. | Part of the site is brownfield (Approx 10%) and part is greenfield (Approx 90%). | The brownfield element of the site is approximately 0.46ha, whilst the total site size is some 4.62ha. | It is anticipated that the brownfield component of the site has a capacity for approximately 10 dwellings, whilst the total site capacity is some 12 dwellings. | The site is considered deliverable. | The map shows the full extent of the site and not only the brownfield area.""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,16/00761/FUL,,"""Harvest House, Portcullis Lane, Ludlow, Shropshire, SY8 1PZ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3898048.132,-184993.0331,0.36,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/10/2016,,,11,"""Demolition of Harvest House and entrance/reception to Marston Mill; erection of 4-storey residential block comprising of 11 apartments; erection of single storey extension to Mill building with glazed link; elevational alterations; formation of courtyards and landscaping scheme.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,16/00902/REM,,"""Land Including Storage Buildings/Offices, Argoed Road, Kinnerley, Oswestry, Shropshire, SY10 8DH""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3861160.005,-201271.8987,0.88,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,17/06/2016,,,18,"""Approval of reserved matters (scale, appearance, landscaping and layout) pursuant to 14/01703/OUT for the residential development of 18 properties (including affordable), detached garages, public open space, estate roads.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,16/01651/OUT,,"""Land Off Washford Road, Shrewsbury, Shropshire""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3869633.201,-187063.6993,0.23,Not owned by a public authority,Yes,Permissioned,Outline planning permission,24/10/2016,,,6,"""Outline application for residential development to include access.""",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/unitary-authority/shropshire,Shropshire,16/02684/FUL,,"""Land At 67 Mytton Oak Road, Shrewsbury, SY3 8UQ""",https://shropshire.maps.arcgis.com/apps/webappviewer/index.html?id=25b8fd6ba2fb4c878775a1aaea210576,ETRS89,3868141.648,-188357.8616,0.17,Not owned by a public authority,Yes,Permissioned,Full planning permission,15/12/2016,,,9,"""Erection of  8 no. residential dwellings and 1 no. part conversion/new build dwelling; erection of detached garage for plot 2; formation of new vehicular access, car parking and associated landscaping following demolition of industrial shed and ancillary building.""",,,,,,,,22/12/2017,22/12/2017
